price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,151,308",1151308.0,"879 Victoria St, Clifton Gardens NSW 2463",Clifton Gardens,0,1,1,Studio,https://www.realestateview.com.au/property/clifton-gardens/studio-0,realestateview.com.au
"Guide $2,409,048",2409048.0,"186 Ocean Rd, Clifton Gardens NSW 2100",Clifton Gardens,5,2,0,Penthouse,https://www.rent.com.au/property/clifton-gardens/penthouse-1,rent.com.au
"From $939,362",939362.0,"306 Pacific Highway, Clifton Gardens NSW 2741",Clifton Gardens,2,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/clifton-gardens/apartment--unit--flat-2,realestateview.com.au
"Guide $2,338,457",2338457.0,"683 Beach Rd, Clifton Gardens NSW 2107",Clifton Gardens,2,3,2,Townhouse,https://www.realestate.com.au/property/clifton-gardens/townhouse-4,realestate.com.au
"Guide $1,006,680",1006680.0,"279 Victoria St, Clifton Gardens NSW 2635",Clifton Gardens,3,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/clifton-gardens/apartment--unit--flat-5,realestateview.com.au
"$2,464,565 ONO",2464565.0,"322 Victoria St, Clifton Gardens NSW 2794",Clifton Gardens,2,3,1,Villa,https://www.rent.com.au/property/clifton-gardens/villa-6,rent.com.au
"Guide $822,339",822339.0,"192 James St, Clifton Gardens NSW 2962",Clifton Gardens,4,3,3,Penthouse,https://www.rent.com.au/property/clifton-gardens/penthouse-7,rent.com.au
"$1,964,920",1964920.0,"389 James St, Clifton Gardens NSW 2057",Clifton Gardens,3,4,0,House,https://www.rent.com.au/property/clifton-gardens/house-9,rent.com.au
"$1,197,595",1197595.0,"179 High St, Clifton Gardens NSW 2008",Clifton Gardens,6,3,1,Penthouse,https://www.rent.com.au/property/clifton-gardens/penthouse-10,rent.com.au
"$2,234,307 ONO",2234307.0,"728 Beach Rd, Clifton Gardens NSW 2154",Clifton Gardens,4,1,1,Villa,https://www.realestate.com.au/property/clifton-gardens/villa-11,realestate.com.au
"$1,162,526 ONO",1162526.0,"922 Princes Highway, Clifton Gardens NSW 2251",Clifton Gardens,1,1,2,Villa,https://www.realestateview.com.au/property/clifton-gardens/villa-12,realestateview.com.au
"$1,021,967",1021967.0,"97 George St, Clifton Gardens NSW 2674",Clifton Gardens,6,3,2,Penthouse,https://www.realestate.com.au/property/clifton-gardens/penthouse-13,realestate.com.au
"$2,085,493 ONO",2085493.0,"354 The Boulevarde, Clifton Gardens NSW 2417",Clifton Gardens,2,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/clifton-gardens/apartment--unit--flat-15,rent.com.au
"$710,857 - $893,417",710857.0,"284 Military Rd, Clifton Gardens NSW 2080",Clifton Gardens,0,1,1,Studio,https://www.realestateview.com.au/property/clifton-gardens/studio-16,realestateview.com.au
"From $1,093,265",1093265.0,"2 Railway St, Clifton Gardens NSW 2454",Clifton Gardens,2,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/clifton-gardens/apartment--unit--flat-17,rent.com.au
"From $1,177,945",1177945.0,"667 Park Ave, Clifton Gardens NSW 2628",Clifton Gardens,4,2,0,Penthouse,https://www.realestateview.com.au/property/clifton-gardens/penthouse-18,realestateview.com.au
"$2,049,673 - $2,172,799",2049673.0,"616 William St, Clifton Gardens NSW 2019",Clifton Gardens,2,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/clifton-gardens/apartment--unit--flat-19,realestateview.com.au
"$849,561 ONO",849561.0,"521 James St, Clifton Gardens NSW 2738",Clifton Gardens,0,1,1,Studio,https://www.domain.com.au/property/clifton-gardens/studio-20,domain.com.au
"$2,121,043 ONO",2121043.0,"627 Edward St, Clifton Gardens NSW 2580",Clifton Gardens,1,2,1,Villa,https://www.domain.com.au/property/clifton-gardens/villa-21,domain.com.au
"$527,371",527371.0,"77 Military Rd, Clifton Gardens NSW 2804",Clifton Gardens,2,1,2,Townhouse,https://www.rent.com.au/property/clifton-gardens/townhouse-22,rent.com.au
"$1,357,584",1357584.0,"226 Elizabeth St, Clifton Gardens NSW 2222",Clifton Gardens,2,1,3,House,https://www.realestate.com.au/property/clifton-gardens/house-23,realestate.com.au
