price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,112,679",1112679.0,"703 Park Ave, Clovelly NSW 2791",Clovelly,5,3,3,Apartment / Unit / Flat,https://www.domain.com.au/property/clovelly/apartment--unit--flat-0,domain.com.au
"$663,147 ONO",663147.0,"288 James St, Clovelly NSW 2367",Clovelly,4,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/clovelly/apartment--unit--flat-1,realestateview.com.au
"From $890,191",890191.0,"15 Park Ave, Clovelly NSW 2871",Clovelly,3,4,1,Villa,https://www.rent.com.au/property/clovelly/villa-2,rent.com.au
"Guide $1,631,120",1631120.0,"246 James St, Clovelly NSW 2526",Clovelly,3,1,1,House,https://www.rent.com.au/property/clovelly/house-3,rent.com.au
"Guide $697,999",697999.0,"11 Ocean Rd, Clovelly NSW 2976",Clovelly,1,2,0,Townhouse,https://www.realestate.com.au/property/clovelly/townhouse-7,realestate.com.au
"$1,280,271 ONO",1280271.0,"633 Elizabeth St, Clovelly NSW 2855",Clovelly,0,1,2,Studio,https://www.domain.com.au/property/clovelly/studio-8,domain.com.au
"From $1,510,156",1510156.0,"577 Church St, Clovelly NSW 2381",Clovelly,2,3,2,Apartment / Unit / Flat,https://www.rent.com.au/property/clovelly/apartment--unit--flat-9,rent.com.au
"From $906,857",906857.0,"222 William St, Clovelly NSW 2364",Clovelly,0,1,0,Studio,https://www.rent.com.au/property/clovelly/studio-10,rent.com.au
"$2,254,664 - $2,544,214",2254664.0,"274 King St, Clovelly NSW 2245",Clovelly,2,3,2,Villa,https://www.realestate.com.au/property/clovelly/villa-11,realestate.com.au
"From $1,395,998",1395998.0,"762 James St, Clovelly NSW 2220",Clovelly,3,1,0,Villa,https://www.realestateview.com.au/property/clovelly/villa-12,realestateview.com.au
"$742,996 - $812,671",742996.0,"445 Military Rd, Clovelly NSW 2434",Clovelly,1,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/clovelly/apartment--unit--flat-13,realestateview.com.au
"From $682,365",682365.0,"630 Church St, Clovelly NSW 2945",Clovelly,3,2,0,Penthouse,https://www.realestateview.com.au/property/clovelly/penthouse-14,realestateview.com.au
"$1,340,389",1340389.0,"819 Pacific Highway, Clovelly NSW 2784",Clovelly,0,1,1,Studio,https://www.realestateview.com.au/property/clovelly/studio-16,realestateview.com.au
"$1,124,924 - $1,369,472",1124924.0,"175 Military Rd, Clovelly NSW 2052",Clovelly,2,1,0,House,https://www.realestateview.com.au/property/clovelly/house-17,realestateview.com.au
"$2,281,493 - $2,503,958",2281493.0,"365 Main St, Clovelly NSW 2846",Clovelly,2,1,0,Villa,https://www.domain.com.au/property/clovelly/villa-18,domain.com.au
"Guide $1,782,673",1782673.0,"981 Railway St, Clovelly NSW 2290",Clovelly,2,1,0,House,https://www.rent.com.au/property/clovelly/house-19,rent.com.au
"$848,629 ONO",848629.0,"898 George St, Clovelly NSW 2844",Clovelly,2,3,2,House,https://www.domain.com.au/property/clovelly/house-20,domain.com.au
"$1,786,907",1786907.0,"604 King St, Clovelly NSW 2521",Clovelly,0,1,1,Studio,https://www.domain.com.au/property/clovelly/studio-21,domain.com.au
"Guide $1,554,243",1554243.0,"593 George St, Clovelly NSW 2216",Clovelly,2,1,0,Villa,https://www.rent.com.au/property/clovelly/villa-22,rent.com.au
"Guide $2,158,781",2158781.0,"312 Victoria St, Clovelly NSW 2693",Clovelly,1,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/clovelly/apartment--unit--flat-23,realestateview.com.au
"Guide $1,019,433",1019433.0,"452 Park Ave, Clovelly NSW 2741",Clovelly,4,4,0,Penthouse,https://www.realestate.com.au/property/clovelly/penthouse-24,realestate.com.au
