price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,675,777 ONO",1675777.0,"529 Elizabeth St, Clyde NSW 2150",Clyde,3,1,0,Villa,https://www.realestateview.com.au/property/clyde/villa-0,realestateview.com.au
"$1,285,497",1285497.0,"621 Railway St, Clyde NSW 2677",Clyde,1,2,0,Townhouse,https://www.realestateview.com.au/property/clyde/townhouse-1,realestateview.com.au
"From $756,181",756181.0,"159 William St, Clyde NSW 2736",Clyde,6,2,2,Penthouse,https://www.rent.com.au/property/clyde/penthouse-2,rent.com.au
"From $2,128,073",2128073.0,"420 Railway St, Clyde NSW 2997",Clyde,1,1,0,Townhouse,https://www.realestate.com.au/property/clyde/townhouse-3,realestate.com.au
"From $2,381,440",2381440.0,"502 Edward St, Clyde NSW 2260",Clyde,1,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/clyde/apartment--unit--flat-5,domain.com.au
"$2,173,841 ONO",2173841.0,"628 Albert St, Clyde NSW 2871",Clyde,4,3,1,Penthouse,https://www.realestateview.com.au/property/clyde/penthouse-6,realestateview.com.au
"$918,979",918979.0,"297 Queen St, Clyde NSW 2197",Clyde,0,1,3,Studio,https://www.realestateview.com.au/property/clyde/studio-7,realestateview.com.au
"Guide $2,051,218",2051218.0,"801 James St, Clyde NSW 2988",Clyde,4,3,0,Townhouse,https://www.domain.com.au/property/clyde/townhouse-8,domain.com.au
"$1,438,466 - $1,561,697",1438466.0,"8 Elizabeth St, Clyde NSW 2319",Clyde,0,1,0,Studio,https://www.realestate.com.au/property/clyde/studio-9,realestate.com.au
"From $1,862,792",1862792.0,"416 The Boulevarde, Clyde NSW 2724",Clyde,3,2,0,Townhouse,https://www.realestateview.com.au/property/clyde/townhouse-13,realestateview.com.au
"From $1,393,071",1393071.0,"930 Pacific Highway, Clyde NSW 2849",Clyde,3,3,3,Apartment / Unit / Flat,https://www.rent.com.au/property/clyde/apartment--unit--flat-14,rent.com.au
"Guide $1,693,134",1693134.0,"571 High St, Clyde NSW 2711",Clyde,3,1,0,House,https://www.domain.com.au/property/clyde/house-15,domain.com.au
"$2,456,482 - $2,508,920",2456482.0,"399 Victoria St, Clyde NSW 2415",Clyde,3,2,2,Penthouse,https://www.rent.com.au/property/clyde/penthouse-16,rent.com.au
"Guide $525,832",525832.0,"222 Military Rd, Clyde NSW 2028",Clyde,3,3,2,Penthouse,https://www.realestateview.com.au/property/clyde/penthouse-17,realestateview.com.au
"$1,819,457",1819457.0,"519 Ocean Rd, Clyde NSW 2263",Clyde,4,4,1,Apartment / Unit / Flat,https://www.rent.com.au/property/clyde/apartment--unit--flat-18,rent.com.au
"From $687,154",687154.0,"906 Princes Highway, Clyde NSW 2550",Clyde,3,2,2,Villa,https://www.rent.com.au/property/clyde/villa-19,rent.com.au
"From $2,296,681",2296681.0,"779 King St, Clyde NSW 2930",Clyde,3,2,0,Penthouse,https://www.realestateview.com.au/property/clyde/penthouse-21,realestateview.com.au
"$2,075,133 - $2,194,755",2075133.0,"622 Military Rd, Clyde NSW 2920",Clyde,2,1,2,Townhouse,https://www.domain.com.au/property/clyde/townhouse-22,domain.com.au
"From $860,954",860954.0,"496 The Boulevarde, Clyde NSW 2345",Clyde,2,3,0,Villa,https://www.realestate.com.au/property/clyde/villa-23,realestate.com.au
"$1,513,872 - $1,812,286",1513872.0,"372 Albert St, Clyde NSW 2098",Clyde,3,3,1,Villa,https://www.realestate.com.au/property/clyde/villa-24,realestate.com.au
