price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,139,820",1139820.0,"188 Elizabeth St, Collaroy Plateau NSW 2786",Collaroy Plateau,4,3,1,Townhouse,https://www.realestate.com.au/property/collaroy-plateau/townhouse-0,realestate.com.au
"$2,322,663 - $2,448,726",2322663.0,"754 The Boulevarde, Collaroy Plateau NSW 2812",Collaroy Plateau,3,3,3,Townhouse,https://www.rent.com.au/property/collaroy-plateau/townhouse-1,rent.com.au
"$2,173,594 - $2,233,078",2173594.0,"80 The Boulevarde, Collaroy Plateau NSW 2313",Collaroy Plateau,1,2,4,Villa,https://www.realestate.com.au/property/collaroy-plateau/villa-2,realestate.com.au
"Guide $1,260,433",1260433.0,"578 Albert St, Collaroy Plateau NSW 2771",Collaroy Plateau,1,1,2,House,https://www.rent.com.au/property/collaroy-plateau/house-3,rent.com.au
"Guide $826,104",826104.0,"921 High St, Collaroy Plateau NSW 2533",Collaroy Plateau,1,1,1,House,https://www.realestateview.com.au/property/collaroy-plateau/house-5,realestateview.com.au
"Guide $956,245",956245.0,"996 Park Ave, Collaroy Plateau NSW 2491",Collaroy Plateau,4,3,1,House,https://www.rent.com.au/property/collaroy-plateau/house-6,rent.com.au
"$2,103,386 - $2,355,635",2103386.0,"9 Church St, Collaroy Plateau NSW 2658",Collaroy Plateau,1,1,0,Townhouse,https://www.domain.com.au/property/collaroy-plateau/townhouse-7,domain.com.au
"$1,586,773",1586773.0,"271 King St, Collaroy Plateau NSW 2319",Collaroy Plateau,3,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/collaroy-plateau/apartment--unit--flat-8,realestateview.com.au
"$626,449 - $718,756",626449.0,"321 Church St, Collaroy Plateau NSW 2512",Collaroy Plateau,3,2,1,Townhouse,https://www.domain.com.au/property/collaroy-plateau/townhouse-9,domain.com.au
"$2,411,573 ONO",2411573.0,"551 Military Rd, Collaroy Plateau NSW 2220",Collaroy Plateau,4,4,0,Penthouse,https://www.domain.com.au/property/collaroy-plateau/penthouse-10,domain.com.au
"$2,491,783 ONO",2491783.0,"774 King St, Collaroy Plateau NSW 2820",Collaroy Plateau,4,1,1,Townhouse,https://www.realestate.com.au/property/collaroy-plateau/townhouse-11,realestate.com.au
"Guide $2,126,782",2126782.0,"965 The Boulevarde, Collaroy Plateau NSW 2265",Collaroy Plateau,3,1,0,Villa,https://www.domain.com.au/property/collaroy-plateau/villa-12,domain.com.au
"$520,632 - $627,314",520632.0,"601 Albert St, Collaroy Plateau NSW 2947",Collaroy Plateau,2,3,4,Townhouse,https://www.rent.com.au/property/collaroy-plateau/townhouse-13,rent.com.au
"$674,402",674402.0,"563 Queen St, Collaroy Plateau NSW 2520",Collaroy Plateau,6,3,3,Penthouse,https://www.realestate.com.au/property/collaroy-plateau/penthouse-14,realestate.com.au
"From $1,337,151",1337151.0,"293 Railway St, Collaroy Plateau NSW 2429",Collaroy Plateau,6,3,0,Penthouse,https://www.realestate.com.au/property/collaroy-plateau/penthouse-15,realestate.com.au
"$679,640 ONO",679640.0,"597 King St, Collaroy Plateau NSW 2052",Collaroy Plateau,2,1,2,Townhouse,https://www.realestate.com.au/property/collaroy-plateau/townhouse-16,realestate.com.au
"$1,574,115 ONO",1574115.0,"6 Railway St, Collaroy Plateau NSW 2229",Collaroy Plateau,2,3,1,Townhouse,https://www.rent.com.au/property/collaroy-plateau/townhouse-17,rent.com.au
"From $2,012,663",2012663.0,"990 High St, Collaroy Plateau NSW 2391",Collaroy Plateau,4,2,3,Villa,https://www.rent.com.au/property/collaroy-plateau/villa-18,rent.com.au
"$1,706,715 - $1,989,104",1706715.0,"960 High St, Collaroy Plateau NSW 2695",Collaroy Plateau,2,1,1,Townhouse,https://www.rent.com.au/property/collaroy-plateau/townhouse-20,rent.com.au
"$2,099,106 ONO",2099106.0,"483 Main St, Collaroy Plateau NSW 2798",Collaroy Plateau,4,3,1,Penthouse,https://www.rent.com.au/property/collaroy-plateau/penthouse-21,rent.com.au
"$856,526 - $1,071,532",856526.0,"410 Albert St, Collaroy Plateau NSW 2982",Collaroy Plateau,0,1,3,Studio,https://www.domain.com.au/property/collaroy-plateau/studio-22,domain.com.au
"$1,259,115",1259115.0,"6 Military Rd, Collaroy Plateau NSW 2967",Collaroy Plateau,2,2,1,Villa,https://www.domain.com.au/property/collaroy-plateau/villa-23,domain.com.au
"$773,129 ONO",773129.0,"746 Beach Rd, Collaroy Plateau NSW 2284",Collaroy Plateau,3,1,3,House,https://www.realestate.com.au/property/collaroy-plateau/house-24,realestate.com.au
