price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$862,660 - $1,051,055",862660.0,"416 Edward St, Colyton NSW 2215",Colyton,1,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/colyton/apartment--unit--flat-1,domain.com.au
"From $771,166",771166.0,"252 Church St, Colyton NSW 2805",Colyton,3,2,3,House,https://www.domain.com.au/property/colyton/house-2,domain.com.au
"Guide $1,992,420",1992420.0,"936 James St, Colyton NSW 2791",Colyton,2,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/colyton/apartment--unit--flat-3,realestate.com.au
"Guide $1,072,704",1072704.0,"996 Pacific Highway, Colyton NSW 2445",Colyton,3,2,4,Townhouse,https://www.realestate.com.au/property/colyton/townhouse-4,realestate.com.au
"$1,228,746 ONO",1228746.0,"440 Beach Rd, Colyton NSW 2027",Colyton,4,3,0,Villa,https://www.realestateview.com.au/property/colyton/villa-5,realestateview.com.au
"$2,263,131 - $2,326,092",2263131.0,"67 High St, Colyton NSW 2830",Colyton,3,3,0,Townhouse,https://www.realestateview.com.au/property/colyton/townhouse-6,realestateview.com.au
"$2,217,165 ONO",2217165.0,"217 Edward St, Colyton NSW 2658",Colyton,4,1,3,Townhouse,https://www.realestateview.com.au/property/colyton/townhouse-7,realestateview.com.au
"From $576,591",576591.0,"195 Railway St, Colyton NSW 2445",Colyton,2,2,2,Townhouse,https://www.realestate.com.au/property/colyton/townhouse-8,realestate.com.au
"Guide $1,830,078",1830078.0,"204 Elizabeth St, Colyton NSW 2049",Colyton,2,1,3,Villa,https://www.rent.com.au/property/colyton/villa-9,rent.com.au
"$2,214,893",2214893.0,"27 Ocean Rd, Colyton NSW 2665",Colyton,6,4,1,Penthouse,https://www.realestateview.com.au/property/colyton/penthouse-10,realestateview.com.au
"Guide $2,160,357",2160357.0,"683 Queen St, Colyton NSW 2890",Colyton,5,2,0,Townhouse,https://www.rent.com.au/property/colyton/townhouse-11,rent.com.au
"From $1,069,958",1069958.0,"660 The Boulevarde, Colyton NSW 2424",Colyton,3,2,0,Townhouse,https://www.domain.com.au/property/colyton/townhouse-13,domain.com.au
"$1,782,793",1782793.0,"670 Railway St, Colyton NSW 2928",Colyton,2,2,0,House,https://www.realestate.com.au/property/colyton/house-14,realestate.com.au
"$1,409,304 ONO",1409304.0,"500 Elizabeth St, Colyton NSW 2301",Colyton,0,1,2,Studio,https://www.realestate.com.au/property/colyton/studio-15,realestate.com.au
"$2,391,825 - $2,634,762",2391825.0,"817 Main St, Colyton NSW 2651",Colyton,5,3,0,Townhouse,https://www.realestateview.com.au/property/colyton/townhouse-16,realestateview.com.au
"Guide $1,694,234",1694234.0,"357 Queen St, Colyton NSW 2836",Colyton,0,1,0,Studio,https://www.domain.com.au/property/colyton/studio-17,domain.com.au
"$2,410,568 - $2,698,583",2410568.0,"501 High St, Colyton NSW 2104",Colyton,0,1,3,Studio,https://www.realestate.com.au/property/colyton/studio-18,realestate.com.au
"$2,298,066 ONO",2298066.0,"222 James St, Colyton NSW 2200",Colyton,1,2,0,Townhouse,https://www.rent.com.au/property/colyton/townhouse-19,rent.com.au
"From $1,009,252",1009252.0,"755 Beach Rd, Colyton NSW 2886",Colyton,2,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/colyton/apartment--unit--flat-20,domain.com.au
"$1,580,272",1580272.0,"268 Beach Rd, Colyton NSW 2708",Colyton,4,4,1,Villa,https://www.domain.com.au/property/colyton/villa-22,domain.com.au
"$1,725,061 - $1,891,043",1725061.0,"72 Edward St, Colyton NSW 2776",Colyton,4,4,1,Penthouse,https://www.realestate.com.au/property/colyton/penthouse-23,realestate.com.au
