price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,417,968",2417968.0,"683 Railway St, Concord NSW 2375",Concord,0,1,0,Studio,https://www.domain.com.au/property/concord/studio-0,domain.com.au
"$897,606 ONO",897606.0,"842 Victoria St, Concord NSW 2654",Concord,3,2,1,Villa,https://www.rent.com.au/property/concord/villa-1,rent.com.au
"$1,930,140 ONO",1930140.0,"404 William St, Concord NSW 2876",Concord,3,3,0,House,https://www.domain.com.au/property/concord/house-2,domain.com.au
"Guide $1,646,899",1646899.0,"799 Beach Rd, Concord NSW 2736",Concord,2,1,2,Villa,https://www.realestate.com.au/property/concord/villa-3,realestate.com.au
"From $1,722,938",1722938.0,"238 High St, Concord NSW 2274",Concord,4,3,2,Penthouse,https://www.realestate.com.au/property/concord/penthouse-5,realestate.com.au
"From $544,815",544815.0,"897 Main St, Concord NSW 2494",Concord,4,4,0,Townhouse,https://www.domain.com.au/property/concord/townhouse-6,domain.com.au
"$1,109,263 - $1,249,455",1109263.0,"475 Beach Rd, Concord NSW 2308",Concord,2,3,3,Townhouse,https://www.domain.com.au/property/concord/townhouse-7,domain.com.au
"$1,529,969 ONO",1529969.0,"919 James St, Concord NSW 2916",Concord,2,3,2,Townhouse,https://www.realestate.com.au/property/concord/townhouse-8,realestate.com.au
"$2,367,336 - $2,493,161",2367336.0,"98 The Boulevarde, Concord NSW 2550",Concord,0,1,0,Studio,https://www.realestateview.com.au/property/concord/studio-9,realestateview.com.au
"$700,974 - $777,624",700974.0,"863 Elizabeth St, Concord NSW 2492",Concord,5,4,3,Penthouse,https://www.domain.com.au/property/concord/penthouse-10,domain.com.au
"$951,453 - $1,210,686",951453.0,"927 Military Rd, Concord NSW 2527",Concord,1,1,0,Villa,https://www.realestateview.com.au/property/concord/villa-11,realestateview.com.au
"$1,183,206",1183206.0,"495 Military Rd, Concord NSW 2684",Concord,3,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/concord/apartment--unit--flat-12,domain.com.au
"Guide $644,408",644408.0,"707 Military Rd, Concord NSW 2279",Concord,2,1,0,Townhouse,https://www.realestateview.com.au/property/concord/townhouse-13,realestateview.com.au
"$1,171,595 ONO",1171595.0,"536 High St, Concord NSW 2924",Concord,2,3,2,Villa,https://www.realestate.com.au/property/concord/villa-14,realestate.com.au
"$2,179,784 ONO",2179784.0,"374 Pacific Highway, Concord NSW 2807",Concord,5,1,0,Townhouse,https://www.realestate.com.au/property/concord/townhouse-15,realestate.com.au
"$1,080,788 ONO",1080788.0,"550 Edward St, Concord NSW 2325",Concord,3,4,4,Villa,https://www.realestate.com.au/property/concord/villa-16,realestate.com.au
"From $2,036,527",2036527.0,"363 The Boulevarde, Concord NSW 2665",Concord,6,4,0,Penthouse,https://www.realestateview.com.au/property/concord/penthouse-17,realestateview.com.au
"Guide $1,341,246",1341246.0,"907 Market St, Concord NSW 2889",Concord,3,3,3,Penthouse,https://www.realestate.com.au/property/concord/penthouse-18,realestate.com.au
"$2,157,078 - $2,437,684",2157078.0,"340 George St, Concord NSW 2058",Concord,3,4,0,Townhouse,https://www.realestate.com.au/property/concord/townhouse-19,realestate.com.au
"From $1,664,989",1664989.0,"36 Military Rd, Concord NSW 2809",Concord,4,3,2,Townhouse,https://www.realestateview.com.au/property/concord/townhouse-21,realestateview.com.au
"$1,250,240 ONO",1250240.0,"11 Ocean Rd, Concord NSW 2163",Concord,5,4,2,Villa,https://www.realestateview.com.au/property/concord/villa-22,realestateview.com.au
"Guide $2,491,433",2491433.0,"977 William St, Concord NSW 2838",Concord,0,1,0,Studio,https://www.realestateview.com.au/property/concord/studio-23,realestateview.com.au
"$767,736 - $901,964",767736.0,"309 Beach Rd, Concord NSW 2544",Concord,0,1,0,Studio,https://www.domain.com.au/property/concord/studio-24,domain.com.au
