price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,493,571",1493571.0,"871 Ocean Rd, Connells Point NSW 2696",Connells Point,4,4,2,House,https://www.rent.com.au/property/connells-point/house-0,rent.com.au
"$627,129 ONO",627129.0,"354 Edward St, Connells Point NSW 2526",Connells Point,3,3,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/connells-point/apartment--unit--flat-1,realestateview.com.au
"$1,520,987 ONO",1520987.0,"47 Church St, Connells Point NSW 2692",Connells Point,0,1,0,Studio,https://www.domain.com.au/property/connells-point/studio-2,domain.com.au
"$1,375,137 ONO",1375137.0,"880 Queen St, Connells Point NSW 2316",Connells Point,2,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/connells-point/apartment--unit--flat-3,rent.com.au
"$1,303,874",1303874.0,"443 Park Ave, Connells Point NSW 2469",Connells Point,1,2,1,House,https://www.realestate.com.au/property/connells-point/house-4,realestate.com.au
"$1,609,844",1609844.0,"777 The Boulevarde, Connells Point NSW 2632",Connells Point,2,1,1,Villa,https://www.rent.com.au/property/connells-point/villa-6,rent.com.au
"$2,301,220 ONO",2301220.0,"269 Beach Rd, Connells Point NSW 2018",Connells Point,6,4,4,Penthouse,https://www.rent.com.au/property/connells-point/penthouse-7,rent.com.au
"$831,992",831992.0,"965 Beach Rd, Connells Point NSW 2987",Connells Point,5,2,2,Penthouse,https://www.realestate.com.au/property/connells-point/penthouse-8,realestate.com.au
"From $1,512,345",1512345.0,"786 Elizabeth St, Connells Point NSW 2271",Connells Point,6,2,2,Penthouse,https://www.realestate.com.au/property/connells-point/penthouse-10,realestate.com.au
"From $705,098",705098.0,"170 Princes Highway, Connells Point NSW 2066",Connells Point,4,1,0,Townhouse,https://www.realestateview.com.au/property/connells-point/townhouse-11,realestateview.com.au
"$600,548 ONO",600548.0,"433 Railway St, Connells Point NSW 2026",Connells Point,3,3,0,Penthouse,https://www.domain.com.au/property/connells-point/penthouse-12,domain.com.au
"$1,408,418 ONO",1408418.0,"467 Park Ave, Connells Point NSW 2098",Connells Point,3,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/connells-point/apartment--unit--flat-13,domain.com.au
"Guide $2,388,647",2388647.0,"767 William St, Connells Point NSW 2664",Connells Point,2,2,0,Villa,https://www.rent.com.au/property/connells-point/villa-14,rent.com.au
"$780,070 - $938,836",780070.0,"594 Market St, Connells Point NSW 2374",Connells Point,3,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/connells-point/apartment--unit--flat-15,realestate.com.au
"$1,340,053",1340053.0,"690 Elizabeth St, Connells Point NSW 2973",Connells Point,2,3,2,House,https://www.rent.com.au/property/connells-point/house-16,rent.com.au
"Guide $1,699,915",1699915.0,"493 Victoria St, Connells Point NSW 2653",Connells Point,3,3,0,House,https://www.realestateview.com.au/property/connells-point/house-17,realestateview.com.au
"From $1,275,862",1275862.0,"131 Beach Rd, Connells Point NSW 2938",Connells Point,3,4,3,Penthouse,https://www.domain.com.au/property/connells-point/penthouse-18,domain.com.au
"$788,148 ONO",788148.0,"565 Albert St, Connells Point NSW 2457",Connells Point,2,3,2,Villa,https://www.realestateview.com.au/property/connells-point/villa-19,realestateview.com.au
"$1,037,718",1037718.0,"941 William St, Connells Point NSW 2922",Connells Point,0,1,2,Studio,https://www.rent.com.au/property/connells-point/studio-20,rent.com.au
"From $2,191,376",2191376.0,"791 Main St, Connells Point NSW 2508",Connells Point,1,2,3,House,https://www.rent.com.au/property/connells-point/house-21,rent.com.au
"Guide $2,434,556",2434556.0,"454 Elizabeth St, Connells Point NSW 2521",Connells Point,6,3,0,Penthouse,https://www.realestate.com.au/property/connells-point/penthouse-22,realestate.com.au
"From $1,640,026",1640026.0,"823 Church St, Connells Point NSW 2051",Connells Point,2,1,1,House,https://www.realestate.com.au/property/connells-point/house-23,realestate.com.au
"$2,079,084",2079084.0,"488 Albert St, Connells Point NSW 2047",Connells Point,3,3,4,House,https://www.realestateview.com.au/property/connells-point/house-24,realestateview.com.au
