price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,267,224",1267224.0,"614 Edward St, Coogee NSW 2382",Coogee,1,1,0,House,https://www.realestateview.com.au/property/coogee/house-0,realestateview.com.au
"$1,793,001",1793001.0,"433 Edward St, Coogee NSW 2394",Coogee,2,2,1,House,https://www.realestateview.com.au/property/coogee/house-1,realestateview.com.au
"From $2,827,888",2827888.0,"18 Albert St, Coogee NSW 2953",Coogee,1,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/coogee/apartment--unit--flat-2,domain.com.au
"$2,100,484 - $2,397,850",2100484.0,"392 Military Rd, Coogee NSW 2708",Coogee,3,3,0,Villa,https://www.rent.com.au/property/coogee/villa-3,rent.com.au
"From $1,749,262",1749262.0,"795 Market St, Coogee NSW 2912",Coogee,2,1,2,Apartment / Unit / Flat,https://www.domain.com.au/property/coogee/apartment--unit--flat-5,domain.com.au
"$3,903,565 ONO",3903565.0,"313 George St, Coogee NSW 2409",Coogee,0,1,1,Studio,https://www.realestateview.com.au/property/coogee/studio-6,realestateview.com.au
"$1,284,347",1284347.0,"189 Pacific Highway, Coogee NSW 2000",Coogee,3,4,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/coogee/apartment--unit--flat-7,realestateview.com.au
"$1,134,216 - $1,213,605",1134216.0,"358 Victoria St, Coogee NSW 2226",Coogee,5,3,0,House,https://www.realestateview.com.au/property/coogee/house-8,realestateview.com.au
"Guide $1,966,416",1966416.0,"524 High St, Coogee NSW 2684",Coogee,0,1,2,Studio,https://www.realestateview.com.au/property/coogee/studio-9,realestateview.com.au
"$1,713,426 - $1,854,195",1713426.0,"229 Queen St, Coogee NSW 2193",Coogee,4,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/coogee/apartment--unit--flat-10,realestate.com.au
"From $1,616,695",1616695.0,"900 Ocean Rd, Coogee NSW 2245",Coogee,2,1,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/coogee/apartment--unit--flat-11,realestate.com.au
"From $3,792,539",3792539.0,"43 Victoria St, Coogee NSW 2783",Coogee,1,2,1,House,https://www.realestateview.com.au/property/coogee/house-12,realestateview.com.au
"$3,393,423",3393423.0,"293 Edward St, Coogee NSW 2953",Coogee,0,1,1,Studio,https://www.rent.com.au/property/coogee/studio-13,rent.com.au
"$1,399,430 ONO",1399430.0,"761 Albert St, Coogee NSW 2838",Coogee,4,4,1,Penthouse,https://www.domain.com.au/property/coogee/penthouse-14,domain.com.au
"$1,540,075 ONO",1540075.0,"61 Park Ave, Coogee NSW 2677",Coogee,6,2,0,Penthouse,https://www.domain.com.au/property/coogee/penthouse-15,domain.com.au
"From $2,260,557",2260557.0,"935 High St, Coogee NSW 2806",Coogee,0,1,3,Studio,https://www.realestate.com.au/property/coogee/studio-17,realestate.com.au
"Guide $3,076,690",3076690.0,"574 King St, Coogee NSW 2179",Coogee,6,4,1,Penthouse,https://www.realestate.com.au/property/coogee/penthouse-18,realestate.com.au
"Guide $1,056,269",1056269.0,"57 Elizabeth St, Coogee NSW 2107",Coogee,0,1,2,Studio,https://www.realestateview.com.au/property/coogee/studio-20,realestateview.com.au
"From $1,311,319",1311319.0,"604 James St, Coogee NSW 2961",Coogee,3,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/coogee/apartment--unit--flat-22,realestate.com.au
"Guide $2,085,963",2085963.0,"347 Elizabeth St, Coogee NSW 2445",Coogee,4,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/coogee/apartment--unit--flat-24,realestate.com.au
