price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,425,526 ONO",1425526.0,"583 Railway St, Crows Nest NSW 2204",Crows Nest,3,2,3,Townhouse,https://www.realestate.com.au/property/crows-nest/townhouse-0,realestate.com.au
"From $1,109,248",1109248.0,"61 Church St, Crows Nest NSW 2885",Crows Nest,3,3,0,Villa,https://www.rent.com.au/property/crows-nest/villa-1,rent.com.au
"$1,333,511 ONO",1333511.0,"402 Victoria St, Crows Nest NSW 2492",Crows Nest,2,3,4,House,https://www.realestateview.com.au/property/crows-nest/house-2,realestateview.com.au
"From $1,797,637",1797637.0,"792 Church St, Crows Nest NSW 2665",Crows Nest,6,3,0,Penthouse,https://www.rent.com.au/property/crows-nest/penthouse-3,rent.com.au
"$899,669 ONO",899669.0,"357 Park Ave, Crows Nest NSW 2118",Crows Nest,5,4,1,House,https://www.realestate.com.au/property/crows-nest/house-4,realestate.com.au
"From $1,391,465",1391465.0,"33 William St, Crows Nest NSW 2255",Crows Nest,3,2,1,Villa,https://www.rent.com.au/property/crows-nest/villa-5,rent.com.au
"$1,254,567 ONO",1254567.0,"445 Beach Rd, Crows Nest NSW 2423",Crows Nest,1,1,0,Villa,https://www.domain.com.au/property/crows-nest/villa-7,domain.com.au
"$1,775,470 ONO",1775470.0,"180 Edward St, Crows Nest NSW 2685",Crows Nest,3,2,1,Penthouse,https://www.realestate.com.au/property/crows-nest/penthouse-8,realestate.com.au
"Guide $2,060,984",2060984.0,"758 Ocean Rd, Crows Nest NSW 2339",Crows Nest,1,1,0,Townhouse,https://www.rent.com.au/property/crows-nest/townhouse-10,rent.com.au
"$1,155,684",1155684.0,"838 George St, Crows Nest NSW 2926",Crows Nest,0,1,0,Studio,https://www.rent.com.au/property/crows-nest/studio-11,rent.com.au
"From $1,126,705",1126705.0,"40 Market St, Crows Nest NSW 2669",Crows Nest,3,4,0,House,https://www.domain.com.au/property/crows-nest/house-12,domain.com.au
"$2,222,988",2222988.0,"166 Main St, Crows Nest NSW 2451",Crows Nest,3,1,0,Villa,https://www.domain.com.au/property/crows-nest/villa-13,domain.com.au
"$1,999,206 ONO",1999206.0,"86 Victoria St, Crows Nest NSW 2253",Crows Nest,6,4,2,Penthouse,https://www.domain.com.au/property/crows-nest/penthouse-15,domain.com.au
"Guide $1,577,596",1577596.0,"62 The Boulevarde, Crows Nest NSW 2911",Crows Nest,4,3,1,Townhouse,https://www.rent.com.au/property/crows-nest/townhouse-16,rent.com.au
"$1,112,993 - $1,366,397",1112993.0,"173 Church St, Crows Nest NSW 2279",Crows Nest,4,1,2,Townhouse,https://www.rent.com.au/property/crows-nest/townhouse-17,rent.com.au
"$1,115,425",1115425.0,"852 Elizabeth St, Crows Nest NSW 2087",Crows Nest,4,4,4,Apartment / Unit / Flat,https://www.realestate.com.au/property/crows-nest/apartment--unit--flat-18,realestate.com.au
"$926,581 ONO",926581.0,"33 Victoria St, Crows Nest NSW 2074",Crows Nest,2,3,0,House,https://www.rent.com.au/property/crows-nest/house-19,rent.com.au
"$1,355,989 - $1,569,092",1355989.0,"740 Beach Rd, Crows Nest NSW 2428",Crows Nest,3,4,3,House,https://www.realestateview.com.au/property/crows-nest/house-20,realestateview.com.au
"$2,436,370 ONO",2436370.0,"916 Market St, Crows Nest NSW 2020",Crows Nest,2,3,0,House,https://www.domain.com.au/property/crows-nest/house-21,domain.com.au
"Guide $2,262,115",2262115.0,"6 Main St, Crows Nest NSW 2072",Crows Nest,3,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/crows-nest/apartment--unit--flat-22,domain.com.au
"$1,606,958 - $1,832,056",1606958.0,"250 Elizabeth St, Crows Nest NSW 2265",Crows Nest,3,1,1,House,https://www.domain.com.au/property/crows-nest/house-24,domain.com.au
