price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$571,241",571241.0,"860 Ocean Rd, Croydon NSW 2131",Croydon,4,3,1,Penthouse,https://www.domain.com.au/property/croydon/penthouse-0,domain.com.au
"$2,133,437",2133437.0,"993 Main St, Croydon NSW 2498",Croydon,1,1,2,House,https://www.domain.com.au/property/croydon/house-1,domain.com.au
"Guide $1,081,385",1081385.0,"143 Pacific Highway, Croydon NSW 2655",Croydon,0,1,2,Studio,https://www.realestate.com.au/property/croydon/studio-3,realestate.com.au
"$1,302,654 ONO",1302654.0,"192 King St, Croydon NSW 2217",Croydon,2,2,0,Villa,https://www.realestateview.com.au/property/croydon/villa-4,realestateview.com.au
"$2,176,236 ONO",2176236.0,"994 King St, Croydon NSW 2133",Croydon,0,1,0,Studio,https://www.rent.com.au/property/croydon/studio-5,rent.com.au
"$1,490,512 - $1,584,397",1490512.0,"657 William St, Croydon NSW 2174",Croydon,2,3,2,Townhouse,https://www.rent.com.au/property/croydon/townhouse-6,rent.com.au
"$1,194,326 ONO",1194326.0,"672 Victoria St, Croydon NSW 2162",Croydon,2,3,2,Townhouse,https://www.rent.com.au/property/croydon/townhouse-7,rent.com.au
"$1,078,256 - $1,359,756",1078256.0,"946 Edward St, Croydon NSW 2726",Croydon,1,1,1,Villa,https://www.rent.com.au/property/croydon/villa-8,rent.com.au
"From $2,116,770",2116770.0,"100 Ocean Rd, Croydon NSW 2063",Croydon,0,1,0,Studio,https://www.realestate.com.au/property/croydon/studio-9,realestate.com.au
"$1,394,614 - $1,690,411",1394614.0,"633 Princes Highway, Croydon NSW 2698",Croydon,3,3,0,Townhouse,https://www.domain.com.au/property/croydon/townhouse-10,domain.com.au
"$1,840,972 ONO",1840972.0,"138 Main St, Croydon NSW 2725",Croydon,4,2,3,Penthouse,https://www.rent.com.au/property/croydon/penthouse-11,rent.com.au
"Guide $1,915,572",1915572.0,"304 Princes Highway, Croydon NSW 2316",Croydon,3,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/croydon/apartment--unit--flat-12,domain.com.au
"$2,021,932 ONO",2021932.0,"190 Park Ave, Croydon NSW 2904",Croydon,4,4,2,Penthouse,https://www.realestateview.com.au/property/croydon/penthouse-13,realestateview.com.au
"$1,583,028 ONO",1583028.0,"343 William St, Croydon NSW 2247",Croydon,0,1,0,Studio,https://www.realestate.com.au/property/croydon/studio-14,realestate.com.au
"From $1,488,883",1488883.0,"415 King St, Croydon NSW 2957",Croydon,2,2,0,Villa,https://www.realestate.com.au/property/croydon/villa-15,realestate.com.au
"Guide $1,603,123",1603123.0,"750 Park Ave, Croydon NSW 2696",Croydon,0,1,2,Studio,https://www.realestate.com.au/property/croydon/studio-16,realestate.com.au
"From $1,502,649",1502649.0,"294 King St, Croydon NSW 2903",Croydon,2,2,0,Townhouse,https://www.realestateview.com.au/property/croydon/townhouse-17,realestateview.com.au
"Guide $1,874,850",1874850.0,"580 James St, Croydon NSW 2816",Croydon,0,1,4,Studio,https://www.realestateview.com.au/property/croydon/studio-18,realestateview.com.au
"$2,186,060",2186060.0,"399 Main St, Croydon NSW 2554",Croydon,0,1,1,Studio,https://www.realestate.com.au/property/croydon/studio-20,realestate.com.au
"$1,657,467 ONO",1657467.0,"147 Ocean Rd, Croydon NSW 2257",Croydon,4,1,3,Villa,https://www.domain.com.au/property/croydon/villa-21,domain.com.au
"Guide $1,191,772",1191772.0,"322 George St, Croydon NSW 2119",Croydon,1,2,2,House,https://www.domain.com.au/property/croydon/house-22,domain.com.au
"Guide $981,531",981531.0,"131 James St, Croydon NSW 2933",Croydon,5,4,0,Penthouse,https://www.domain.com.au/property/croydon/penthouse-23,domain.com.au
"Guide $1,396,735",1396735.0,"797 Victoria St, Croydon NSW 2385",Croydon,4,2,2,Penthouse,https://www.realestate.com.au/property/croydon/penthouse-24,realestate.com.au
