price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,742,796 ONO",1742796.0,"851 Railway St, Darlinghurst NSW 2910",Darlinghurst,4,2,1,House,https://www.realestateview.com.au/property/darlinghurst/house-0,realestateview.com.au
"$1,958,377 ONO",1958377.0,"889 George St, Darlinghurst NSW 2071",Darlinghurst,3,3,2,House,https://www.realestateview.com.au/property/darlinghurst/house-1,realestateview.com.au
"$715,929 ONO",715929.0,"610 Beach Rd, Darlinghurst NSW 2834",Darlinghurst,5,2,2,Townhouse,https://www.realestateview.com.au/property/darlinghurst/townhouse-2,realestateview.com.au
"From $2,209,005",2209005.0,"177 Edward St, Darlinghurst NSW 2664",Darlinghurst,3,2,4,Apartment / Unit / Flat,https://www.domain.com.au/property/darlinghurst/apartment--unit--flat-4,domain.com.au
"From $1,553,145",1553145.0,"306 High St, Darlinghurst NSW 2681",Darlinghurst,0,1,2,Studio,https://www.rent.com.au/property/darlinghurst/studio-5,rent.com.au
"$821,297",821297.0,"670 James St, Darlinghurst NSW 2275",Darlinghurst,5,4,4,Penthouse,https://www.rent.com.au/property/darlinghurst/penthouse-6,rent.com.au
"$2,427,361 ONO",2427361.0,"38 Market St, Darlinghurst NSW 2548",Darlinghurst,5,3,3,Penthouse,https://www.realestate.com.au/property/darlinghurst/penthouse-7,realestate.com.au
"$683,352 - $973,428",683352.0,"975 Church St, Darlinghurst NSW 2391",Darlinghurst,5,1,0,Townhouse,https://www.realestateview.com.au/property/darlinghurst/townhouse-8,realestateview.com.au
"$1,220,224",1220224.0,"597 Church St, Darlinghurst NSW 2783",Darlinghurst,0,1,3,Studio,https://www.realestate.com.au/property/darlinghurst/studio-9,realestate.com.au
"From $2,373,914",2373914.0,"862 Church St, Darlinghurst NSW 2831",Darlinghurst,2,2,2,Villa,https://www.realestate.com.au/property/darlinghurst/villa-10,realestate.com.au
"From $2,191,296",2191296.0,"673 Princes Highway, Darlinghurst NSW 2210",Darlinghurst,1,1,1,Villa,https://www.domain.com.au/property/darlinghurst/villa-11,domain.com.au
"$1,295,820",1295820.0,"726 Queen St, Darlinghurst NSW 2173",Darlinghurst,3,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/darlinghurst/apartment--unit--flat-12,domain.com.au
"$2,050,454 - $2,201,504",2050454.0,"299 Edward St, Darlinghurst NSW 2110",Darlinghurst,0,1,1,Studio,https://www.domain.com.au/property/darlinghurst/studio-13,domain.com.au
"$515,204 ONO",515204.0,"441 Park Ave, Darlinghurst NSW 2957",Darlinghurst,0,1,0,Studio,https://www.domain.com.au/property/darlinghurst/studio-14,domain.com.au
"From $1,896,199",1896199.0,"897 Princes Highway, Darlinghurst NSW 2363",Darlinghurst,2,2,3,House,https://www.realestate.com.au/property/darlinghurst/house-15,realestate.com.au
"Guide $622,787",622787.0,"235 Albert St, Darlinghurst NSW 2579",Darlinghurst,3,4,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/darlinghurst/apartment--unit--flat-16,realestate.com.au
"$1,454,068",1454068.0,"544 Military Rd, Darlinghurst NSW 2870",Darlinghurst,6,2,0,Penthouse,https://www.realestateview.com.au/property/darlinghurst/penthouse-17,realestateview.com.au
"$1,776,579",1776579.0,"21 Market St, Darlinghurst NSW 2459",Darlinghurst,5,3,1,Penthouse,https://www.domain.com.au/property/darlinghurst/penthouse-18,domain.com.au
"$1,186,060 ONO",1186060.0,"815 George St, Darlinghurst NSW 2145",Darlinghurst,0,1,2,Studio,https://www.domain.com.au/property/darlinghurst/studio-21,domain.com.au
"$887,188 ONO",887188.0,"750 Victoria St, Darlinghurst NSW 2387",Darlinghurst,3,4,3,Townhouse,https://www.domain.com.au/property/darlinghurst/townhouse-22,domain.com.au
"From $2,201,362",2201362.0,"6 Victoria St, Darlinghurst NSW 2014",Darlinghurst,2,3,2,Villa,https://www.realestateview.com.au/property/darlinghurst/villa-23,realestateview.com.au
"$2,346,775 - $2,588,661",2346775.0,"737 Pacific Highway, Darlinghurst NSW 2508",Darlinghurst,3,3,2,Townhouse,https://www.realestate.com.au/property/darlinghurst/townhouse-24,realestate.com.au
