price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,996,512",1996512.0,"470 King St, Darlington NSW 2275",Darlington,3,1,0,House,https://www.rent.com.au/property/darlington/house-0,rent.com.au
"From $1,303,207",1303207.0,"145 High St, Darlington NSW 2610",Darlington,3,1,2,Villa,https://www.realestateview.com.au/property/darlington/villa-2,realestateview.com.au
"$1,591,698 ONO",1591698.0,"254 Elizabeth St, Darlington NSW 2283",Darlington,4,2,0,Penthouse,https://www.realestate.com.au/property/darlington/penthouse-4,realestate.com.au
"From $2,360,159",2360159.0,"914 Victoria St, Darlington NSW 2884",Darlington,3,1,1,Townhouse,https://www.rent.com.au/property/darlington/townhouse-5,rent.com.au
"$2,277,990 - $2,413,951",2277990.0,"429 Church St, Darlington NSW 2929",Darlington,3,1,1,Villa,https://www.domain.com.au/property/darlington/villa-7,domain.com.au
"$1,309,788",1309788.0,"397 Main St, Darlington NSW 2611",Darlington,0,1,2,Studio,https://www.realestateview.com.au/property/darlington/studio-8,realestateview.com.au
"$2,362,760 - $2,544,866",2362760.0,"836 Beach Rd, Darlington NSW 2028",Darlington,0,1,2,Studio,https://www.realestateview.com.au/property/darlington/studio-9,realestateview.com.au
"$1,135,815 - $1,355,790",1135815.0,"770 Victoria St, Darlington NSW 2969",Darlington,5,4,4,Penthouse,https://www.rent.com.au/property/darlington/penthouse-10,rent.com.au
"$995,832 ONO",995832.0,"543 Church St, Darlington NSW 2694",Darlington,2,3,1,Villa,https://www.realestateview.com.au/property/darlington/villa-11,realestateview.com.au
"$2,425,613 - $2,650,991",2425613.0,"645 Main St, Darlington NSW 2368",Darlington,0,1,1,Studio,https://www.realestateview.com.au/property/darlington/studio-12,realestateview.com.au
"Guide $1,479,304",1479304.0,"848 Princes Highway, Darlington NSW 2213",Darlington,2,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/darlington/apartment--unit--flat-14,rent.com.au
"$1,626,669 - $1,917,594",1626669.0,"660 Princes Highway, Darlington NSW 2198",Darlington,5,1,3,Apartment / Unit / Flat,https://www.rent.com.au/property/darlington/apartment--unit--flat-15,rent.com.au
"Guide $736,427",736427.0,"42 King St, Darlington NSW 2158",Darlington,4,1,2,Townhouse,https://www.realestate.com.au/property/darlington/townhouse-16,realestate.com.au
"From $1,698,779",1698779.0,"318 King St, Darlington NSW 2598",Darlington,5,1,4,House,https://www.realestateview.com.au/property/darlington/house-17,realestateview.com.au
"$1,302,102",1302102.0,"366 Railway St, Darlington NSW 2386",Darlington,3,4,3,Villa,https://www.realestate.com.au/property/darlington/villa-20,realestate.com.au
"From $1,387,420",1387420.0,"726 Market St, Darlington NSW 2043",Darlington,5,2,2,Penthouse,https://www.realestateview.com.au/property/darlington/penthouse-21,realestateview.com.au
"$1,626,404",1626404.0,"453 Pacific Highway, Darlington NSW 2841",Darlington,3,1,1,House,https://www.domain.com.au/property/darlington/house-22,domain.com.au
"Guide $1,762,368",1762368.0,"180 Princes Highway, Darlington NSW 2315",Darlington,0,1,0,Studio,https://www.realestateview.com.au/property/darlington/studio-23,realestateview.com.au
"$933,957 ONO",933957.0,"40 Pacific Highway, Darlington NSW 2670",Darlington,3,2,1,House,https://www.realestate.com.au/property/darlington/house-24,realestate.com.au
