price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$533,992 ONO",533992.0,"2 Main St, Dawes Point NSW 2531",Dawes Point,0,1,3,Studio,https://www.domain.com.au/property/dawes-point/studio-1,domain.com.au
"$543,185 ONO",543185.0,"516 James St, Dawes Point NSW 2524",Dawes Point,1,1,0,Townhouse,https://www.domain.com.au/property/dawes-point/townhouse-2,domain.com.au
"$900,180 - $956,880",900180.0,"475 Railway St, Dawes Point NSW 2884",Dawes Point,4,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/dawes-point/apartment--unit--flat-3,rent.com.au
"Guide $1,693,279",1693279.0,"586 The Boulevarde, Dawes Point NSW 2801",Dawes Point,0,1,1,Studio,https://www.realestateview.com.au/property/dawes-point/studio-4,realestateview.com.au
"$623,910 - $917,607",623910.0,"440 Elizabeth St, Dawes Point NSW 2280",Dawes Point,6,2,1,Penthouse,https://www.realestateview.com.au/property/dawes-point/penthouse-6,realestateview.com.au
"From $714,913",714913.0,"325 Queen St, Dawes Point NSW 2707",Dawes Point,2,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/dawes-point/apartment--unit--flat-7,domain.com.au
"$1,049,325",1049325.0,"773 Queen St, Dawes Point NSW 2000",Dawes Point,4,2,1,Townhouse,https://www.domain.com.au/property/dawes-point/townhouse-8,domain.com.au
"Guide $799,928",799928.0,"307 The Boulevarde, Dawes Point NSW 2142",Dawes Point,2,3,2,Townhouse,https://www.realestate.com.au/property/dawes-point/townhouse-9,realestate.com.au
"$1,728,658 ONO",1728658.0,"592 Princes Highway, Dawes Point NSW 2380",Dawes Point,0,1,3,Studio,https://www.rent.com.au/property/dawes-point/studio-10,rent.com.au
"$2,278,714 - $2,397,683",2278714.0,"820 Church St, Dawes Point NSW 2296",Dawes Point,2,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/dawes-point/apartment--unit--flat-12,rent.com.au
"$871,285 - $986,380",871285.0,"252 Albert St, Dawes Point NSW 2724",Dawes Point,1,2,2,Townhouse,https://www.realestate.com.au/property/dawes-point/townhouse-13,realestate.com.au
"$675,721 ONO",675721.0,"954 Albert St, Dawes Point NSW 2544",Dawes Point,2,1,1,Villa,https://www.domain.com.au/property/dawes-point/villa-14,domain.com.au
"$1,893,632 ONO",1893632.0,"642 Beach Rd, Dawes Point NSW 2663",Dawes Point,3,3,1,Townhouse,https://www.realestate.com.au/property/dawes-point/townhouse-15,realestate.com.au
"$1,436,061 - $1,538,094",1436061.0,"753 William St, Dawes Point NSW 2155",Dawes Point,4,2,2,Townhouse,https://www.realestate.com.au/property/dawes-point/townhouse-16,realestate.com.au
"Guide $1,598,903",1598903.0,"392 Albert St, Dawes Point NSW 2183",Dawes Point,3,2,2,Townhouse,https://www.realestateview.com.au/property/dawes-point/townhouse-17,realestateview.com.au
"$1,402,023 - $1,598,601",1402023.0,"67 George St, Dawes Point NSW 2784",Dawes Point,0,1,1,Studio,https://www.rent.com.au/property/dawes-point/studio-18,rent.com.au
"$521,672",521672.0,"848 William St, Dawes Point NSW 2279",Dawes Point,5,4,0,Penthouse,https://www.realestateview.com.au/property/dawes-point/penthouse-19,realestateview.com.au
"$1,434,852",1434852.0,"264 George St, Dawes Point NSW 2643",Dawes Point,1,2,1,House,https://www.domain.com.au/property/dawes-point/house-20,domain.com.au
"$2,078,360",2078360.0,"138 Ocean Rd, Dawes Point NSW 2546",Dawes Point,3,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/dawes-point/apartment--unit--flat-21,domain.com.au
"Guide $1,576,340",1576340.0,"327 Park Ave, Dawes Point NSW 2014",Dawes Point,3,4,3,Penthouse,https://www.realestateview.com.au/property/dawes-point/penthouse-22,realestateview.com.au
"$1,770,208 - $1,881,639",1770208.0,"700 Park Ave, Dawes Point NSW 2718",Dawes Point,3,3,0,House,https://www.realestate.com.au/property/dawes-point/house-23,realestate.com.au
"$1,333,160 ONO",1333160.0,"946 Main St, Dawes Point NSW 2222",Dawes Point,0,1,1,Studio,https://www.realestateview.com.au/property/dawes-point/studio-24,realestateview.com.au
