price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,751,672",1751672.0,"656 High St, Dee Why NSW 2297",Dee Why,2,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/dee-why/apartment--unit--flat-0,realestate.com.au
"Guide $1,718,855",1718855.0,"714 Albert St, Dee Why NSW 2098",Dee Why,3,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/dee-why/apartment--unit--flat-1,realestate.com.au
"$2,395,516",2395516.0,"805 The Boulevarde, Dee Why NSW 2315",Dee Why,0,1,3,Studio,https://www.realestate.com.au/property/dee-why/studio-2,realestate.com.au
"From $3,566,955",3566955.0,"177 Queen St, Dee Why NSW 2852",Dee Why,0,1,2,Studio,https://www.domain.com.au/property/dee-why/studio-3,domain.com.au
"$830,820",830820.0,"448 Albert St, Dee Why NSW 2841",Dee Why,2,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/dee-why/apartment--unit--flat-4,rent.com.au
"$1,802,143",1802143.0,"472 Pacific Highway, Dee Why NSW 2223",Dee Why,3,4,1,Villa,https://www.realestate.com.au/property/dee-why/villa-5,realestate.com.au
"From $2,168,510",2168510.0,"866 Albert St, Dee Why NSW 2791",Dee Why,2,1,0,Villa,https://www.domain.com.au/property/dee-why/villa-6,domain.com.au
"$1,197,813 - $1,358,196",1197813.0,"752 Military Rd, Dee Why NSW 2870",Dee Why,4,1,2,House,https://www.realestate.com.au/property/dee-why/house-7,realestate.com.au
"$1,615,267",1615267.0,"600 Main St, Dee Why NSW 2550",Dee Why,1,2,1,House,https://www.realestateview.com.au/property/dee-why/house-9,realestateview.com.au
"Guide $3,882,595",3882595.0,"350 Beach Rd, Dee Why NSW 2655",Dee Why,3,1,1,Villa,https://www.domain.com.au/property/dee-why/villa-10,domain.com.au
"From $3,542,329",3542329.0,"343 Edward St, Dee Why NSW 2713",Dee Why,2,3,1,Villa,https://www.realestateview.com.au/property/dee-why/villa-11,realestateview.com.au
"$2,797,082 - $2,919,712",2797082.0,"488 Edward St, Dee Why NSW 2396",Dee Why,3,1,0,House,https://www.domain.com.au/property/dee-why/house-12,domain.com.au
"$1,241,391 - $1,393,994",1241391.0,"462 The Boulevarde, Dee Why NSW 2413",Dee Why,3,4,1,Penthouse,https://www.realestateview.com.au/property/dee-why/penthouse-13,realestateview.com.au
"$3,269,336 - $3,538,382",3269336.0,"152 Main St, Dee Why NSW 2147",Dee Why,2,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/dee-why/apartment--unit--flat-15,rent.com.au
"From $3,196,221",3196221.0,"428 William St, Dee Why NSW 2588",Dee Why,4,3,1,Villa,https://www.realestateview.com.au/property/dee-why/villa-16,realestateview.com.au
"$2,651,399",2651399.0,"747 Church St, Dee Why NSW 2885",Dee Why,0,1,0,Studio,https://www.domain.com.au/property/dee-why/studio-17,domain.com.au
"Guide $1,693,682",1693682.0,"563 Main St, Dee Why NSW 2836",Dee Why,4,2,2,Penthouse,https://www.realestateview.com.au/property/dee-why/penthouse-18,realestateview.com.au
"Guide $3,978,927",3978927.0,"297 Beach Rd, Dee Why NSW 2559",Dee Why,1,1,4,Villa,https://www.rent.com.au/property/dee-why/villa-19,rent.com.au
"Guide $960,704",960704.0,"235 Victoria St, Dee Why NSW 2315",Dee Why,1,1,0,House,https://www.rent.com.au/property/dee-why/house-21,rent.com.au
"$1,247,964 - $1,311,033",1247964.0,"901 Park Ave, Dee Why NSW 2169",Dee Why,4,2,2,Penthouse,https://www.realestateview.com.au/property/dee-why/penthouse-23,realestateview.com.au
"Guide $2,105,552",2105552.0,"111 Church St, Dee Why NSW 2995",Dee Why,0,1,2,Studio,https://www.realestateview.com.au/property/dee-why/studio-24,realestateview.com.au
