price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,847,151",1847151.0,"506 Albert St, Dee Why West NSW 2190",Dee Why West,3,1,0,House,https://www.domain.com.au/property/dee-why-west/house-0,domain.com.au
"From $894,302",894302.0,"701 Edward St, Dee Why West NSW 2162",Dee Why West,3,2,3,Penthouse,https://www.domain.com.au/property/dee-why-west/penthouse-1,domain.com.au
"$1,019,537 ONO",1019537.0,"937 George St, Dee Why West NSW 2437",Dee Why West,4,1,1,Townhouse,https://www.realestateview.com.au/property/dee-why-west/townhouse-3,realestateview.com.au
"$2,026,230 ONO",2026230.0,"638 Victoria St, Dee Why West NSW 2815",Dee Why West,5,1,0,Villa,https://www.domain.com.au/property/dee-why-west/villa-4,domain.com.au
"$2,236,816 - $2,390,124",2236816.0,"480 Pacific Highway, Dee Why West NSW 2972",Dee Why West,3,2,0,House,https://www.rent.com.au/property/dee-why-west/house-5,rent.com.au
"Guide $2,025,515",2025515.0,"330 James St, Dee Why West NSW 2178",Dee Why West,4,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/dee-why-west/apartment--unit--flat-6,realestateview.com.au
"From $1,011,976",1011976.0,"891 Albert St, Dee Why West NSW 2045",Dee Why West,4,4,0,Penthouse,https://www.realestate.com.au/property/dee-why-west/penthouse-8,realestate.com.au
"$1,748,480 ONO",1748480.0,"342 Princes Highway, Dee Why West NSW 2893",Dee Why West,0,1,1,Studio,https://www.realestate.com.au/property/dee-why-west/studio-9,realestate.com.au
"$1,762,611 ONO",1762611.0,"759 Main St, Dee Why West NSW 2553",Dee Why West,0,1,2,Studio,https://www.rent.com.au/property/dee-why-west/studio-10,rent.com.au
"$1,417,186 - $1,476,313",1417186.0,"633 Princes Highway, Dee Why West NSW 2169",Dee Why West,0,1,1,Studio,https://www.domain.com.au/property/dee-why-west/studio-11,domain.com.au
"$1,877,541 - $2,016,262",1877541.0,"98 Military Rd, Dee Why West NSW 2526",Dee Why West,2,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/dee-why-west/apartment--unit--flat-12,rent.com.au
"$1,270,626 - $1,430,204",1270626.0,"710 William St, Dee Why West NSW 2966",Dee Why West,2,1,2,Villa,https://www.realestate.com.au/property/dee-why-west/villa-13,realestate.com.au
"From $2,210,833",2210833.0,"386 Albert St, Dee Why West NSW 2813",Dee Why West,2,1,3,House,https://www.rent.com.au/property/dee-why-west/house-15,rent.com.au
"From $1,676,783",1676783.0,"363 Market St, Dee Why West NSW 2360",Dee Why West,3,4,3,Townhouse,https://www.rent.com.au/property/dee-why-west/townhouse-16,rent.com.au
"From $2,415,274",2415274.0,"976 Beach Rd, Dee Why West NSW 2216",Dee Why West,2,1,1,House,https://www.realestate.com.au/property/dee-why-west/house-17,realestate.com.au
"$1,314,808 ONO",1314808.0,"782 High St, Dee Why West NSW 2612",Dee Why West,1,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/dee-why-west/apartment--unit--flat-19,realestate.com.au
"Guide $2,474,084",2474084.0,"942 William St, Dee Why West NSW 2040",Dee Why West,0,1,1,Studio,https://www.realestateview.com.au/property/dee-why-west/studio-20,realestateview.com.au
"$569,086 ONO",569086.0,"805 George St, Dee Why West NSW 2313",Dee Why West,2,1,3,Townhouse,https://www.realestateview.com.au/property/dee-why-west/townhouse-22,realestateview.com.au
"Guide $1,657,940",1657940.0,"663 James St, Dee Why West NSW 2376",Dee Why West,2,3,2,Apartment / Unit / Flat,https://www.domain.com.au/property/dee-why-west/apartment--unit--flat-23,domain.com.au
"$595,496",595496.0,"415 Edward St, Dee Why West NSW 2442",Dee Why West,1,1,2,Townhouse,https://www.realestate.com.au/property/dee-why-west/townhouse-24,realestate.com.au
