price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,398,538 ONO",1398538.0,"629 Church St, Denistone West NSW 2636",Denistone West,2,3,1,House,https://www.realestateview.com.au/property/denistone-west/house-0,realestateview.com.au
"$1,265,754 - $1,368,992",1265754.0,"942 Ocean Rd, Denistone West NSW 2468",Denistone West,4,4,2,Penthouse,https://www.realestateview.com.au/property/denistone-west/penthouse-1,realestateview.com.au
"$1,634,590 - $1,885,737",1634590.0,"462 Church St, Denistone West NSW 2979",Denistone West,1,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/denistone-west/apartment--unit--flat-3,realestate.com.au
"$614,993 - $777,400",614993.0,"194 The Boulevarde, Denistone West NSW 2756",Denistone West,2,2,2,House,https://www.domain.com.au/property/denistone-west/house-4,domain.com.au
"Guide $2,157,136",2157136.0,"309 High St, Denistone West NSW 2165",Denistone West,4,2,2,House,https://www.realestateview.com.au/property/denistone-west/house-5,realestateview.com.au
"From $1,445,032",1445032.0,"935 George St, Denistone West NSW 2950",Denistone West,3,3,0,Townhouse,https://www.realestate.com.au/property/denistone-west/townhouse-6,realestate.com.au
"$1,479,618",1479618.0,"71 Victoria St, Denistone West NSW 2633",Denistone West,2,1,0,Villa,https://www.domain.com.au/property/denistone-west/villa-7,domain.com.au
"$1,739,900 - $1,956,160",1739900.0,"594 Railway St, Denistone West NSW 2850",Denistone West,3,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/denistone-west/apartment--unit--flat-8,realestateview.com.au
"$1,309,888",1309888.0,"848 Ocean Rd, Denistone West NSW 2621",Denistone West,0,1,1,Studio,https://www.rent.com.au/property/denistone-west/studio-9,rent.com.au
"$1,179,545",1179545.0,"855 Railway St, Denistone West NSW 2506",Denistone West,0,1,2,Studio,https://www.realestateview.com.au/property/denistone-west/studio-10,realestateview.com.au
"$1,904,527 ONO",1904527.0,"328 Albert St, Denistone West NSW 2228",Denistone West,3,4,4,House,https://www.realestateview.com.au/property/denistone-west/house-11,realestateview.com.au
"Guide $1,808,971",1808971.0,"696 Main St, Denistone West NSW 2136",Denistone West,4,3,2,Penthouse,https://www.realestate.com.au/property/denistone-west/penthouse-12,realestate.com.au
"$2,337,077 ONO",2337077.0,"238 The Boulevarde, Denistone West NSW 2647",Denistone West,3,2,0,Penthouse,https://www.rent.com.au/property/denistone-west/penthouse-13,rent.com.au
"$1,525,035 - $1,742,304",1525035.0,"199 William St, Denistone West NSW 2658",Denistone West,0,1,0,Studio,https://www.rent.com.au/property/denistone-west/studio-14,rent.com.au
"$1,962,820",1962820.0,"696 High St, Denistone West NSW 2291",Denistone West,3,4,1,Townhouse,https://www.domain.com.au/property/denistone-west/townhouse-15,domain.com.au
"From $1,012,935",1012935.0,"428 Railway St, Denistone West NSW 2515",Denistone West,0,1,0,Studio,https://www.realestateview.com.au/property/denistone-west/studio-16,realestateview.com.au
"From $1,403,332",1403332.0,"14 James St, Denistone West NSW 2256",Denistone West,5,4,2,Penthouse,https://www.realestateview.com.au/property/denistone-west/penthouse-18,realestateview.com.au
"$2,321,934 - $2,576,338",2321934.0,"881 Victoria St, Denistone West NSW 2324",Denistone West,0,1,2,Studio,https://www.rent.com.au/property/denistone-west/studio-20,rent.com.au
"Guide $1,757,597",1757597.0,"314 Pacific Highway, Denistone West NSW 2611",Denistone West,0,1,3,Studio,https://www.domain.com.au/property/denistone-west/studio-21,domain.com.au
"$857,989 - $1,045,018",857989.0,"22 The Boulevarde, Denistone West NSW 2631",Denistone West,2,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/denistone-west/apartment--unit--flat-22,realestateview.com.au
"$2,059,647 ONO",2059647.0,"53 The Boulevarde, Denistone West NSW 2779",Denistone West,3,1,3,Villa,https://www.domain.com.au/property/denistone-west/villa-23,domain.com.au
"$2,161,037",2161037.0,"967 Queen St, Denistone West NSW 2288",Denistone West,2,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/denistone-west/apartment--unit--flat-24,rent.com.au
