price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,650,630",1650630.0,"440 King St, Doonside NSW 2927",Doonside,3,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/doonside/apartment--unit--flat-0,realestateview.com.au
"$1,242,295 - $1,312,429",1242295.0,"836 Victoria St, Doonside NSW 2385",Doonside,4,2,1,Villa,https://www.rent.com.au/property/doonside/villa-1,rent.com.au
"$2,446,067 ONO",2446067.0,"144 Princes Highway, Doonside NSW 2244",Doonside,1,2,0,Villa,https://www.realestate.com.au/property/doonside/villa-2,realestate.com.au
"$2,354,815 ONO",2354815.0,"631 Beach Rd, Doonside NSW 2749",Doonside,1,2,0,House,https://www.rent.com.au/property/doonside/house-4,rent.com.au
"From $937,527",937527.0,"888 Victoria St, Doonside NSW 2168",Doonside,1,2,2,Townhouse,https://www.realestateview.com.au/property/doonside/townhouse-5,realestateview.com.au
"From $2,276,467",2276467.0,"816 Queen St, Doonside NSW 2881",Doonside,2,1,1,Townhouse,https://www.realestateview.com.au/property/doonside/townhouse-6,realestateview.com.au
"From $2,452,688",2452688.0,"722 The Boulevarde, Doonside NSW 2976",Doonside,2,3,1,Townhouse,https://www.domain.com.au/property/doonside/townhouse-7,domain.com.au
"Guide $623,719",623719.0,"907 Market St, Doonside NSW 2279",Doonside,3,3,0,Penthouse,https://www.realestateview.com.au/property/doonside/penthouse-9,realestateview.com.au
"$2,189,410 ONO",2189410.0,"769 Princes Highway, Doonside NSW 2839",Doonside,2,2,1,Villa,https://www.rent.com.au/property/doonside/villa-10,rent.com.au
"$2,489,320 ONO",2489320.0,"109 King St, Doonside NSW 2019",Doonside,2,1,0,Townhouse,https://www.domain.com.au/property/doonside/townhouse-11,domain.com.au
"$1,999,610 - $2,190,204",1999610.0,"970 Princes Highway, Doonside NSW 2355",Doonside,5,4,2,Villa,https://www.domain.com.au/property/doonside/villa-12,domain.com.au
"Guide $2,047,605",2047605.0,"596 Pacific Highway, Doonside NSW 2314",Doonside,0,1,3,Studio,https://www.realestate.com.au/property/doonside/studio-13,realestate.com.au
"$1,483,471",1483471.0,"469 Princes Highway, Doonside NSW 2726",Doonside,3,3,2,Villa,https://www.realestateview.com.au/property/doonside/villa-14,realestateview.com.au
"Guide $1,189,483",1189483.0,"667 Princes Highway, Doonside NSW 2121",Doonside,2,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/doonside/apartment--unit--flat-15,realestateview.com.au
"Guide $1,748,829",1748829.0,"452 Park Ave, Doonside NSW 2919",Doonside,3,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/doonside/apartment--unit--flat-16,rent.com.au
"Guide $1,443,218",1443218.0,"287 Elizabeth St, Doonside NSW 2140",Doonside,3,3,0,Apartment / Unit / Flat,https://www.domain.com.au/property/doonside/apartment--unit--flat-17,domain.com.au
"Guide $1,551,805",1551805.0,"231 Victoria St, Doonside NSW 2741",Doonside,1,2,3,Apartment / Unit / Flat,https://www.domain.com.au/property/doonside/apartment--unit--flat-18,domain.com.au
"Guide $1,377,773",1377773.0,"935 Beach Rd, Doonside NSW 2884",Doonside,0,1,4,Studio,https://www.domain.com.au/property/doonside/studio-19,domain.com.au
"Guide $2,295,593",2295593.0,"122 Park Ave, Doonside NSW 2808",Doonside,5,4,3,Villa,https://www.realestate.com.au/property/doonside/villa-20,realestate.com.au
"$1,637,784 ONO",1637784.0,"539 Main St, Doonside NSW 2516",Doonside,2,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/doonside/apartment--unit--flat-21,realestate.com.au
"From $1,909,879",1909879.0,"428 Queen St, Doonside NSW 2099",Doonside,6,4,4,Penthouse,https://www.domain.com.au/property/doonside/penthouse-22,domain.com.au
"$727,838 - $822,221",727838.0,"585 The Boulevarde, Doonside NSW 2103",Doonside,3,4,0,Penthouse,https://www.realestate.com.au/property/doonside/penthouse-23,realestate.com.au
"From $997,069",997069.0,"711 Pacific Highway, Doonside NSW 2454",Doonside,0,1,1,Studio,https://www.rent.com.au/property/doonside/studio-24,rent.com.au
