price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$3,823,294",3823294.0,"725 Albert St, Double Bay NSW 2992",Double Bay,2,3,3,House,https://www.realestate.com.au/property/double-bay/house-0,realestate.com.au
"Guide $4,479,417",4479417.0,"448 The Boulevarde, Double Bay NSW 2030",Double Bay,6,4,1,Penthouse,https://www.rent.com.au/property/double-bay/penthouse-4,rent.com.au
"From $4,932,744",4932744.0,"388 Beach Rd, Double Bay NSW 2988",Double Bay,0,1,1,Studio,https://www.rent.com.au/property/double-bay/studio-5,rent.com.au
"$1,621,994 ONO",1621994.0,"637 King St, Double Bay NSW 2155",Double Bay,3,4,3,Penthouse,https://www.realestateview.com.au/property/double-bay/penthouse-8,realestateview.com.au
"$3,408,026 - $3,530,205",3408026.0,"598 The Boulevarde, Double Bay NSW 2049",Double Bay,3,2,3,Penthouse,https://www.realestate.com.au/property/double-bay/penthouse-11,realestate.com.au
"Guide $4,238,038",4238038.0,"977 James St, Double Bay NSW 2920",Double Bay,0,1,2,Studio,https://www.realestateview.com.au/property/double-bay/studio-14,realestateview.com.au
"$2,095,783",2095783.0,"903 William St, Double Bay NSW 2383",Double Bay,3,4,2,Penthouse,https://www.realestateview.com.au/property/double-bay/penthouse-15,realestateview.com.au
"$2,101,188 ONO",2101188.0,"84 Ocean Rd, Double Bay NSW 2509",Double Bay,0,1,2,Studio,https://www.rent.com.au/property/double-bay/studio-16,rent.com.au
"$4,305,060 - $4,366,871",4305060.0,"197 Park Ave, Double Bay NSW 2874",Double Bay,2,3,1,Terrace,https://www.realestateview.com.au/property/double-bay/terrace-17,realestateview.com.au
"$3,697,250 - $3,956,072",3697250.0,"363 Market St, Double Bay NSW 2037",Double Bay,4,2,0,House,https://www.rent.com.au/property/double-bay/house-19,rent.com.au
"$3,686,031",3686031.0,"530 Railway St, Double Bay NSW 2901",Double Bay,0,1,2,Studio,https://www.realestate.com.au/property/double-bay/studio-22,realestate.com.au
