price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,276,289",1276289.0,"910 Ocean Rd, Drummoyne NSW 2059",Drummoyne,2,2,1,Townhouse,https://www.realestateview.com.au/property/drummoyne/townhouse-0,realestateview.com.au
"$2,164,779",2164779.0,"737 Railway St, Drummoyne NSW 2053",Drummoyne,0,1,1,Studio,https://www.realestateview.com.au/property/drummoyne/studio-1,realestateview.com.au
"$1,707,314",1707314.0,"110 Main St, Drummoyne NSW 2851",Drummoyne,2,1,0,House,https://www.domain.com.au/property/drummoyne/house-2,domain.com.au
"$1,918,636 - $2,086,480",1918636.0,"564 Market St, Drummoyne NSW 2196",Drummoyne,3,4,1,Townhouse,https://www.rent.com.au/property/drummoyne/townhouse-3,rent.com.au
"From $748,993",748993.0,"923 Pacific Highway, Drummoyne NSW 2287",Drummoyne,1,2,4,House,https://www.realestate.com.au/property/drummoyne/house-4,realestate.com.au
"$2,302,610 - $2,439,364",2302610.0,"898 King St, Drummoyne NSW 2287",Drummoyne,4,4,2,House,https://www.realestate.com.au/property/drummoyne/house-6,realestate.com.au
"From $917,616",917616.0,"227 Beach Rd, Drummoyne NSW 2390",Drummoyne,3,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/drummoyne/apartment--unit--flat-8,rent.com.au
"$1,888,212 - $2,124,036",1888212.0,"799 Market St, Drummoyne NSW 2033",Drummoyne,3,1,4,House,https://www.rent.com.au/property/drummoyne/house-11,rent.com.au
"$622,205",622205.0,"784 Elizabeth St, Drummoyne NSW 2255",Drummoyne,2,2,2,Townhouse,https://www.realestateview.com.au/property/drummoyne/townhouse-12,realestateview.com.au
"From $1,732,413",1732413.0,"508 Princes Highway, Drummoyne NSW 2192",Drummoyne,3,3,1,House,https://www.realestateview.com.au/property/drummoyne/house-14,realestateview.com.au
"Guide $2,357,181",2357181.0,"550 Princes Highway, Drummoyne NSW 2080",Drummoyne,3,4,0,Penthouse,https://www.realestate.com.au/property/drummoyne/penthouse-16,realestate.com.au
"$2,143,813 - $2,194,981",2143813.0,"858 Victoria St, Drummoyne NSW 2481",Drummoyne,5,3,0,Villa,https://www.rent.com.au/property/drummoyne/villa-17,rent.com.au
"Guide $2,107,228",2107228.0,"385 Park Ave, Drummoyne NSW 2760",Drummoyne,6,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/drummoyne/apartment--unit--flat-18,realestateview.com.au
"Guide $1,144,678",1144678.0,"327 Beach Rd, Drummoyne NSW 2585",Drummoyne,2,3,1,Villa,https://www.realestate.com.au/property/drummoyne/villa-19,realestate.com.au
"Guide $2,475,735",2475735.0,"987 Park Ave, Drummoyne NSW 2412",Drummoyne,0,1,2,Studio,https://www.realestate.com.au/property/drummoyne/studio-20,realestate.com.au
"$1,661,713 - $1,731,356",1661713.0,"778 Princes Highway, Drummoyne NSW 2348",Drummoyne,0,1,1,Studio,https://www.rent.com.au/property/drummoyne/studio-21,rent.com.au
"Guide $610,311",610311.0,"8 Market St, Drummoyne NSW 2237",Drummoyne,5,3,4,Penthouse,https://www.rent.com.au/property/drummoyne/penthouse-22,rent.com.au
"$1,187,265 - $1,288,907",1187265.0,"814 James St, Drummoyne NSW 2180",Drummoyne,1,2,0,Townhouse,https://www.realestate.com.au/property/drummoyne/townhouse-23,realestate.com.au
"From $802,819",802819.0,"643 Queen St, Drummoyne NSW 2625",Drummoyne,3,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/drummoyne/apartment--unit--flat-24,realestate.com.au
