price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $2,196,470",2196470.0,"796 Military Rd, Dulwich Hill NSW 2520",Dulwich Hill,4,2,1,Penthouse,https://www.realestate.com.au/property/dulwich-hill/penthouse-0,realestate.com.au
"From $2,318,689",2318689.0,"268 William St, Dulwich Hill NSW 2614",Dulwich Hill,3,3,0,House,https://www.rent.com.au/property/dulwich-hill/house-1,rent.com.au
"$1,025,885 ONO",1025885.0,"312 Elizabeth St, Dulwich Hill NSW 2850",Dulwich Hill,2,2,0,House,https://www.realestate.com.au/property/dulwich-hill/house-2,realestate.com.au
"Guide $2,274,158",2274158.0,"496 Queen St, Dulwich Hill NSW 2344",Dulwich Hill,2,2,0,Townhouse,https://www.realestateview.com.au/property/dulwich-hill/townhouse-4,realestateview.com.au
"From $1,021,449",1021449.0,"445 Beach Rd, Dulwich Hill NSW 2931",Dulwich Hill,6,2,0,Penthouse,https://www.realestateview.com.au/property/dulwich-hill/penthouse-5,realestateview.com.au
"$2,401,344 ONO",2401344.0,"564 Edward St, Dulwich Hill NSW 2033",Dulwich Hill,5,4,0,Townhouse,https://www.realestateview.com.au/property/dulwich-hill/townhouse-6,realestateview.com.au
"$2,127,889",2127889.0,"693 Queen St, Dulwich Hill NSW 2572",Dulwich Hill,5,4,2,Penthouse,https://www.rent.com.au/property/dulwich-hill/penthouse-7,rent.com.au
"From $1,500,939",1500939.0,"350 Princes Highway, Dulwich Hill NSW 2153",Dulwich Hill,4,4,1,Apartment / Unit / Flat,https://www.domain.com.au/property/dulwich-hill/apartment--unit--flat-8,domain.com.au
"From $672,900",672900.0,"910 James St, Dulwich Hill NSW 2352",Dulwich Hill,2,3,2,House,https://www.domain.com.au/property/dulwich-hill/house-9,domain.com.au
"$943,263",943263.0,"666 Church St, Dulwich Hill NSW 2768",Dulwich Hill,3,3,2,Villa,https://www.realestate.com.au/property/dulwich-hill/villa-10,realestate.com.au
"Guide $1,768,595",1768595.0,"634 Queen St, Dulwich Hill NSW 2404",Dulwich Hill,5,3,2,Penthouse,https://www.domain.com.au/property/dulwich-hill/penthouse-11,domain.com.au
"$1,729,952",1729952.0,"379 James St, Dulwich Hill NSW 2885",Dulwich Hill,6,2,1,Penthouse,https://www.realestate.com.au/property/dulwich-hill/penthouse-12,realestate.com.au
"$2,337,684 ONO",2337684.0,"701 King St, Dulwich Hill NSW 2416",Dulwich Hill,4,2,0,Penthouse,https://www.realestateview.com.au/property/dulwich-hill/penthouse-13,realestateview.com.au
"From $2,118,202",2118202.0,"709 Church St, Dulwich Hill NSW 2058",Dulwich Hill,4,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/dulwich-hill/apartment--unit--flat-14,realestate.com.au
"$2,213,128",2213128.0,"709 King St, Dulwich Hill NSW 2189",Dulwich Hill,0,1,3,Studio,https://www.realestate.com.au/property/dulwich-hill/studio-15,realestate.com.au
"From $1,758,524",1758524.0,"730 Queen St, Dulwich Hill NSW 2910",Dulwich Hill,0,1,3,Studio,https://www.realestateview.com.au/property/dulwich-hill/studio-16,realestateview.com.au
"$2,420,153",2420153.0,"794 James St, Dulwich Hill NSW 2435",Dulwich Hill,6,4,0,Penthouse,https://www.rent.com.au/property/dulwich-hill/penthouse-17,rent.com.au
"$1,233,355 - $1,323,478",1233355.0,"35 Pacific Highway, Dulwich Hill NSW 2960",Dulwich Hill,2,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/dulwich-hill/apartment--unit--flat-18,realestate.com.au
"From $1,203,714",1203714.0,"721 High St, Dulwich Hill NSW 2907",Dulwich Hill,4,4,1,Penthouse,https://www.realestate.com.au/property/dulwich-hill/penthouse-19,realestate.com.au
"$977,524 - $1,082,595",977524.0,"948 Pacific Highway, Dulwich Hill NSW 2344",Dulwich Hill,0,1,2,Studio,https://www.rent.com.au/property/dulwich-hill/studio-20,rent.com.au
"$752,860 ONO",752860.0,"761 The Boulevarde, Dulwich Hill NSW 2999",Dulwich Hill,2,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/dulwich-hill/apartment--unit--flat-22,rent.com.au
"$1,201,115 ONO",1201115.0,"138 Edward St, Dulwich Hill NSW 2375",Dulwich Hill,5,2,0,Penthouse,https://www.realestateview.com.au/property/dulwich-hill/penthouse-23,realestateview.com.au
"$2,014,278 ONO",2014278.0,"720 Elizabeth St, Dulwich Hill NSW 2002",Dulwich Hill,2,3,4,Villa,https://www.rent.com.au/property/dulwich-hill/villa-24,rent.com.au
