price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$748,993 - $915,952",748993.0,"343 Pacific Highway, Dural NSW 2652",Dural,0,1,3,Studio,https://www.rent.com.au/property/dural/studio-0,rent.com.au
"From $2,136,083",2136083.0,"977 Railway St, Dural NSW 2977",Dural,4,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/dural/apartment--unit--flat-1,realestate.com.au
"Guide $1,913,085",1913085.0,"944 Princes Highway, Dural NSW 2617",Dural,3,2,0,House,https://www.domain.com.au/property/dural/house-2,domain.com.au
"$1,843,897 ONO",1843897.0,"640 George St, Dural NSW 2166",Dural,3,1,0,Townhouse,https://www.realestate.com.au/property/dural/townhouse-3,realestate.com.au
"$1,692,204 ONO",1692204.0,"968 Ocean Rd, Dural NSW 2924",Dural,2,3,2,Villa,https://www.rent.com.au/property/dural/villa-4,rent.com.au
"$1,899,406 - $1,987,686",1899406.0,"107 Park Ave, Dural NSW 2685",Dural,0,1,0,Studio,https://www.realestate.com.au/property/dural/studio-5,realestate.com.au
"$1,294,314",1294314.0,"387 Princes Highway, Dural NSW 2086",Dural,1,2,1,Townhouse,https://www.realestate.com.au/property/dural/townhouse-6,realestate.com.au
"$1,445,663 - $1,610,570",1445663.0,"414 Albert St, Dural NSW 2345",Dural,0,1,0,Studio,https://www.realestate.com.au/property/dural/studio-7,realestate.com.au
"From $2,001,238",2001238.0,"225 Church St, Dural NSW 2780",Dural,0,1,3,Studio,https://www.realestate.com.au/property/dural/studio-8,realestate.com.au
"$1,870,809 ONO",1870809.0,"596 Princes Highway, Dural NSW 2934",Dural,3,2,0,Penthouse,https://www.rent.com.au/property/dural/penthouse-9,rent.com.au
"$1,651,830 - $1,763,445",1651830.0,"806 High St, Dural NSW 2074",Dural,1,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/dural/apartment--unit--flat-10,realestateview.com.au
"$1,396,069 - $1,680,231",1396069.0,"180 Military Rd, Dural NSW 2833",Dural,5,2,0,Townhouse,https://www.domain.com.au/property/dural/townhouse-11,domain.com.au
"$2,498,547 - $2,616,594",2498547.0,"236 Church St, Dural NSW 2303",Dural,3,4,1,Villa,https://www.realestate.com.au/property/dural/villa-12,realestate.com.au
"$1,425,717",1425717.0,"350 High St, Dural NSW 2795",Dural,3,3,0,Penthouse,https://www.realestateview.com.au/property/dural/penthouse-13,realestateview.com.au
"From $1,618,012",1618012.0,"723 Park Ave, Dural NSW 2226",Dural,3,1,1,Villa,https://www.realestate.com.au/property/dural/villa-15,realestate.com.au
"$1,181,057",1181057.0,"820 The Boulevarde, Dural NSW 2555",Dural,1,2,1,Townhouse,https://www.domain.com.au/property/dural/townhouse-16,domain.com.au
"From $2,136,942",2136942.0,"516 King St, Dural NSW 2919",Dural,4,4,0,Townhouse,https://www.rent.com.au/property/dural/townhouse-17,rent.com.au
"Guide $1,504,065",1504065.0,"955 Beach Rd, Dural NSW 2673",Dural,0,1,2,Studio,https://www.realestate.com.au/property/dural/studio-20,realestate.com.au
"Guide $971,332",971332.0,"230 George St, Dural NSW 2920",Dural,3,4,3,Apartment / Unit / Flat,https://www.domain.com.au/property/dural/apartment--unit--flat-23,domain.com.au
"From $1,354,522",1354522.0,"269 King St, Dural NSW 2901",Dural,5,3,2,Penthouse,https://www.realestate.com.au/property/dural/penthouse-24,realestate.com.au
