price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $631,013",631013.0,"98 Beach Rd, Earlwood NSW 2795",Earlwood,4,1,2,Townhouse,https://www.realestateview.com.au/property/earlwood/townhouse-0,realestateview.com.au
"$2,457,415 - $2,691,306",2457415.0,"403 Ocean Rd, Earlwood NSW 2053",Earlwood,2,3,0,Villa,https://www.domain.com.au/property/earlwood/villa-1,domain.com.au
"$1,595,347 - $1,702,020",1595347.0,"661 Queen St, Earlwood NSW 2439",Earlwood,0,1,2,Studio,https://www.realestate.com.au/property/earlwood/studio-2,realestate.com.au
"From $1,161,181",1161181.0,"145 King St, Earlwood NSW 2028",Earlwood,3,2,0,Townhouse,https://www.realestate.com.au/property/earlwood/townhouse-3,realestate.com.au
"$1,984,631 - $2,095,545",1984631.0,"960 Beach Rd, Earlwood NSW 2002",Earlwood,0,1,3,Studio,https://www.rent.com.au/property/earlwood/studio-4,rent.com.au
"$1,887,997 - $1,993,864",1887997.0,"614 Edward St, Earlwood NSW 2975",Earlwood,3,4,0,Townhouse,https://www.domain.com.au/property/earlwood/townhouse-5,domain.com.au
"$1,443,103",1443103.0,"828 Military Rd, Earlwood NSW 2581",Earlwood,5,3,2,Penthouse,https://www.rent.com.au/property/earlwood/penthouse-6,rent.com.au
"$903,293 - $1,063,505",903293.0,"573 Ocean Rd, Earlwood NSW 2374",Earlwood,0,1,2,Studio,https://www.domain.com.au/property/earlwood/studio-7,domain.com.au
"$675,575",675575.0,"935 James St, Earlwood NSW 2332",Earlwood,4,3,3,Townhouse,https://www.rent.com.au/property/earlwood/townhouse-8,rent.com.au
"From $2,244,814",2244814.0,"469 High St, Earlwood NSW 2906",Earlwood,0,1,0,Studio,https://www.realestate.com.au/property/earlwood/studio-9,realestate.com.au
"$1,006,583",1006583.0,"711 King St, Earlwood NSW 2488",Earlwood,3,4,2,Villa,https://www.realestate.com.au/property/earlwood/villa-10,realestate.com.au
"From $1,186,427",1186427.0,"126 Park Ave, Earlwood NSW 2081",Earlwood,2,3,1,House,https://www.rent.com.au/property/earlwood/house-11,rent.com.au
"$1,544,369",1544369.0,"609 Market St, Earlwood NSW 2948",Earlwood,3,3,2,Apartment / Unit / Flat,https://www.domain.com.au/property/earlwood/apartment--unit--flat-12,domain.com.au
"$1,543,318 - $1,835,318",1543318.0,"668 Victoria St, Earlwood NSW 2021",Earlwood,3,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/earlwood/apartment--unit--flat-13,domain.com.au
"$2,067,220",2067220.0,"427 Military Rd, Earlwood NSW 2612",Earlwood,2,3,2,Townhouse,https://www.realestateview.com.au/property/earlwood/townhouse-14,realestateview.com.au
"$1,763,687",1763687.0,"115 James St, Earlwood NSW 2208",Earlwood,4,3,2,Townhouse,https://www.realestate.com.au/property/earlwood/townhouse-15,realestate.com.au
"Guide $866,194",866194.0,"834 William St, Earlwood NSW 2700",Earlwood,0,1,2,Studio,https://www.rent.com.au/property/earlwood/studio-16,rent.com.au
"$619,717",619717.0,"584 Pacific Highway, Earlwood NSW 2308",Earlwood,2,1,4,Townhouse,https://www.realestateview.com.au/property/earlwood/townhouse-17,realestateview.com.au
"Guide $1,307,193",1307193.0,"234 Ocean Rd, Earlwood NSW 2138",Earlwood,0,1,3,Studio,https://www.realestateview.com.au/property/earlwood/studio-19,realestateview.com.au
"Guide $1,303,672",1303672.0,"491 James St, Earlwood NSW 2345",Earlwood,4,3,2,Villa,https://www.realestateview.com.au/property/earlwood/villa-20,realestateview.com.au
"$1,683,864 - $1,842,854",1683864.0,"104 Ocean Rd, Earlwood NSW 2476",Earlwood,0,1,0,Studio,https://www.realestate.com.au/property/earlwood/studio-21,realestate.com.au
"Guide $683,452",683452.0,"603 Main St, Earlwood NSW 2542",Earlwood,4,3,1,Penthouse,https://www.realestateview.com.au/property/earlwood/penthouse-23,realestateview.com.au
"$1,790,364",1790364.0,"952 Market St, Earlwood NSW 2327",Earlwood,4,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/earlwood/apartment--unit--flat-24,realestateview.com.au
