price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,251,658",2251658.0,"925 Ocean Rd, Eastwood NSW 2971",Eastwood,6,4,0,Penthouse,https://www.realestate.com.au/property/eastwood/penthouse-0,realestate.com.au
"$1,675,024",1675024.0,"607 Main St, Eastwood NSW 2513",Eastwood,2,3,0,Townhouse,https://www.rent.com.au/property/eastwood/townhouse-1,rent.com.au
"From $2,448,358",2448358.0,"559 George St, Eastwood NSW 2934",Eastwood,4,1,0,House,https://www.realestate.com.au/property/eastwood/house-2,realestate.com.au
"$905,758",905758.0,"328 High St, Eastwood NSW 2487",Eastwood,0,1,0,Studio,https://www.realestate.com.au/property/eastwood/studio-3,realestate.com.au
"$2,407,544",2407544.0,"946 King St, Eastwood NSW 2624",Eastwood,0,1,1,Studio,https://www.realestateview.com.au/property/eastwood/studio-4,realestateview.com.au
"From $2,010,526",2010526.0,"377 Edward St, Eastwood NSW 2881",Eastwood,4,4,1,House,https://www.domain.com.au/property/eastwood/house-5,domain.com.au
"$2,375,585 ONO",2375585.0,"902 Main St, Eastwood NSW 2985",Eastwood,0,1,2,Studio,https://www.domain.com.au/property/eastwood/studio-6,domain.com.au
"$657,961 ONO",657961.0,"346 Military Rd, Eastwood NSW 2117",Eastwood,4,4,2,Penthouse,https://www.realestate.com.au/property/eastwood/penthouse-7,realestate.com.au
"$1,050,572 ONO",1050572.0,"822 Beach Rd, Eastwood NSW 2273",Eastwood,0,1,1,Studio,https://www.rent.com.au/property/eastwood/studio-8,rent.com.au
"$1,314,316 - $1,576,842",1314316.0,"796 Edward St, Eastwood NSW 2857",Eastwood,1,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/eastwood/apartment--unit--flat-11,rent.com.au
"From $1,166,375",1166375.0,"759 Market St, Eastwood NSW 2730",Eastwood,0,1,2,Studio,https://www.realestateview.com.au/property/eastwood/studio-12,realestateview.com.au
"$1,758,906 - $2,046,640",1758906.0,"33 Church St, Eastwood NSW 2539",Eastwood,6,2,2,Penthouse,https://www.realestateview.com.au/property/eastwood/penthouse-13,realestateview.com.au
"$1,425,357 - $1,482,184",1425357.0,"728 Market St, Eastwood NSW 2461",Eastwood,4,3,1,Villa,https://www.rent.com.au/property/eastwood/villa-14,rent.com.au
"From $1,185,338",1185338.0,"336 Beach Rd, Eastwood NSW 2668",Eastwood,3,4,2,Penthouse,https://www.domain.com.au/property/eastwood/penthouse-15,domain.com.au
"Guide $1,766,012",1766012.0,"146 Edward St, Eastwood NSW 2430",Eastwood,1,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/eastwood/apartment--unit--flat-16,realestateview.com.au
"Guide $1,771,582",1771582.0,"974 Market St, Eastwood NSW 2106",Eastwood,3,1,2,Villa,https://www.realestateview.com.au/property/eastwood/villa-17,realestateview.com.au
"Guide $2,283,305",2283305.0,"758 Edward St, Eastwood NSW 2671",Eastwood,2,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/eastwood/apartment--unit--flat-19,realestateview.com.au
"Guide $526,303",526303.0,"601 Main St, Eastwood NSW 2474",Eastwood,0,1,3,Studio,https://www.realestate.com.au/property/eastwood/studio-20,realestate.com.au
"Guide $1,944,746",1944746.0,"349 Beach Rd, Eastwood NSW 2311",Eastwood,3,4,0,House,https://www.realestate.com.au/property/eastwood/house-21,realestate.com.au
"From $623,129",623129.0,"588 Pacific Highway, Eastwood NSW 2277",Eastwood,1,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/eastwood/apartment--unit--flat-22,domain.com.au
"$1,395,040",1395040.0,"901 The Boulevarde, Eastwood NSW 2708",Eastwood,2,3,0,Apartment / Unit / Flat,https://www.domain.com.au/property/eastwood/apartment--unit--flat-23,domain.com.au
"$2,452,209",2452209.0,"878 Victoria St, Eastwood NSW 2688",Eastwood,3,2,3,Penthouse,https://www.rent.com.au/property/eastwood/penthouse-24,rent.com.au
