price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,704,212 - $1,789,824",1704212.0,"770 Church St, Edensor Park NSW 2192",Edensor Park,4,2,0,Penthouse,https://www.realestateview.com.au/property/edensor-park/penthouse-1,realestateview.com.au
"Guide $549,271",549271.0,"950 Albert St, Edensor Park NSW 2380",Edensor Park,4,4,2,Penthouse,https://www.rent.com.au/property/edensor-park/penthouse-2,rent.com.au
"$802,952 - $936,049",802952.0,"830 High St, Edensor Park NSW 2841",Edensor Park,5,4,4,Penthouse,https://www.realestateview.com.au/property/edensor-park/penthouse-3,realestateview.com.au
"From $1,790,936",1790936.0,"341 Railway St, Edensor Park NSW 2877",Edensor Park,5,3,0,Penthouse,https://www.domain.com.au/property/edensor-park/penthouse-4,domain.com.au
"Guide $1,799,481",1799481.0,"355 Main St, Edensor Park NSW 2272",Edensor Park,3,3,1,House,https://www.realestateview.com.au/property/edensor-park/house-5,realestateview.com.au
"$1,816,122",1816122.0,"556 Victoria St, Edensor Park NSW 2902",Edensor Park,3,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/edensor-park/apartment--unit--flat-6,realestateview.com.au
"$1,360,730",1360730.0,"992 George St, Edensor Park NSW 2924",Edensor Park,3,3,0,Penthouse,https://www.rent.com.au/property/edensor-park/penthouse-7,rent.com.au
"Guide $1,170,738",1170738.0,"392 Victoria St, Edensor Park NSW 2619",Edensor Park,4,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/edensor-park/apartment--unit--flat-8,realestateview.com.au
"Guide $1,363,856",1363856.0,"137 Church St, Edensor Park NSW 2690",Edensor Park,0,1,1,Studio,https://www.realestate.com.au/property/edensor-park/studio-9,realestate.com.au
"From $2,421,645",2421645.0,"721 Railway St, Edensor Park NSW 2131",Edensor Park,0,1,1,Studio,https://www.domain.com.au/property/edensor-park/studio-11,domain.com.au
"$1,991,521",1991521.0,"261 Market St, Edensor Park NSW 2093",Edensor Park,2,1,0,House,https://www.domain.com.au/property/edensor-park/house-12,domain.com.au
"From $1,030,080",1030080.0,"291 Queen St, Edensor Park NSW 2012",Edensor Park,2,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/edensor-park/apartment--unit--flat-13,realestateview.com.au
"From $797,850",797850.0,"650 George St, Edensor Park NSW 2622",Edensor Park,2,2,1,Villa,https://www.realestateview.com.au/property/edensor-park/villa-14,realestateview.com.au
"Guide $677,809",677809.0,"77 Victoria St, Edensor Park NSW 2279",Edensor Park,0,1,1,Studio,https://www.realestateview.com.au/property/edensor-park/studio-15,realestateview.com.au
"$2,317,397",2317397.0,"265 Queen St, Edensor Park NSW 2946",Edensor Park,3,1,3,House,https://www.domain.com.au/property/edensor-park/house-16,domain.com.au
"Guide $1,436,989",1436989.0,"421 Edward St, Edensor Park NSW 2489",Edensor Park,3,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/edensor-park/apartment--unit--flat-17,rent.com.au
"From $1,226,244",1226244.0,"955 William St, Edensor Park NSW 2307",Edensor Park,4,1,0,House,https://www.rent.com.au/property/edensor-park/house-18,rent.com.au
"$1,586,213 - $1,881,553",1586213.0,"510 William St, Edensor Park NSW 2104",Edensor Park,1,1,0,House,https://www.domain.com.au/property/edensor-park/house-19,domain.com.au
"From $763,731",763731.0,"28 Princes Highway, Edensor Park NSW 2984",Edensor Park,2,2,4,House,https://www.domain.com.au/property/edensor-park/house-20,domain.com.au
"$1,738,699",1738699.0,"367 James St, Edensor Park NSW 2440",Edensor Park,5,4,1,Townhouse,https://www.rent.com.au/property/edensor-park/townhouse-21,rent.com.au
"$2,402,539 - $2,528,180",2402539.0,"638 Queen St, Edensor Park NSW 2570",Edensor Park,4,3,1,Villa,https://www.realestateview.com.au/property/edensor-park/villa-22,realestateview.com.au
"$2,442,558",2442558.0,"832 Pacific Highway, Edensor Park NSW 2714",Edensor Park,4,4,2,House,https://www.realestateview.com.au/property/edensor-park/house-23,realestateview.com.au
"$1,388,226 - $1,630,398",1388226.0,"686 Ocean Rd, Edensor Park NSW 2195",Edensor Park,2,2,1,House,https://www.realestateview.com.au/property/edensor-park/house-24,realestateview.com.au
