price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,645,059 ONO",1645059.0,"458 Albert St, Elanora Heights NSW 2327",Elanora Heights,4,2,1,Villa,https://www.rent.com.au/property/elanora-heights/villa-0,rent.com.au
"Guide $1,100,434",1100434.0,"159 Queen St, Elanora Heights NSW 2996",Elanora Heights,3,1,0,Villa,https://www.realestateview.com.au/property/elanora-heights/villa-1,realestateview.com.au
"From $1,346,120",1346120.0,"458 Railway St, Elanora Heights NSW 2755",Elanora Heights,4,3,1,Penthouse,https://www.realestate.com.au/property/elanora-heights/penthouse-2,realestate.com.au
"$1,527,357",1527357.0,"717 King St, Elanora Heights NSW 2857",Elanora Heights,3,1,0,Villa,https://www.realestate.com.au/property/elanora-heights/villa-3,realestate.com.au
"Guide $2,496,873",2496873.0,"635 The Boulevarde, Elanora Heights NSW 2131",Elanora Heights,0,1,1,Studio,https://www.realestate.com.au/property/elanora-heights/studio-4,realestate.com.au
"From $2,073,061",2073061.0,"298 Main St, Elanora Heights NSW 2778",Elanora Heights,0,1,4,Studio,https://www.realestate.com.au/property/elanora-heights/studio-5,realestate.com.au
"$2,106,924 ONO",2106924.0,"722 Queen St, Elanora Heights NSW 2945",Elanora Heights,1,2,2,Villa,https://www.rent.com.au/property/elanora-heights/villa-6,rent.com.au
"From $961,273",961273.0,"298 George St, Elanora Heights NSW 2446",Elanora Heights,2,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/elanora-heights/apartment--unit--flat-7,domain.com.au
"$1,794,958 - $1,848,582",1794958.0,"482 The Boulevarde, Elanora Heights NSW 2576",Elanora Heights,2,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/elanora-heights/apartment--unit--flat-8,realestateview.com.au
"$1,117,802 - $1,187,148",1117802.0,"444 King St, Elanora Heights NSW 2378",Elanora Heights,5,3,0,Penthouse,https://www.realestate.com.au/property/elanora-heights/penthouse-9,realestate.com.au
"$1,555,872 - $1,749,410",1555872.0,"590 Park Ave, Elanora Heights NSW 2439",Elanora Heights,2,1,2,Apartment / Unit / Flat,https://www.rent.com.au/property/elanora-heights/apartment--unit--flat-10,rent.com.au
"$1,156,539 ONO",1156539.0,"155 Queen St, Elanora Heights NSW 2800",Elanora Heights,3,1,0,House,https://www.realestateview.com.au/property/elanora-heights/house-11,realestateview.com.au
"$888,187 - $1,134,410",888187.0,"917 The Boulevarde, Elanora Heights NSW 2467",Elanora Heights,3,3,1,Townhouse,https://www.realestateview.com.au/property/elanora-heights/townhouse-12,realestateview.com.au
"From $1,832,729",1832729.0,"5 Victoria St, Elanora Heights NSW 2342",Elanora Heights,3,2,0,House,https://www.domain.com.au/property/elanora-heights/house-13,domain.com.au
"Guide $2,121,628",2121628.0,"448 James St, Elanora Heights NSW 2432",Elanora Heights,0,1,1,Studio,https://www.domain.com.au/property/elanora-heights/studio-14,domain.com.au
"Guide $1,589,157",1589157.0,"199 Market St, Elanora Heights NSW 2504",Elanora Heights,2,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/elanora-heights/apartment--unit--flat-15,realestate.com.au
"$2,199,489",2199489.0,"849 James St, Elanora Heights NSW 2689",Elanora Heights,3,4,2,Penthouse,https://www.rent.com.au/property/elanora-heights/penthouse-16,rent.com.au
"$1,678,264 ONO",1678264.0,"975 Church St, Elanora Heights NSW 2257",Elanora Heights,5,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/elanora-heights/apartment--unit--flat-17,realestateview.com.au
"$2,497,348",2497348.0,"508 Main St, Elanora Heights NSW 2325",Elanora Heights,3,4,0,Townhouse,https://www.realestateview.com.au/property/elanora-heights/townhouse-18,realestateview.com.au
"Guide $1,663,835",1663835.0,"119 Victoria St, Elanora Heights NSW 2477",Elanora Heights,2,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/elanora-heights/apartment--unit--flat-19,domain.com.au
"Guide $2,291,818",2291818.0,"663 Pacific Highway, Elanora Heights NSW 2434",Elanora Heights,3,2,0,Townhouse,https://www.realestate.com.au/property/elanora-heights/townhouse-20,realestate.com.au
"$1,647,419 ONO",1647419.0,"702 Military Rd, Elanora Heights NSW 2555",Elanora Heights,3,3,2,Townhouse,https://www.realestateview.com.au/property/elanora-heights/townhouse-21,realestateview.com.au
"$532,912",532912.0,"340 Pacific Highway, Elanora Heights NSW 2676",Elanora Heights,4,2,2,Penthouse,https://www.realestateview.com.au/property/elanora-heights/penthouse-22,realestateview.com.au
"$1,189,797 - $1,246,164",1189797.0,"53 Ocean Rd, Elanora Heights NSW 2191",Elanora Heights,2,2,1,House,https://www.realestateview.com.au/property/elanora-heights/house-23,realestateview.com.au
"$1,133,999",1133999.0,"112 Elizabeth St, Elanora Heights NSW 2389",Elanora Heights,4,3,1,Townhouse,https://www.realestateview.com.au/property/elanora-heights/townhouse-24,realestateview.com.au
