price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,180,483 ONO",1180483.0,"551 George St, Elizabeth Bay NSW 2711",Elizabeth Bay,2,3,2,House,https://www.realestateview.com.au/property/elizabeth-bay/house-0,realestateview.com.au
"$2,343,852",2343852.0,"952 Albert St, Elizabeth Bay NSW 2367",Elizabeth Bay,3,3,0,House,https://www.rent.com.au/property/elizabeth-bay/house-1,rent.com.au
"$2,026,065",2026065.0,"572 Main St, Elizabeth Bay NSW 2208",Elizabeth Bay,2,1,0,Townhouse,https://www.rent.com.au/property/elizabeth-bay/townhouse-2,rent.com.au
"Guide $1,312,033",1312033.0,"836 Church St, Elizabeth Bay NSW 2272",Elizabeth Bay,4,4,1,House,https://www.domain.com.au/property/elizabeth-bay/house-3,domain.com.au
"$1,332,387",1332387.0,"656 Main St, Elizabeth Bay NSW 2490",Elizabeth Bay,0,1,0,Studio,https://www.domain.com.au/property/elizabeth-bay/studio-4,domain.com.au
"$2,118,757 ONO",2118757.0,"120 The Boulevarde, Elizabeth Bay NSW 2654",Elizabeth Bay,1,1,1,Villa,https://www.realestateview.com.au/property/elizabeth-bay/villa-5,realestateview.com.au
"$2,214,474",2214474.0,"884 George St, Elizabeth Bay NSW 2878",Elizabeth Bay,2,3,3,Villa,https://www.rent.com.au/property/elizabeth-bay/villa-7,rent.com.au
"$620,570 ONO",620570.0,"157 Church St, Elizabeth Bay NSW 2827",Elizabeth Bay,0,1,3,Studio,https://www.realestate.com.au/property/elizabeth-bay/studio-8,realestate.com.au
"$2,251,502",2251502.0,"561 William St, Elizabeth Bay NSW 2862",Elizabeth Bay,0,1,0,Studio,https://www.rent.com.au/property/elizabeth-bay/studio-9,rent.com.au
"Guide $520,666",520666.0,"577 Park Ave, Elizabeth Bay NSW 2295",Elizabeth Bay,1,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/elizabeth-bay/apartment--unit--flat-11,realestateview.com.au
"From $2,241,033",2241033.0,"335 William St, Elizabeth Bay NSW 2751",Elizabeth Bay,6,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/elizabeth-bay/apartment--unit--flat-12,realestate.com.au
"$2,390,192 - $2,686,236",2390192.0,"560 Albert St, Elizabeth Bay NSW 2581",Elizabeth Bay,3,3,1,Villa,https://www.realestateview.com.au/property/elizabeth-bay/villa-13,realestateview.com.au
"$1,028,504 ONO",1028504.0,"694 Edward St, Elizabeth Bay NSW 2191",Elizabeth Bay,0,1,2,Studio,https://www.domain.com.au/property/elizabeth-bay/studio-14,domain.com.au
"$1,663,640 ONO",1663640.0,"361 King St, Elizabeth Bay NSW 2151",Elizabeth Bay,0,1,4,Studio,https://www.realestateview.com.au/property/elizabeth-bay/studio-15,realestateview.com.au
"$1,988,787",1988787.0,"998 Ocean Rd, Elizabeth Bay NSW 2288",Elizabeth Bay,3,2,1,Townhouse,https://www.realestate.com.au/property/elizabeth-bay/townhouse-16,realestate.com.au
"From $2,033,720",2033720.0,"297 William St, Elizabeth Bay NSW 2563",Elizabeth Bay,1,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/elizabeth-bay/apartment--unit--flat-17,realestateview.com.au
"$2,442,584 - $2,552,005",2442584.0,"294 William St, Elizabeth Bay NSW 2441",Elizabeth Bay,0,1,2,Studio,https://www.realestateview.com.au/property/elizabeth-bay/studio-18,realestateview.com.au
"$1,869,862 - $2,117,971",1869862.0,"829 High St, Elizabeth Bay NSW 2463",Elizabeth Bay,3,3,0,Penthouse,https://www.domain.com.au/property/elizabeth-bay/penthouse-19,domain.com.au
"Guide $849,201",849201.0,"724 Edward St, Elizabeth Bay NSW 2482",Elizabeth Bay,4,4,1,Apartment / Unit / Flat,https://www.domain.com.au/property/elizabeth-bay/apartment--unit--flat-21,domain.com.au
"From $2,290,340",2290340.0,"255 Ocean Rd, Elizabeth Bay NSW 2850",Elizabeth Bay,5,4,1,Penthouse,https://www.realestateview.com.au/property/elizabeth-bay/penthouse-22,realestateview.com.au
"From $1,397,301",1397301.0,"647 Queen St, Elizabeth Bay NSW 2318",Elizabeth Bay,4,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/elizabeth-bay/apartment--unit--flat-23,domain.com.au
"$1,176,686 - $1,270,338",1176686.0,"119 William St, Elizabeth Bay NSW 2388",Elizabeth Bay,2,2,0,Villa,https://www.realestateview.com.au/property/elizabeth-bay/villa-24,realestateview.com.au
