price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $2,324,637",2324637.0,"825 William St, Emerton NSW 2184",Emerton,5,4,2,Penthouse,https://www.realestate.com.au/property/emerton/penthouse-0,realestate.com.au
"$2,398,199 - $2,646,923",2398199.0,"667 Military Rd, Emerton NSW 2839",Emerton,1,2,1,Villa,https://www.realestate.com.au/property/emerton/villa-1,realestate.com.au
"From $2,454,705",2454705.0,"118 Military Rd, Emerton NSW 2710",Emerton,3,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/emerton/apartment--unit--flat-2,rent.com.au
"$1,067,826 ONO",1067826.0,"360 Albert St, Emerton NSW 2574",Emerton,4,4,2,House,https://www.realestate.com.au/property/emerton/house-3,realestate.com.au
"$651,396 - $758,461",651396.0,"864 The Boulevarde, Emerton NSW 2659",Emerton,0,1,1,Studio,https://www.realestate.com.au/property/emerton/studio-4,realestate.com.au
"From $607,913",607913.0,"692 Pacific Highway, Emerton NSW 2075",Emerton,0,1,2,Studio,https://www.domain.com.au/property/emerton/studio-5,domain.com.au
"$1,685,671",1685671.0,"562 King St, Emerton NSW 2279",Emerton,2,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/emerton/apartment--unit--flat-6,rent.com.au
"$1,822,039 - $1,939,484",1822039.0,"927 Park Ave, Emerton NSW 2222",Emerton,0,1,2,Studio,https://www.realestate.com.au/property/emerton/studio-7,realestate.com.au
"Guide $678,575",678575.0,"564 William St, Emerton NSW 2503",Emerton,1,2,1,House,https://www.domain.com.au/property/emerton/house-8,domain.com.au
"$1,719,982",1719982.0,"280 The Boulevarde, Emerton NSW 2514",Emerton,6,3,0,Penthouse,https://www.realestate.com.au/property/emerton/penthouse-9,realestate.com.au
"From $1,848,680",1848680.0,"618 High St, Emerton NSW 2162",Emerton,6,3,2,Penthouse,https://www.realestateview.com.au/property/emerton/penthouse-10,realestateview.com.au
"$2,047,134 ONO",2047134.0,"657 Elizabeth St, Emerton NSW 2362",Emerton,4,3,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/emerton/apartment--unit--flat-11,realestateview.com.au
"$589,224 ONO",589224.0,"211 William St, Emerton NSW 2805",Emerton,2,2,0,Townhouse,https://www.rent.com.au/property/emerton/townhouse-12,rent.com.au
"$1,434,810 - $1,552,770",1434810.0,"587 Military Rd, Emerton NSW 2236",Emerton,0,1,2,Studio,https://www.rent.com.au/property/emerton/studio-13,rent.com.au
"$1,914,621",1914621.0,"157 Elizabeth St, Emerton NSW 2323",Emerton,4,1,2,Villa,https://www.realestate.com.au/property/emerton/villa-14,realestate.com.au
"From $1,715,622",1715622.0,"633 Railway St, Emerton NSW 2804",Emerton,5,4,1,Townhouse,https://www.domain.com.au/property/emerton/townhouse-16,domain.com.au
"$2,492,451",2492451.0,"32 Edward St, Emerton NSW 2071",Emerton,1,2,2,Townhouse,https://www.domain.com.au/property/emerton/townhouse-17,domain.com.au
"$881,768 - $1,025,880",881768.0,"378 Market St, Emerton NSW 2427",Emerton,4,4,2,Apartment / Unit / Flat,https://www.domain.com.au/property/emerton/apartment--unit--flat-18,domain.com.au
"$2,005,432",2005432.0,"774 Main St, Emerton NSW 2815",Emerton,4,2,3,Penthouse,https://www.realestate.com.au/property/emerton/penthouse-19,realestate.com.au
"$1,609,185 ONO",1609185.0,"824 Elizabeth St, Emerton NSW 2234",Emerton,2,3,2,Villa,https://www.domain.com.au/property/emerton/villa-20,domain.com.au
"$2,122,635 ONO",2122635.0,"335 James St, Emerton NSW 2857",Emerton,5,3,0,Penthouse,https://www.rent.com.au/property/emerton/penthouse-21,rent.com.au
"$1,645,093 - $1,723,971",1645093.0,"547 Ocean Rd, Emerton NSW 2635",Emerton,4,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/emerton/apartment--unit--flat-22,domain.com.au
"Guide $1,206,540",1206540.0,"639 Railway St, Emerton NSW 2957",Emerton,2,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/emerton/apartment--unit--flat-23,rent.com.au
"$1,103,818 - $1,204,075",1103818.0,"116 Market St, Emerton NSW 2438",Emerton,3,3,2,House,https://www.rent.com.au/property/emerton/house-24,rent.com.au
