price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $2,005,634",2005634.0,"479 Main St, Enmore NSW 2415",Enmore,2,1,2,House,https://www.domain.com.au/property/enmore/house-0,domain.com.au
"Guide $1,203,194",1203194.0,"373 High St, Enmore NSW 2634",Enmore,3,1,2,House,https://www.domain.com.au/property/enmore/house-1,domain.com.au
"$2,269,933 - $2,407,389",2269933.0,"675 William St, Enmore NSW 2063",Enmore,3,2,2,House,https://www.realestate.com.au/property/enmore/house-2,realestate.com.au
"Guide $1,464,467",1464467.0,"390 Pacific Highway, Enmore NSW 2637",Enmore,3,2,0,Villa,https://www.domain.com.au/property/enmore/villa-3,domain.com.au
"Guide $971,672",971672.0,"768 Queen St, Enmore NSW 2700",Enmore,0,1,2,Studio,https://www.realestate.com.au/property/enmore/studio-4,realestate.com.au
"$1,858,124",1858124.0,"419 Victoria St, Enmore NSW 2042",Enmore,3,3,4,House,https://www.domain.com.au/property/enmore/house-5,domain.com.au
"Guide $1,225,595",1225595.0,"888 Queen St, Enmore NSW 2101",Enmore,1,1,0,Villa,https://www.rent.com.au/property/enmore/villa-6,rent.com.au
"$831,870 ONO",831870.0,"876 Beach Rd, Enmore NSW 2652",Enmore,6,4,2,Penthouse,https://www.rent.com.au/property/enmore/penthouse-7,rent.com.au
"From $909,825",909825.0,"631 Park Ave, Enmore NSW 2994",Enmore,4,2,1,Penthouse,https://www.domain.com.au/property/enmore/penthouse-8,domain.com.au
"Guide $1,945,434",1945434.0,"86 Church St, Enmore NSW 2925",Enmore,6,3,2,Penthouse,https://www.domain.com.au/property/enmore/penthouse-9,domain.com.au
"$1,577,383 - $1,704,331",1577383.0,"900 William St, Enmore NSW 2599",Enmore,3,1,1,Townhouse,https://www.realestateview.com.au/property/enmore/townhouse-10,realestateview.com.au
"Guide $1,140,370",1140370.0,"552 Princes Highway, Enmore NSW 2435",Enmore,1,2,1,Villa,https://www.realestateview.com.au/property/enmore/villa-11,realestateview.com.au
"$1,948,439",1948439.0,"234 Market St, Enmore NSW 2981",Enmore,1,1,1,Townhouse,https://www.realestate.com.au/property/enmore/townhouse-12,realestate.com.au
"$1,502,249 - $1,553,319",1502249.0,"289 Victoria St, Enmore NSW 2123",Enmore,4,3,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/enmore/apartment--unit--flat-13,realestateview.com.au
"From $799,468",799468.0,"109 King St, Enmore NSW 2196",Enmore,0,1,2,Studio,https://www.domain.com.au/property/enmore/studio-14,domain.com.au
"From $1,294,408",1294408.0,"851 King St, Enmore NSW 2379",Enmore,0,1,0,Studio,https://www.realestate.com.au/property/enmore/studio-15,realestate.com.au
"$1,750,661 - $2,043,590",1750661.0,"878 Railway St, Enmore NSW 2377",Enmore,6,3,1,Penthouse,https://www.rent.com.au/property/enmore/penthouse-16,rent.com.au
"Guide $1,089,828",1089828.0,"205 Queen St, Enmore NSW 2361",Enmore,5,2,1,House,https://www.rent.com.au/property/enmore/house-17,rent.com.au
"$1,908,269 ONO",1908269.0,"700 James St, Enmore NSW 2989",Enmore,3,1,1,Villa,https://www.rent.com.au/property/enmore/villa-19,rent.com.au
"$1,367,489",1367489.0,"114 Queen St, Enmore NSW 2396",Enmore,4,4,2,Villa,https://www.realestateview.com.au/property/enmore/villa-20,realestateview.com.au
"From $544,138",544138.0,"199 Park Ave, Enmore NSW 2803",Enmore,2,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/enmore/apartment--unit--flat-21,realestate.com.au
"From $830,511",830511.0,"369 Princes Highway, Enmore NSW 2705",Enmore,1,2,0,Villa,https://www.rent.com.au/property/enmore/villa-22,rent.com.au
"From $897,444",897444.0,"184 Princes Highway, Enmore NSW 2259",Enmore,4,4,0,Villa,https://www.realestateview.com.au/property/enmore/villa-23,realestateview.com.au
"$1,828,715 ONO",1828715.0,"530 Princes Highway, Enmore NSW 2304",Enmore,2,3,3,Apartment / Unit / Flat,https://www.domain.com.au/property/enmore/apartment--unit--flat-24,domain.com.au
