price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,089,555 - $1,347,749",1089555.0,"398 Victoria St, Erskineville NSW 2795",Erskineville,0,1,2,Studio,https://www.rent.com.au/property/erskineville/studio-0,rent.com.au
"$1,433,674 ONO",1433674.0,"434 Edward St, Erskineville NSW 2415",Erskineville,3,3,0,Penthouse,https://www.domain.com.au/property/erskineville/penthouse-1,domain.com.au
"From $1,818,583",1818583.0,"932 George St, Erskineville NSW 2127",Erskineville,0,1,0,Studio,https://www.realestate.com.au/property/erskineville/studio-2,realestate.com.au
"From $2,070,208",2070208.0,"345 Railway St, Erskineville NSW 2500",Erskineville,2,1,1,Villa,https://www.domain.com.au/property/erskineville/villa-3,domain.com.au
"$1,667,374 - $1,722,193",1667374.0,"641 Albert St, Erskineville NSW 2099",Erskineville,0,1,0,Studio,https://www.realestate.com.au/property/erskineville/studio-4,realestate.com.au
"$1,809,700 - $1,987,006",1809700.0,"96 High St, Erskineville NSW 2391",Erskineville,4,2,1,House,https://www.rent.com.au/property/erskineville/house-5,rent.com.au
"$865,506",865506.0,"744 George St, Erskineville NSW 2272",Erskineville,4,3,3,House,https://www.domain.com.au/property/erskineville/house-6,domain.com.au
"$2,369,288 ONO",2369288.0,"572 Ocean Rd, Erskineville NSW 2428",Erskineville,4,4,0,House,https://www.realestateview.com.au/property/erskineville/house-7,realestateview.com.au
"$1,026,972",1026972.0,"234 William St, Erskineville NSW 2293",Erskineville,3,3,0,Townhouse,https://www.realestate.com.au/property/erskineville/townhouse-8,realestate.com.au
"$957,619 ONO",957619.0,"721 Princes Highway, Erskineville NSW 2705",Erskineville,4,4,2,Villa,https://www.domain.com.au/property/erskineville/villa-10,domain.com.au
"Guide $1,054,900",1054900.0,"516 Railway St, Erskineville NSW 2147",Erskineville,3,2,4,Townhouse,https://www.domain.com.au/property/erskineville/townhouse-11,domain.com.au
"From $1,712,706",1712706.0,"602 Queen St, Erskineville NSW 2878",Erskineville,3,4,2,Villa,https://www.realestateview.com.au/property/erskineville/villa-12,realestateview.com.au
"$514,334",514334.0,"439 Church St, Erskineville NSW 2234",Erskineville,3,3,1,House,https://www.domain.com.au/property/erskineville/house-14,domain.com.au
"From $593,369",593369.0,"729 Elizabeth St, Erskineville NSW 2179",Erskineville,4,3,0,Townhouse,https://www.realestateview.com.au/property/erskineville/townhouse-15,realestateview.com.au
"Guide $707,907",707907.0,"920 Edward St, Erskineville NSW 2484",Erskineville,3,4,1,Townhouse,https://www.rent.com.au/property/erskineville/townhouse-16,rent.com.au
"$970,866 - $1,203,070",970866.0,"227 Beach Rd, Erskineville NSW 2821",Erskineville,4,2,0,Penthouse,https://www.domain.com.au/property/erskineville/penthouse-17,domain.com.au
"Guide $829,946",829946.0,"306 Church St, Erskineville NSW 2487",Erskineville,3,4,2,Apartment / Unit / Flat,https://www.rent.com.au/property/erskineville/apartment--unit--flat-19,rent.com.au
"$1,823,260",1823260.0,"421 High St, Erskineville NSW 2566",Erskineville,0,1,2,Studio,https://www.realestate.com.au/property/erskineville/studio-20,realestate.com.au
"$1,408,389",1408389.0,"435 Queen St, Erskineville NSW 2505",Erskineville,0,1,0,Studio,https://www.domain.com.au/property/erskineville/studio-21,domain.com.au
"From $1,977,831",1977831.0,"762 Victoria St, Erskineville NSW 2248",Erskineville,3,4,3,Apartment / Unit / Flat,https://www.rent.com.au/property/erskineville/apartment--unit--flat-22,rent.com.au
