price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,150,534",1150534.0,"406 Main St, Fairfield NSW 2465",Fairfield,1,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/fairfield/apartment--unit--flat-0,rent.com.au
"$761,376 ONO",761376.0,"241 The Boulevarde, Fairfield NSW 2532",Fairfield,2,2,1,House,https://www.realestateview.com.au/property/fairfield/house-1,realestateview.com.au
"$858,355 - $1,078,319",858355.0,"322 Victoria St, Fairfield NSW 2435",Fairfield,3,4,2,Villa,https://www.realestate.com.au/property/fairfield/villa-2,realestate.com.au
"Guide $1,092,375",1092375.0,"960 Military Rd, Fairfield NSW 2972",Fairfield,1,2,3,Apartment / Unit / Flat,https://www.domain.com.au/property/fairfield/apartment--unit--flat-3,domain.com.au
"Guide $880,056",880056.0,"189 Railway St, Fairfield NSW 2475",Fairfield,4,2,0,House,https://www.domain.com.au/property/fairfield/house-4,domain.com.au
"Guide $1,161,029",1161029.0,"833 Elizabeth St, Fairfield NSW 2187",Fairfield,0,1,0,Studio,https://www.rent.com.au/property/fairfield/studio-5,rent.com.au
"From $1,132,600",1132600.0,"680 William St, Fairfield NSW 2869",Fairfield,1,2,3,Villa,https://www.domain.com.au/property/fairfield/villa-6,domain.com.au
"$606,280",606280.0,"413 The Boulevarde, Fairfield NSW 2424",Fairfield,5,1,0,House,https://www.domain.com.au/property/fairfield/house-7,domain.com.au
"$1,165,058",1165058.0,"642 Railway St, Fairfield NSW 2889",Fairfield,3,3,4,Villa,https://www.realestate.com.au/property/fairfield/villa-8,realestate.com.au
"Guide $682,289",682289.0,"911 Princes Highway, Fairfield NSW 2775",Fairfield,2,2,1,Villa,https://www.realestate.com.au/property/fairfield/villa-9,realestate.com.au
"$1,188,293 ONO",1188293.0,"281 Main St, Fairfield NSW 2417",Fairfield,4,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/fairfield/apartment--unit--flat-12,domain.com.au
"Guide $912,525",912525.0,"538 Main St, Fairfield NSW 2384",Fairfield,3,2,0,Townhouse,https://www.domain.com.au/property/fairfield/townhouse-17,domain.com.au
"$728,457 - $865,425",728457.0,"36 Market St, Fairfield NSW 2811",Fairfield,3,2,2,Townhouse,https://www.domain.com.au/property/fairfield/townhouse-18,domain.com.au
"From $732,655",732655.0,"326 Victoria St, Fairfield NSW 2618",Fairfield,1,1,2,Villa,https://www.rent.com.au/property/fairfield/villa-19,rent.com.au
"Guide $1,006,484",1006484.0,"348 Market St, Fairfield NSW 2369",Fairfield,2,2,0,House,https://www.domain.com.au/property/fairfield/house-20,domain.com.au
"$1,096,976",1096976.0,"311 William St, Fairfield NSW 2639",Fairfield,3,2,3,Villa,https://www.realestateview.com.au/property/fairfield/villa-22,realestateview.com.au
"From $1,043,594",1043594.0,"667 Princes Highway, Fairfield NSW 2357",Fairfield,4,1,2,Townhouse,https://www.realestateview.com.au/property/fairfield/townhouse-23,realestateview.com.au
"Guide $619,245",619245.0,"118 James St, Fairfield NSW 2885",Fairfield,0,1,1,Studio,https://www.domain.com.au/property/fairfield/studio-24,domain.com.au
