price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$631,842 ONO",631842.0,"713 Main St, Fairfield Heights NSW 2275",Fairfield Heights,4,4,1,House,https://www.domain.com.au/property/fairfield-heights/house-0,domain.com.au
"$1,674,055 - $1,933,250",1674055.0,"144 Edward St, Fairfield Heights NSW 2222",Fairfield Heights,2,3,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/fairfield-heights/apartment--unit--flat-2,realestateview.com.au
"$1,714,314",1714314.0,"111 Pacific Highway, Fairfield Heights NSW 2104",Fairfield Heights,3,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/fairfield-heights/apartment--unit--flat-3,rent.com.au
"From $2,309,371",2309371.0,"903 Princes Highway, Fairfield Heights NSW 2911",Fairfield Heights,1,1,1,House,https://www.realestateview.com.au/property/fairfield-heights/house-4,realestateview.com.au
"Guide $722,603",722603.0,"824 Princes Highway, Fairfield Heights NSW 2662",Fairfield Heights,5,4,2,Villa,https://www.rent.com.au/property/fairfield-heights/villa-5,rent.com.au
"$2,170,270 ONO",2170270.0,"234 Military Rd, Fairfield Heights NSW 2172",Fairfield Heights,6,3,1,Penthouse,https://www.domain.com.au/property/fairfield-heights/penthouse-6,domain.com.au
"From $1,747,667",1747667.0,"307 James St, Fairfield Heights NSW 2386",Fairfield Heights,2,2,1,Villa,https://www.domain.com.au/property/fairfield-heights/villa-7,domain.com.au
"From $1,820,898",1820898.0,"543 James St, Fairfield Heights NSW 2347",Fairfield Heights,4,1,3,Villa,https://www.realestateview.com.au/property/fairfield-heights/villa-9,realestateview.com.au
"$556,392",556392.0,"161 Victoria St, Fairfield Heights NSW 2965",Fairfield Heights,4,1,0,Villa,https://www.rent.com.au/property/fairfield-heights/villa-10,rent.com.au
"Guide $1,028,551",1028551.0,"705 William St, Fairfield Heights NSW 2589",Fairfield Heights,4,4,0,Villa,https://www.domain.com.au/property/fairfield-heights/villa-11,domain.com.au
"$1,117,638 - $1,256,738",1117638.0,"785 James St, Fairfield Heights NSW 2814",Fairfield Heights,2,1,0,Villa,https://www.realestate.com.au/property/fairfield-heights/villa-12,realestate.com.au
"Guide $2,011,387",2011387.0,"220 The Boulevarde, Fairfield Heights NSW 2274",Fairfield Heights,0,1,2,Studio,https://www.realestateview.com.au/property/fairfield-heights/studio-13,realestateview.com.au
"$2,253,883",2253883.0,"665 George St, Fairfield Heights NSW 2312",Fairfield Heights,2,2,0,House,https://www.domain.com.au/property/fairfield-heights/house-14,domain.com.au
"Guide $1,920,395",1920395.0,"88 Beach Rd, Fairfield Heights NSW 2045",Fairfield Heights,2,1,0,Townhouse,https://www.domain.com.au/property/fairfield-heights/townhouse-15,domain.com.au
"$1,817,514 - $1,900,654",1817514.0,"431 Edward St, Fairfield Heights NSW 2037",Fairfield Heights,2,1,1,House,https://www.domain.com.au/property/fairfield-heights/house-16,domain.com.au
"$1,474,254 - $1,611,971",1474254.0,"862 Railway St, Fairfield Heights NSW 2061",Fairfield Heights,2,1,2,Apartment / Unit / Flat,https://www.rent.com.au/property/fairfield-heights/apartment--unit--flat-17,rent.com.au
"Guide $1,758,140",1758140.0,"610 Main St, Fairfield Heights NSW 2407",Fairfield Heights,3,2,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/fairfield-heights/apartment--unit--flat-19,realestate.com.au
"Guide $1,078,400",1078400.0,"447 High St, Fairfield Heights NSW 2002",Fairfield Heights,3,3,2,Apartment / Unit / Flat,https://www.rent.com.au/property/fairfield-heights/apartment--unit--flat-20,rent.com.au
"$728,521 ONO",728521.0,"487 Military Rd, Fairfield Heights NSW 2369",Fairfield Heights,2,2,2,Townhouse,https://www.realestateview.com.au/property/fairfield-heights/townhouse-21,realestateview.com.au
"From $2,468,921",2468921.0,"810 High St, Fairfield Heights NSW 2040",Fairfield Heights,4,2,0,House,https://www.rent.com.au/property/fairfield-heights/house-22,rent.com.au
"From $1,097,869",1097869.0,"399 James St, Fairfield Heights NSW 2308",Fairfield Heights,5,3,2,Penthouse,https://www.rent.com.au/property/fairfield-heights/penthouse-23,rent.com.au
