price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,470,680 ONO",1470680.0,"399 Market St, Fairfield West NSW 2249",Fairfield West,1,2,1,Townhouse,https://www.realestateview.com.au/property/fairfield-west/townhouse-0,realestateview.com.au
"From $516,882",516882.0,"902 William St, Fairfield West NSW 2963",Fairfield West,6,2,2,Townhouse,https://www.realestate.com.au/property/fairfield-west/townhouse-1,realestate.com.au
"From $2,323,050",2323050.0,"780 Queen St, Fairfield West NSW 2450",Fairfield West,5,4,2,Penthouse,https://www.realestateview.com.au/property/fairfield-west/penthouse-2,realestateview.com.au
"$911,698 - $1,043,105",911698.0,"430 Park Ave, Fairfield West NSW 2061",Fairfield West,2,1,2,House,https://www.domain.com.au/property/fairfield-west/house-4,domain.com.au
"$2,048,275",2048275.0,"913 High St, Fairfield West NSW 2128",Fairfield West,4,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/fairfield-west/apartment--unit--flat-5,realestate.com.au
"Guide $2,437,255",2437255.0,"657 Queen St, Fairfield West NSW 2015",Fairfield West,2,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/fairfield-west/apartment--unit--flat-6,rent.com.au
"$2,251,792",2251792.0,"95 Railway St, Fairfield West NSW 2148",Fairfield West,3,2,1,Villa,https://www.rent.com.au/property/fairfield-west/villa-7,rent.com.au
"$2,162,841",2162841.0,"111 Beach Rd, Fairfield West NSW 2921",Fairfield West,4,2,3,Villa,https://www.realestateview.com.au/property/fairfield-west/villa-8,realestateview.com.au
"$1,362,808 - $1,435,942",1362808.0,"593 Pacific Highway, Fairfield West NSW 2006",Fairfield West,0,1,1,Studio,https://www.rent.com.au/property/fairfield-west/studio-9,rent.com.au
"$2,155,526 - $2,382,739",2155526.0,"261 Queen St, Fairfield West NSW 2149",Fairfield West,3,2,3,House,https://www.domain.com.au/property/fairfield-west/house-10,domain.com.au
"$1,644,586",1644586.0,"27 Victoria St, Fairfield West NSW 2702",Fairfield West,4,2,1,Penthouse,https://www.realestate.com.au/property/fairfield-west/penthouse-11,realestate.com.au
"$1,866,590",1866590.0,"664 George St, Fairfield West NSW 2785",Fairfield West,3,2,3,Apartment / Unit / Flat,https://www.domain.com.au/property/fairfield-west/apartment--unit--flat-12,domain.com.au
"$1,716,608 ONO",1716608.0,"773 Market St, Fairfield West NSW 2066",Fairfield West,2,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/fairfield-west/apartment--unit--flat-13,realestateview.com.au
"$869,740 ONO",869740.0,"560 Edward St, Fairfield West NSW 2246",Fairfield West,1,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/fairfield-west/apartment--unit--flat-14,realestateview.com.au
"From $1,548,498",1548498.0,"306 William St, Fairfield West NSW 2268",Fairfield West,4,2,1,Penthouse,https://www.rent.com.au/property/fairfield-west/penthouse-15,rent.com.au
"$1,301,390 ONO",1301390.0,"576 Pacific Highway, Fairfield West NSW 2177",Fairfield West,3,4,0,Townhouse,https://www.domain.com.au/property/fairfield-west/townhouse-16,domain.com.au
"Guide $1,280,236",1280236.0,"553 Market St, Fairfield West NSW 2320",Fairfield West,4,2,2,Penthouse,https://www.rent.com.au/property/fairfield-west/penthouse-17,rent.com.au
"Guide $2,035,643",2035643.0,"38 Albert St, Fairfield West NSW 2767",Fairfield West,4,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/fairfield-west/apartment--unit--flat-18,realestateview.com.au
"$1,003,562",1003562.0,"237 Princes Highway, Fairfield West NSW 2283",Fairfield West,1,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/fairfield-west/apartment--unit--flat-19,realestateview.com.au
"$1,950,795",1950795.0,"899 Princes Highway, Fairfield West NSW 2385",Fairfield West,0,1,2,Studio,https://www.domain.com.au/property/fairfield-west/studio-20,domain.com.au
"Guide $665,999",665999.0,"765 Main St, Fairfield West NSW 2510",Fairfield West,2,1,1,House,https://www.realestate.com.au/property/fairfield-west/house-21,realestate.com.au
"From $2,356,138",2356138.0,"524 King St, Fairfield West NSW 2007",Fairfield West,3,2,3,House,https://www.domain.com.au/property/fairfield-west/house-22,domain.com.au
"$866,254 - $938,883",866254.0,"279 King St, Fairfield West NSW 2323",Fairfield West,3,3,4,Apartment / Unit / Flat,https://www.domain.com.au/property/fairfield-west/apartment--unit--flat-23,domain.com.au
"$819,996 ONO",819996.0,"223 Military Rd, Fairfield West NSW 2453",Fairfield West,6,2,0,Penthouse,https://www.realestate.com.au/property/fairfield-west/penthouse-24,realestate.com.au
