price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $2,345,767",2345767.0,"25 The Boulevarde, Fairlight NSW 2343",Fairlight,0,1,1,Studio,https://www.domain.com.au/property/fairlight/studio-0,domain.com.au
"Guide $737,293",737293.0,"650 Beach Rd, Fairlight NSW 2273",Fairlight,2,2,0,Villa,https://www.rent.com.au/property/fairlight/villa-1,rent.com.au
"$1,101,790",1101790.0,"2 Ocean Rd, Fairlight NSW 2932",Fairlight,3,1,0,Townhouse,https://www.rent.com.au/property/fairlight/townhouse-2,rent.com.au
"$1,973,578",1973578.0,"149 Main St, Fairlight NSW 2260",Fairlight,3,4,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/fairlight/apartment--unit--flat-3,realestate.com.au
"$1,427,962",1427962.0,"931 Military Rd, Fairlight NSW 2881",Fairlight,1,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/fairlight/apartment--unit--flat-4,rent.com.au
"$1,670,721 - $1,936,448",1670721.0,"334 Ocean Rd, Fairlight NSW 2608",Fairlight,3,4,1,Villa,https://www.realestateview.com.au/property/fairlight/villa-5,realestateview.com.au
"$2,445,279 ONO",2445279.0,"613 Victoria St, Fairlight NSW 2698",Fairlight,4,3,0,Penthouse,https://www.realestate.com.au/property/fairlight/penthouse-6,realestate.com.au
"Guide $2,048,254",2048254.0,"33 William St, Fairlight NSW 2797",Fairlight,2,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/fairlight/apartment--unit--flat-7,domain.com.au
"From $685,477",685477.0,"892 Market St, Fairlight NSW 2485",Fairlight,3,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/fairlight/apartment--unit--flat-8,realestateview.com.au
"$2,236,283",2236283.0,"480 Church St, Fairlight NSW 2153",Fairlight,2,3,2,Villa,https://www.realestateview.com.au/property/fairlight/villa-9,realestateview.com.au
"From $1,696,801",1696801.0,"18 Princes Highway, Fairlight NSW 2473",Fairlight,0,1,3,Studio,https://www.rent.com.au/property/fairlight/studio-10,rent.com.au
"From $970,319",970319.0,"638 James St, Fairlight NSW 2285",Fairlight,1,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/fairlight/apartment--unit--flat-11,domain.com.au
"From $822,257",822257.0,"311 Church St, Fairlight NSW 2370",Fairlight,2,2,1,House,https://www.domain.com.au/property/fairlight/house-12,domain.com.au
"$915,357",915357.0,"524 Queen St, Fairlight NSW 2941",Fairlight,0,1,1,Studio,https://www.rent.com.au/property/fairlight/studio-13,rent.com.au
"From $2,361,495",2361495.0,"174 Market St, Fairlight NSW 2995",Fairlight,3,4,0,Villa,https://www.realestate.com.au/property/fairlight/villa-14,realestate.com.au
"$1,455,948 ONO",1455948.0,"29 Church St, Fairlight NSW 2063",Fairlight,0,1,3,Studio,https://www.domain.com.au/property/fairlight/studio-15,domain.com.au
"$2,134,824 ONO",2134824.0,"318 The Boulevarde, Fairlight NSW 2331",Fairlight,2,2,2,Townhouse,https://www.realestate.com.au/property/fairlight/townhouse-16,realestate.com.au
"$1,307,660 ONO",1307660.0,"643 Ocean Rd, Fairlight NSW 2463",Fairlight,3,2,1,Penthouse,https://www.rent.com.au/property/fairlight/penthouse-17,rent.com.au
"$1,281,500 - $1,554,064",1281500.0,"915 Ocean Rd, Fairlight NSW 2721",Fairlight,5,2,1,Penthouse,https://www.domain.com.au/property/fairlight/penthouse-18,domain.com.au
"Guide $1,278,317",1278317.0,"221 Military Rd, Fairlight NSW 2861",Fairlight,6,2,0,Penthouse,https://www.realestate.com.au/property/fairlight/penthouse-20,realestate.com.au
"From $1,019,675",1019675.0,"461 Market St, Fairlight NSW 2471",Fairlight,3,2,1,Villa,https://www.rent.com.au/property/fairlight/villa-21,rent.com.au
"$1,541,605",1541605.0,"945 Beach Rd, Fairlight NSW 2342",Fairlight,2,2,0,Villa,https://www.domain.com.au/property/fairlight/villa-22,domain.com.au
"$2,181,001 ONO",2181001.0,"938 Railway St, Fairlight NSW 2654",Fairlight,3,3,1,Penthouse,https://www.rent.com.au/property/fairlight/penthouse-23,rent.com.au
"$2,281,299 ONO",2281299.0,"802 Market St, Fairlight NSW 2617",Fairlight,2,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/fairlight/apartment--unit--flat-24,rent.com.au
