price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$948,207",948207.0,"161 Queen St, Five Dock NSW 2109",Five Dock,3,2,1,Penthouse,https://www.realestate.com.au/property/five-dock/penthouse-0,realestate.com.au
"$2,165,179 ONO",2165179.0,"428 King St, Five Dock NSW 2621",Five Dock,3,2,1,House,https://www.rent.com.au/property/five-dock/house-3,rent.com.au
"From $2,378,324",2378324.0,"34 James St, Five Dock NSW 2704",Five Dock,2,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/five-dock/apartment--unit--flat-4,domain.com.au
"$1,044,552 ONO",1044552.0,"741 James St, Five Dock NSW 2036",Five Dock,1,2,0,House,https://www.rent.com.au/property/five-dock/house-5,rent.com.au
"Guide $1,091,040",1091040.0,"84 Princes Highway, Five Dock NSW 2156",Five Dock,2,2,1,House,https://www.rent.com.au/property/five-dock/house-6,rent.com.au
"From $1,452,405",1452405.0,"759 Park Ave, Five Dock NSW 2846",Five Dock,0,1,1,Studio,https://www.realestate.com.au/property/five-dock/studio-7,realestate.com.au
"From $1,750,435",1750435.0,"970 Main St, Five Dock NSW 2961",Five Dock,0,1,3,Studio,https://www.realestateview.com.au/property/five-dock/studio-8,realestateview.com.au
"$1,358,475 ONO",1358475.0,"719 William St, Five Dock NSW 2495",Five Dock,2,2,0,Townhouse,https://www.realestate.com.au/property/five-dock/townhouse-9,realestate.com.au
"$2,160,588 - $2,406,022",2160588.0,"217 High St, Five Dock NSW 2611",Five Dock,1,2,1,Townhouse,https://www.realestate.com.au/property/five-dock/townhouse-10,realestate.com.au
"Guide $1,000,129",1000129.0,"534 Market St, Five Dock NSW 2658",Five Dock,3,2,2,Penthouse,https://www.realestate.com.au/property/five-dock/penthouse-11,realestate.com.au
"$2,057,255",2057255.0,"103 Railway St, Five Dock NSW 2630",Five Dock,3,3,2,Villa,https://www.rent.com.au/property/five-dock/villa-12,rent.com.au
"From $944,047",944047.0,"889 Railway St, Five Dock NSW 2839",Five Dock,3,2,1,Townhouse,https://www.realestateview.com.au/property/five-dock/townhouse-13,realestateview.com.au
"$749,705 ONO",749705.0,"622 Elizabeth St, Five Dock NSW 2939",Five Dock,4,3,1,Villa,https://www.realestate.com.au/property/five-dock/villa-14,realestate.com.au
"$1,414,923 - $1,640,288",1414923.0,"868 Main St, Five Dock NSW 2994",Five Dock,1,1,0,Villa,https://www.realestate.com.au/property/five-dock/villa-15,realestate.com.au
"$1,505,180",1505180.0,"292 Albert St, Five Dock NSW 2096",Five Dock,3,2,0,Villa,https://www.realestate.com.au/property/five-dock/villa-16,realestate.com.au
"$727,667 - $1,024,208",727667.0,"763 Pacific Highway, Five Dock NSW 2950",Five Dock,0,1,2,Studio,https://www.domain.com.au/property/five-dock/studio-17,domain.com.au
"From $2,112,144",2112144.0,"942 George St, Five Dock NSW 2417",Five Dock,3,3,2,Villa,https://www.realestateview.com.au/property/five-dock/villa-18,realestateview.com.au
"Guide $830,298",830298.0,"889 Military Rd, Five Dock NSW 2743",Five Dock,6,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/five-dock/apartment--unit--flat-19,domain.com.au
"$1,740,098 ONO",1740098.0,"822 Park Ave, Five Dock NSW 2086",Five Dock,2,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/five-dock/apartment--unit--flat-20,rent.com.au
"$1,044,324 - $1,339,858",1044324.0,"721 Church St, Five Dock NSW 2723",Five Dock,5,2,0,Townhouse,https://www.realestateview.com.au/property/five-dock/townhouse-21,realestateview.com.au
"From $746,908",746908.0,"399 Beach Rd, Five Dock NSW 2660",Five Dock,3,3,0,Villa,https://www.realestateview.com.au/property/five-dock/villa-22,realestateview.com.au
"From $1,829,419",1829419.0,"866 Park Ave, Five Dock NSW 2390",Five Dock,4,1,0,House,https://www.realestate.com.au/property/five-dock/house-23,realestate.com.au
"$808,507 - $916,052",808507.0,"791 Elizabeth St, Five Dock NSW 2313",Five Dock,0,1,1,Studio,https://www.domain.com.au/property/five-dock/studio-24,domain.com.au
