price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,167,928",1167928.0,"921 Elizabeth St, Flemington NSW 2593",Flemington,1,1,0,Villa,https://www.realestateview.com.au/property/flemington/villa-0,realestateview.com.au
"Guide $1,393,590",1393590.0,"964 Railway St, Flemington NSW 2897",Flemington,3,4,0,Penthouse,https://www.realestate.com.au/property/flemington/penthouse-1,realestate.com.au
"From $1,243,261",1243261.0,"602 Market St, Flemington NSW 2693",Flemington,4,4,1,Townhouse,https://www.rent.com.au/property/flemington/townhouse-2,rent.com.au
"$1,342,612",1342612.0,"59 Park Ave, Flemington NSW 2383",Flemington,2,3,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/flemington/apartment--unit--flat-3,realestateview.com.au
"$1,517,045 - $1,625,277",1517045.0,"77 Queen St, Flemington NSW 2766",Flemington,0,1,0,Studio,https://www.realestateview.com.au/property/flemington/studio-4,realestateview.com.au
"Guide $774,222",774222.0,"822 Queen St, Flemington NSW 2941",Flemington,6,4,2,Penthouse,https://www.domain.com.au/property/flemington/penthouse-5,domain.com.au
"Guide $799,171",799171.0,"164 Queen St, Flemington NSW 2618",Flemington,0,1,0,Studio,https://www.rent.com.au/property/flemington/studio-6,rent.com.au
"From $2,124,256",2124256.0,"439 James St, Flemington NSW 2595",Flemington,5,2,0,Penthouse,https://www.domain.com.au/property/flemington/penthouse-7,domain.com.au
"$1,909,139 - $2,026,016",1909139.0,"461 King St, Flemington NSW 2512",Flemington,3,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/flemington/apartment--unit--flat-8,realestate.com.au
"Guide $2,024,462",2024462.0,"49 Main St, Flemington NSW 2726",Flemington,3,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/flemington/apartment--unit--flat-9,rent.com.au
"From $556,644",556644.0,"83 Queen St, Flemington NSW 2783",Flemington,0,1,0,Studio,https://www.realestate.com.au/property/flemington/studio-11,realestate.com.au
"$1,063,111",1063111.0,"922 Albert St, Flemington NSW 2927",Flemington,1,1,1,Townhouse,https://www.rent.com.au/property/flemington/townhouse-12,rent.com.au
"$1,661,114 - $1,887,993",1661114.0,"578 Queen St, Flemington NSW 2369",Flemington,2,3,0,Villa,https://www.rent.com.au/property/flemington/villa-13,rent.com.au
"$1,134,604 - $1,357,814",1134604.0,"407 High St, Flemington NSW 2345",Flemington,0,1,4,Studio,https://www.realestateview.com.au/property/flemington/studio-14,realestateview.com.au
"Guide $945,534",945534.0,"902 Victoria St, Flemington NSW 2063",Flemington,3,2,1,House,https://www.rent.com.au/property/flemington/house-15,rent.com.au
"From $1,538,186",1538186.0,"969 King St, Flemington NSW 2821",Flemington,3,1,2,Villa,https://www.domain.com.au/property/flemington/villa-16,domain.com.au
"$1,895,162",1895162.0,"853 High St, Flemington NSW 2830",Flemington,6,4,2,Penthouse,https://www.realestateview.com.au/property/flemington/penthouse-17,realestateview.com.au
"$961,757 - $1,175,548",961757.0,"374 William St, Flemington NSW 2390",Flemington,3,4,1,Penthouse,https://www.realestateview.com.au/property/flemington/penthouse-19,realestateview.com.au
"From $2,386,799",2386799.0,"226 Ocean Rd, Flemington NSW 2287",Flemington,0,1,2,Studio,https://www.rent.com.au/property/flemington/studio-20,rent.com.au
"Guide $1,221,981",1221981.0,"303 Edward St, Flemington NSW 2265",Flemington,1,2,1,Villa,https://www.rent.com.au/property/flemington/villa-21,rent.com.au
"$1,792,478 - $1,871,319",1792478.0,"779 High St, Flemington NSW 2928",Flemington,3,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/flemington/apartment--unit--flat-22,realestate.com.au
"$1,745,801 ONO",1745801.0,"366 Military Rd, Flemington NSW 2779",Flemington,4,3,0,Townhouse,https://www.realestate.com.au/property/flemington/townhouse-23,realestate.com.au
"$1,198,227 - $1,423,987",1198227.0,"744 Pacific Highway, Flemington NSW 2220",Flemington,1,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/flemington/apartment--unit--flat-24,realestateview.com.au
