price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$840,125",840125.0,"780 Church St, Freshwater NSW 2079",Freshwater,3,2,3,House,https://www.realestate.com.au/property/freshwater/house-0,realestate.com.au
"$1,235,982 - $1,289,595",1235982.0,"368 William St, Freshwater NSW 2607",Freshwater,5,4,0,Townhouse,https://www.realestate.com.au/property/freshwater/townhouse-3,realestate.com.au
"Guide $859,961",859961.0,"426 Albert St, Freshwater NSW 2046",Freshwater,2,1,2,House,https://www.realestate.com.au/property/freshwater/house-5,realestate.com.au
"$1,838,174 - $2,074,334",1838174.0,"725 Church St, Freshwater NSW 2007",Freshwater,5,3,1,House,https://www.realestate.com.au/property/freshwater/house-6,realestate.com.au
"From $1,459,466",1459466.0,"57 Church St, Freshwater NSW 2105",Freshwater,2,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/freshwater/apartment--unit--flat-7,realestateview.com.au
"$700,736",700736.0,"97 Elizabeth St, Freshwater NSW 2877",Freshwater,4,2,0,House,https://www.realestateview.com.au/property/freshwater/house-8,realestateview.com.au
"$776,499 - $981,182",776499.0,"356 Pacific Highway, Freshwater NSW 2189",Freshwater,5,2,0,Townhouse,https://www.realestateview.com.au/property/freshwater/townhouse-10,realestateview.com.au
"$622,916 - $833,709",622916.0,"110 Pacific Highway, Freshwater NSW 2190",Freshwater,0,1,3,Studio,https://www.rent.com.au/property/freshwater/studio-11,rent.com.au
"From $1,539,715",1539715.0,"884 Military Rd, Freshwater NSW 2226",Freshwater,4,3,2,Apartment / Unit / Flat,https://www.rent.com.au/property/freshwater/apartment--unit--flat-12,rent.com.au
"$935,598 ONO",935598.0,"141 Edward St, Freshwater NSW 2685",Freshwater,4,1,4,Villa,https://www.realestate.com.au/property/freshwater/villa-13,realestate.com.au
"Guide $1,856,439",1856439.0,"504 Albert St, Freshwater NSW 2538",Freshwater,2,3,1,Villa,https://www.realestateview.com.au/property/freshwater/villa-14,realestateview.com.au
"Guide $2,030,759",2030759.0,"754 The Boulevarde, Freshwater NSW 2641",Freshwater,2,2,0,House,https://www.rent.com.au/property/freshwater/house-15,rent.com.au
"$1,545,665 ONO",1545665.0,"321 Park Ave, Freshwater NSW 2269",Freshwater,6,4,2,Penthouse,https://www.realestate.com.au/property/freshwater/penthouse-16,realestate.com.au
"$1,757,078",1757078.0,"656 Edward St, Freshwater NSW 2616",Freshwater,6,4,4,Apartment / Unit / Flat,https://www.domain.com.au/property/freshwater/apartment--unit--flat-17,domain.com.au
"Guide $2,241,026",2241026.0,"830 Beach Rd, Freshwater NSW 2387",Freshwater,3,2,0,Penthouse,https://www.rent.com.au/property/freshwater/penthouse-18,rent.com.au
"From $1,946,868",1946868.0,"609 Church St, Freshwater NSW 2046",Freshwater,0,1,0,Studio,https://www.domain.com.au/property/freshwater/studio-19,domain.com.au
"$582,804 ONO",582804.0,"903 Pacific Highway, Freshwater NSW 2152",Freshwater,2,1,2,Villa,https://www.domain.com.au/property/freshwater/villa-20,domain.com.au
"From $1,823,815",1823815.0,"577 Victoria St, Freshwater NSW 2437",Freshwater,2,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/freshwater/apartment--unit--flat-21,realestate.com.au
"$725,862 ONO",725862.0,"688 Ocean Rd, Freshwater NSW 2379",Freshwater,3,4,0,Villa,https://www.domain.com.au/property/freshwater/villa-22,domain.com.au
"Guide $563,745",563745.0,"91 Park Ave, Freshwater NSW 2108",Freshwater,0,1,2,Studio,https://www.rent.com.au/property/freshwater/studio-23,rent.com.au
"$697,355",697355.0,"119 Railway St, Freshwater NSW 2834",Freshwater,3,2,0,Penthouse,https://www.realestateview.com.au/property/freshwater/penthouse-24,realestateview.com.au
