price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $918,723",918723.0,"59 Elizabeth St, Georges Hall NSW 2009",Georges Hall,3,2,4,Townhouse,https://www.rent.com.au/property/georges-hall/townhouse-0,rent.com.au
"$2,178,874 - $2,393,406",2178874.0,"521 High St, Georges Hall NSW 2622",Georges Hall,4,1,3,Apartment / Unit / Flat,https://www.domain.com.au/property/georges-hall/apartment--unit--flat-1,domain.com.au
"$818,246",818246.0,"304 Princes Highway, Georges Hall NSW 2222",Georges Hall,2,2,4,Townhouse,https://www.domain.com.au/property/georges-hall/townhouse-2,domain.com.au
"$2,033,089 ONO",2033089.0,"492 Railway St, Georges Hall NSW 2933",Georges Hall,1,2,1,House,https://www.realestate.com.au/property/georges-hall/house-3,realestate.com.au
"$2,108,951",2108951.0,"273 Victoria St, Georges Hall NSW 2597",Georges Hall,2,2,0,Villa,https://www.realestate.com.au/property/georges-hall/villa-4,realestate.com.au
"$1,278,776 ONO",1278776.0,"448 Military Rd, Georges Hall NSW 2706",Georges Hall,2,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/georges-hall/apartment--unit--flat-5,realestate.com.au
"$1,597,750 - $1,778,035",1597750.0,"987 King St, Georges Hall NSW 2009",Georges Hall,0,1,0,Studio,https://www.realestate.com.au/property/georges-hall/studio-6,realestate.com.au
"$1,322,338",1322338.0,"829 High St, Georges Hall NSW 2936",Georges Hall,2,2,2,House,https://www.domain.com.au/property/georges-hall/house-7,domain.com.au
"From $2,344,390",2344390.0,"141 Military Rd, Georges Hall NSW 2048",Georges Hall,2,1,1,Villa,https://www.realestate.com.au/property/georges-hall/villa-8,realestate.com.au
"Guide $567,842",567842.0,"613 Victoria St, Georges Hall NSW 2071",Georges Hall,4,3,4,Villa,https://www.domain.com.au/property/georges-hall/villa-9,domain.com.au
"Guide $1,564,448",1564448.0,"999 Railway St, Georges Hall NSW 2983",Georges Hall,1,2,2,Villa,https://www.rent.com.au/property/georges-hall/villa-10,rent.com.au
"Guide $1,509,226",1509226.0,"72 Edward St, Georges Hall NSW 2310",Georges Hall,5,4,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/georges-hall/apartment--unit--flat-11,realestateview.com.au
"From $1,438,183",1438183.0,"615 Ocean Rd, Georges Hall NSW 2807",Georges Hall,2,3,2,Apartment / Unit / Flat,https://www.domain.com.au/property/georges-hall/apartment--unit--flat-12,domain.com.au
"$1,245,553",1245553.0,"919 George St, Georges Hall NSW 2592",Georges Hall,0,1,2,Studio,https://www.realestate.com.au/property/georges-hall/studio-13,realestate.com.au
"$1,261,917 ONO",1261917.0,"108 William St, Georges Hall NSW 2261",Georges Hall,0,1,0,Studio,https://www.domain.com.au/property/georges-hall/studio-14,domain.com.au
"$2,219,785 - $2,433,633",2219785.0,"338 Church St, Georges Hall NSW 2265",Georges Hall,1,2,3,Villa,https://www.realestateview.com.au/property/georges-hall/villa-15,realestateview.com.au
"$1,635,243 - $1,738,144",1635243.0,"467 Market St, Georges Hall NSW 2054",Georges Hall,6,2,2,Penthouse,https://www.realestateview.com.au/property/georges-hall/penthouse-18,realestateview.com.au
"$2,084,749 - $2,235,677",2084749.0,"471 Albert St, Georges Hall NSW 2236",Georges Hall,4,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/georges-hall/apartment--unit--flat-19,realestateview.com.au
"$839,554 ONO",839554.0,"692 Main St, Georges Hall NSW 2044",Georges Hall,3,1,1,Villa,https://www.realestateview.com.au/property/georges-hall/villa-20,realestateview.com.au
"$727,139 ONO",727139.0,"779 Railway St, Georges Hall NSW 2896",Georges Hall,0,1,3,Studio,https://www.domain.com.au/property/georges-hall/studio-21,domain.com.au
"$1,461,916",1461916.0,"551 Edward St, Georges Hall NSW 2528",Georges Hall,1,1,1,Townhouse,https://www.realestate.com.au/property/georges-hall/townhouse-22,realestate.com.au
"From $2,082,647",2082647.0,"205 Park Ave, Georges Hall NSW 2432",Georges Hall,2,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/georges-hall/apartment--unit--flat-23,realestateview.com.au
"$1,290,000 - $1,515,300",1290000.0,"612 Queen St, Georges Hall NSW 2230",Georges Hall,2,2,0,Townhouse,https://www.domain.com.au/property/georges-hall/townhouse-24,domain.com.au
