price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$583,623 - $647,434",583623.0,"327 Victoria St, Girraween NSW 2727",Girraween,3,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/girraween/apartment--unit--flat-0,realestate.com.au
"$828,651",828651.0,"231 Ocean Rd, Girraween NSW 2081",Girraween,3,1,1,Villa,https://www.realestate.com.au/property/girraween/villa-1,realestate.com.au
"$1,917,958",1917958.0,"75 Princes Highway, Girraween NSW 2921",Girraween,2,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/girraween/apartment--unit--flat-2,rent.com.au
"Guide $778,680",778680.0,"424 Market St, Girraween NSW 2586",Girraween,5,3,1,House,https://www.rent.com.au/property/girraween/house-3,rent.com.au
"$1,041,461 - $1,117,124",1041461.0,"947 Elizabeth St, Girraween NSW 2357",Girraween,6,2,2,Penthouse,https://www.rent.com.au/property/girraween/penthouse-4,rent.com.au
"Guide $668,201",668201.0,"348 George St, Girraween NSW 2290",Girraween,4,4,0,Apartment / Unit / Flat,https://www.rent.com.au/property/girraween/apartment--unit--flat-5,rent.com.au
"Guide $691,777",691777.0,"696 Military Rd, Girraween NSW 2470",Girraween,1,2,1,Villa,https://www.domain.com.au/property/girraween/villa-6,domain.com.au
"Guide $549,503",549503.0,"660 William St, Girraween NSW 2805",Girraween,0,1,0,Studio,https://www.realestateview.com.au/property/girraween/studio-8,realestateview.com.au
"$1,611,570 ONO",1611570.0,"918 James St, Girraween NSW 2160",Girraween,5,2,3,House,https://www.rent.com.au/property/girraween/house-9,rent.com.au
"$618,353",618353.0,"782 The Boulevarde, Girraween NSW 2901",Girraween,3,1,3,Townhouse,https://www.realestate.com.au/property/girraween/townhouse-10,realestate.com.au
"From $1,918,419",1918419.0,"837 King St, Girraween NSW 2622",Girraween,1,2,2,Villa,https://www.realestate.com.au/property/girraween/villa-11,realestate.com.au
"Guide $588,695",588695.0,"751 King St, Girraween NSW 2292",Girraween,0,1,1,Studio,https://www.realestateview.com.au/property/girraween/studio-12,realestateview.com.au
"From $2,225,149",2225149.0,"184 Market St, Girraween NSW 2448",Girraween,0,1,2,Studio,https://www.rent.com.au/property/girraween/studio-13,rent.com.au
"$1,815,118 - $2,003,957",1815118.0,"480 James St, Girraween NSW 2356",Girraween,0,1,2,Studio,https://www.rent.com.au/property/girraween/studio-14,rent.com.au
"$2,276,650",2276650.0,"992 Ocean Rd, Girraween NSW 2275",Girraween,0,1,3,Studio,https://www.domain.com.au/property/girraween/studio-15,domain.com.au
"$2,366,271 ONO",2366271.0,"740 Ocean Rd, Girraween NSW 2129",Girraween,5,2,1,Townhouse,https://www.realestateview.com.au/property/girraween/townhouse-16,realestateview.com.au
"From $2,101,081",2101081.0,"133 Market St, Girraween NSW 2566",Girraween,2,2,0,House,https://www.rent.com.au/property/girraween/house-17,rent.com.au
"From $1,079,495",1079495.0,"574 High St, Girraween NSW 2235",Girraween,2,1,2,Townhouse,https://www.rent.com.au/property/girraween/townhouse-19,rent.com.au
"Guide $1,384,326",1384326.0,"886 George St, Girraween NSW 2533",Girraween,5,2,1,Penthouse,https://www.rent.com.au/property/girraween/penthouse-20,rent.com.au
"From $1,568,915",1568915.0,"545 Elizabeth St, Girraween NSW 2295",Girraween,4,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/girraween/apartment--unit--flat-21,realestateview.com.au
"From $882,990",882990.0,"944 Market St, Girraween NSW 2852",Girraween,1,1,3,Townhouse,https://www.rent.com.au/property/girraween/townhouse-22,rent.com.au
"From $1,398,377",1398377.0,"619 Park Ave, Girraween NSW 2094",Girraween,2,3,0,House,https://www.realestate.com.au/property/girraween/house-23,realestate.com.au
"$1,152,451 - $1,256,985",1152451.0,"987 Railway St, Girraween NSW 2651",Girraween,3,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/girraween/apartment--unit--flat-24,realestateview.com.au
