price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,495,822",2495822.0,"182 George St, Gladesville NSW 2128",Gladesville,0,1,0,Studio,https://www.rent.com.au/property/gladesville/studio-0,rent.com.au
"$1,476,880 - $1,547,320",1476880.0,"481 King St, Gladesville NSW 2759",Gladesville,5,4,3,House,https://www.realestateview.com.au/property/gladesville/house-1,realestateview.com.au
"$709,966",709966.0,"944 King St, Gladesville NSW 2830",Gladesville,0,1,2,Studio,https://www.domain.com.au/property/gladesville/studio-2,domain.com.au
"$2,234,567 ONO",2234567.0,"262 Ocean Rd, Gladesville NSW 2072",Gladesville,4,4,1,Townhouse,https://www.realestate.com.au/property/gladesville/townhouse-3,realestate.com.au
"$965,824",965824.0,"228 Railway St, Gladesville NSW 2627",Gladesville,5,1,0,Villa,https://www.realestate.com.au/property/gladesville/villa-4,realestate.com.au
"Guide $1,807,475",1807475.0,"717 Edward St, Gladesville NSW 2764",Gladesville,4,3,0,House,https://www.realestateview.com.au/property/gladesville/house-5,realestateview.com.au
"$1,381,440 - $1,448,861",1381440.0,"132 Beach Rd, Gladesville NSW 2492",Gladesville,4,4,1,Villa,https://www.rent.com.au/property/gladesville/villa-6,rent.com.au
"Guide $1,352,852",1352852.0,"174 Beach Rd, Gladesville NSW 2001",Gladesville,4,4,4,Penthouse,https://www.realestateview.com.au/property/gladesville/penthouse-7,realestateview.com.au
"$1,692,374 ONO",1692374.0,"646 Victoria St, Gladesville NSW 2511",Gladesville,4,4,2,Apartment / Unit / Flat,https://www.rent.com.au/property/gladesville/apartment--unit--flat-8,rent.com.au
"From $1,827,674",1827674.0,"328 King St, Gladesville NSW 2480",Gladesville,0,1,1,Studio,https://www.realestate.com.au/property/gladesville/studio-9,realestate.com.au
"$1,989,662 ONO",1989662.0,"410 Victoria St, Gladesville NSW 2990",Gladesville,4,2,2,Penthouse,https://www.domain.com.au/property/gladesville/penthouse-10,domain.com.au
"$2,288,489 - $2,352,543",2288489.0,"921 Military Rd, Gladesville NSW 2417",Gladesville,3,4,0,Apartment / Unit / Flat,https://www.domain.com.au/property/gladesville/apartment--unit--flat-11,domain.com.au
"$1,301,384 - $1,368,023",1301384.0,"299 Park Ave, Gladesville NSW 2642",Gladesville,2,3,3,Townhouse,https://www.realestateview.com.au/property/gladesville/townhouse-12,realestateview.com.au
"$2,117,781 ONO",2117781.0,"188 George St, Gladesville NSW 2147",Gladesville,5,4,3,House,https://www.realestate.com.au/property/gladesville/house-13,realestate.com.au
"Guide $1,175,565",1175565.0,"53 Park Ave, Gladesville NSW 2273",Gladesville,2,3,0,Villa,https://www.realestate.com.au/property/gladesville/villa-14,realestate.com.au
"Guide $2,264,837",2264837.0,"605 Beach Rd, Gladesville NSW 2374",Gladesville,5,4,3,Penthouse,https://www.realestate.com.au/property/gladesville/penthouse-15,realestate.com.au
"Guide $1,623,121",1623121.0,"704 The Boulevarde, Gladesville NSW 2018",Gladesville,1,1,1,House,https://www.realestateview.com.au/property/gladesville/house-18,realestateview.com.au
"Guide $1,893,440",1893440.0,"818 King St, Gladesville NSW 2529",Gladesville,1,2,1,Villa,https://www.realestate.com.au/property/gladesville/villa-19,realestate.com.au
"From $1,373,617",1373617.0,"516 Church St, Gladesville NSW 2370",Gladesville,4,1,3,House,https://www.rent.com.au/property/gladesville/house-21,rent.com.au
"$848,696",848696.0,"446 Albert St, Gladesville NSW 2299",Gladesville,5,3,0,Penthouse,https://www.domain.com.au/property/gladesville/penthouse-22,domain.com.au
"$991,405",991405.0,"419 Beach Rd, Gladesville NSW 2981",Gladesville,3,1,0,Townhouse,https://www.domain.com.au/property/gladesville/townhouse-23,domain.com.au
"Guide $899,741",899741.0,"986 George St, Gladesville NSW 2404",Gladesville,2,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/gladesville/apartment--unit--flat-24,rent.com.au
