price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,148,526",1148526.0,"338 Military Rd, Glebe NSW 2202",Glebe,2,2,2,Villa,https://www.domain.com.au/property/glebe/villa-0,domain.com.au
"Guide $784,256",784256.0,"570 The Boulevarde, Glebe NSW 2089",Glebe,0,1,2,Studio,https://www.domain.com.au/property/glebe/studio-2,domain.com.au
"$541,098 ONO",541098.0,"545 Albert St, Glebe NSW 2860",Glebe,3,4,2,Townhouse,https://www.realestateview.com.au/property/glebe/townhouse-3,realestateview.com.au
"From $996,223",996223.0,"579 Park Ave, Glebe NSW 2975",Glebe,2,3,0,Townhouse,https://www.realestate.com.au/property/glebe/townhouse-4,realestate.com.au
"Guide $2,411,915",2411915.0,"39 Albert St, Glebe NSW 2288",Glebe,5,2,2,Villa,https://www.rent.com.au/property/glebe/villa-5,rent.com.au
"$887,607 ONO",887607.0,"932 William St, Glebe NSW 2889",Glebe,3,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/glebe/apartment--unit--flat-7,realestateview.com.au
"$1,450,856 - $1,598,665",1450856.0,"666 Military Rd, Glebe NSW 2707",Glebe,2,2,2,Townhouse,https://www.realestate.com.au/property/glebe/townhouse-8,realestate.com.au
"$780,210 - $939,602",780210.0,"16 Main St, Glebe NSW 2948",Glebe,3,3,2,Townhouse,https://www.rent.com.au/property/glebe/townhouse-9,rent.com.au
"Guide $2,330,994",2330994.0,"168 Ocean Rd, Glebe NSW 2164",Glebe,3,4,0,Townhouse,https://www.domain.com.au/property/glebe/townhouse-10,domain.com.au
"$776,725 ONO",776725.0,"194 Park Ave, Glebe NSW 2006",Glebe,3,3,0,Penthouse,https://www.realestate.com.au/property/glebe/penthouse-11,realestate.com.au
"$542,645 ONO",542645.0,"821 Albert St, Glebe NSW 2799",Glebe,4,4,2,Penthouse,https://www.realestate.com.au/property/glebe/penthouse-12,realestate.com.au
"$1,558,327 ONO",1558327.0,"857 Ocean Rd, Glebe NSW 2533",Glebe,3,1,2,House,https://www.rent.com.au/property/glebe/house-13,rent.com.au
"$1,555,345 - $1,833,085",1555345.0,"694 James St, Glebe NSW 2084",Glebe,4,2,2,Townhouse,https://www.rent.com.au/property/glebe/townhouse-14,rent.com.au
"$818,879 - $1,001,747",818879.0,"61 Military Rd, Glebe NSW 2306",Glebe,3,4,0,Apartment / Unit / Flat,https://www.rent.com.au/property/glebe/apartment--unit--flat-15,rent.com.au
"From $1,784,787",1784787.0,"973 James St, Glebe NSW 2376",Glebe,4,2,1,Penthouse,https://www.realestateview.com.au/property/glebe/penthouse-16,realestateview.com.au
"$2,122,848 ONO",2122848.0,"806 The Boulevarde, Glebe NSW 2808",Glebe,0,1,1,Studio,https://www.domain.com.au/property/glebe/studio-17,domain.com.au
"$1,070,251 ONO",1070251.0,"96 Ocean Rd, Glebe NSW 2416",Glebe,2,2,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/glebe/apartment--unit--flat-19,realestate.com.au
"Guide $1,565,275",1565275.0,"709 Railway St, Glebe NSW 2054",Glebe,3,3,0,House,https://www.realestate.com.au/property/glebe/house-20,realestate.com.au
"$2,291,098 ONO",2291098.0,"326 Military Rd, Glebe NSW 2597",Glebe,3,3,2,Apartment / Unit / Flat,https://www.domain.com.au/property/glebe/apartment--unit--flat-21,domain.com.au
"$1,313,823 ONO",1313823.0,"455 Park Ave, Glebe NSW 2862",Glebe,2,2,1,Villa,https://www.realestate.com.au/property/glebe/villa-22,realestate.com.au
"$811,720 ONO",811720.0,"769 Market St, Glebe NSW 2294",Glebe,6,3,0,Penthouse,https://www.rent.com.au/property/glebe/penthouse-23,rent.com.au
"$927,790 - $1,082,995",927790.0,"844 High St, Glebe NSW 2334",Glebe,4,4,0,Penthouse,https://www.realestate.com.au/property/glebe/penthouse-24,realestate.com.au
