price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $2,062,430",2062430.0,"640 Edward St, Glenwood NSW 2940",Glenwood,1,2,3,Villa,https://www.domain.com.au/property/glenwood/villa-0,domain.com.au
"Guide $1,387,304",1387304.0,"268 Princes Highway, Glenwood NSW 2754",Glenwood,3,1,1,House,https://www.realestateview.com.au/property/glenwood/house-1,realestateview.com.au
"$1,503,163",1503163.0,"86 Beach Rd, Glenwood NSW 2987",Glenwood,1,2,1,House,https://www.domain.com.au/property/glenwood/house-2,domain.com.au
"From $1,906,511",1906511.0,"719 High St, Glenwood NSW 2274",Glenwood,4,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/glenwood/apartment--unit--flat-3,rent.com.au
"Guide $1,925,878",1925878.0,"88 William St, Glenwood NSW 2985",Glenwood,2,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/glenwood/apartment--unit--flat-4,domain.com.au
"Guide $1,278,264",1278264.0,"515 Main St, Glenwood NSW 2721",Glenwood,0,1,1,Studio,https://www.rent.com.au/property/glenwood/studio-5,rent.com.au
"Guide $766,152",766152.0,"502 Edward St, Glenwood NSW 2587",Glenwood,4,2,0,House,https://www.rent.com.au/property/glenwood/house-6,rent.com.au
"$1,806,855",1806855.0,"812 High St, Glenwood NSW 2299",Glenwood,2,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/glenwood/apartment--unit--flat-7,rent.com.au
"$590,834 ONO",590834.0,"707 Elizabeth St, Glenwood NSW 2388",Glenwood,2,1,0,Townhouse,https://www.realestateview.com.au/property/glenwood/townhouse-8,realestateview.com.au
"From $1,422,780",1422780.0,"773 King St, Glenwood NSW 2343",Glenwood,0,1,0,Studio,https://www.rent.com.au/property/glenwood/studio-11,rent.com.au
"Guide $650,957",650957.0,"161 Edward St, Glenwood NSW 2383",Glenwood,3,3,1,House,https://www.realestate.com.au/property/glenwood/house-12,realestate.com.au
"$571,137 - $857,314",571137.0,"200 Queen St, Glenwood NSW 2452",Glenwood,1,1,0,Villa,https://www.realestateview.com.au/property/glenwood/villa-13,realestateview.com.au
"From $2,468,916",2468916.0,"157 Main St, Glenwood NSW 2855",Glenwood,5,2,1,Penthouse,https://www.realestate.com.au/property/glenwood/penthouse-15,realestate.com.au
"Guide $1,711,859",1711859.0,"579 Princes Highway, Glenwood NSW 2032",Glenwood,2,2,1,House,https://www.realestate.com.au/property/glenwood/house-16,realestate.com.au
"$814,573",814573.0,"433 Beach Rd, Glenwood NSW 2081",Glenwood,3,2,3,Villa,https://www.rent.com.au/property/glenwood/villa-17,rent.com.au
"$1,855,715 - $1,917,939",1855715.0,"122 King St, Glenwood NSW 2611",Glenwood,5,3,2,Penthouse,https://www.rent.com.au/property/glenwood/penthouse-18,rent.com.au
"$1,942,689 ONO",1942689.0,"861 Elizabeth St, Glenwood NSW 2113",Glenwood,0,1,0,Studio,https://www.realestateview.com.au/property/glenwood/studio-19,realestateview.com.au
"$2,122,731 ONO",2122731.0,"465 The Boulevarde, Glenwood NSW 2875",Glenwood,0,1,3,Studio,https://www.domain.com.au/property/glenwood/studio-20,domain.com.au
"Guide $2,099,058",2099058.0,"496 Park Ave, Glenwood NSW 2859",Glenwood,6,1,1,Villa,https://www.realestateview.com.au/property/glenwood/villa-21,realestateview.com.au
"$2,234,885",2234885.0,"973 Albert St, Glenwood NSW 2082",Glenwood,2,2,1,Villa,https://www.rent.com.au/property/glenwood/villa-22,rent.com.au
"$1,966,754 - $2,054,180",1966754.0,"914 Edward St, Glenwood NSW 2134",Glenwood,2,2,2,House,https://www.realestateview.com.au/property/glenwood/house-23,realestateview.com.au
"$1,724,483 ONO",1724483.0,"808 Church St, Glenwood NSW 2881",Glenwood,4,4,1,Villa,https://www.rent.com.au/property/glenwood/villa-24,rent.com.au
