price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$962,517 ONO",962517.0,"184 Main St, Gordon NSW 2975",Gordon,6,4,1,Penthouse,https://www.rent.com.au/property/gordon/penthouse-1,rent.com.au
"$1,065,550 - $1,326,573",1065550.0,"871 The Boulevarde, Gordon NSW 2143",Gordon,5,3,0,Penthouse,https://www.realestateview.com.au/property/gordon/penthouse-2,realestateview.com.au
"$1,235,059 ONO",1235059.0,"44 William St, Gordon NSW 2755",Gordon,2,2,0,Villa,https://www.domain.com.au/property/gordon/villa-3,domain.com.au
"Guide $2,221,188",2221188.0,"993 Pacific Highway, Gordon NSW 2942",Gordon,0,1,0,Studio,https://www.realestate.com.au/property/gordon/studio-5,realestate.com.au
"$1,319,274 ONO",1319274.0,"559 High St, Gordon NSW 2042",Gordon,3,2,2,Townhouse,https://www.realestate.com.au/property/gordon/townhouse-6,realestate.com.au
"$1,884,001 - $2,053,529",1884001.0,"192 Military Rd, Gordon NSW 2188",Gordon,3,2,4,Townhouse,https://www.realestate.com.au/property/gordon/townhouse-8,realestate.com.au
"Guide $953,811",953811.0,"523 Elizabeth St, Gordon NSW 2201",Gordon,0,1,3,Studio,https://www.rent.com.au/property/gordon/studio-10,rent.com.au
"From $1,699,488",1699488.0,"344 Military Rd, Gordon NSW 2211",Gordon,3,3,0,Penthouse,https://www.domain.com.au/property/gordon/penthouse-13,domain.com.au
"$1,264,021 - $1,441,618",1264021.0,"982 Main St, Gordon NSW 2667",Gordon,3,3,1,Penthouse,https://www.domain.com.au/property/gordon/penthouse-14,domain.com.au
"$864,938 ONO",864938.0,"309 Pacific Highway, Gordon NSW 2001",Gordon,3,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/gordon/apartment--unit--flat-15,domain.com.au
"$2,254,917",2254917.0,"140 Edward St, Gordon NSW 2577",Gordon,3,1,0,Townhouse,https://www.realestate.com.au/property/gordon/townhouse-16,realestate.com.au
"Guide $1,518,735",1518735.0,"277 King St, Gordon NSW 2232",Gordon,3,3,0,Penthouse,https://www.rent.com.au/property/gordon/penthouse-17,rent.com.au
"From $2,260,481",2260481.0,"551 Princes Highway, Gordon NSW 2697",Gordon,3,3,1,Villa,https://www.realestateview.com.au/property/gordon/villa-18,realestateview.com.au
"$1,651,949 - $1,740,752",1651949.0,"197 Ocean Rd, Gordon NSW 2991",Gordon,0,1,2,Studio,https://www.domain.com.au/property/gordon/studio-19,domain.com.au
"$909,779 - $1,185,733",909779.0,"936 The Boulevarde, Gordon NSW 2462",Gordon,4,3,4,Penthouse,https://www.realestateview.com.au/property/gordon/penthouse-20,realestateview.com.au
"From $1,425,983",1425983.0,"954 Victoria St, Gordon NSW 2402",Gordon,2,2,1,House,https://www.realestateview.com.au/property/gordon/house-22,realestateview.com.au
"From $1,393,263",1393263.0,"412 Railway St, Gordon NSW 2937",Gordon,3,3,4,Villa,https://www.rent.com.au/property/gordon/villa-24,rent.com.au
