price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,069,900",2069900.0,"333 Church St, Gore Hill NSW 2073",Gore Hill,3,4,1,Villa,https://www.realestateview.com.au/property/gore-hill/villa-0,realestateview.com.au
"$1,391,052",1391052.0,"138 Pacific Highway, Gore Hill NSW 2836",Gore Hill,0,1,1,Studio,https://www.domain.com.au/property/gore-hill/studio-1,domain.com.au
"Guide $597,729",597729.0,"536 Queen St, Gore Hill NSW 2584",Gore Hill,2,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/gore-hill/apartment--unit--flat-2,domain.com.au
"$1,242,147",1242147.0,"358 Church St, Gore Hill NSW 2559",Gore Hill,4,4,3,Penthouse,https://www.realestateview.com.au/property/gore-hill/penthouse-3,realestateview.com.au
"$1,443,446",1443446.0,"543 High St, Gore Hill NSW 2661",Gore Hill,0,1,2,Studio,https://www.realestate.com.au/property/gore-hill/studio-4,realestate.com.au
"$2,266,103 ONO",2266103.0,"299 Railway St, Gore Hill NSW 2460",Gore Hill,2,1,0,Villa,https://www.realestateview.com.au/property/gore-hill/villa-5,realestateview.com.au
"From $2,354,445",2354445.0,"641 Ocean Rd, Gore Hill NSW 2462",Gore Hill,0,1,1,Studio,https://www.realestateview.com.au/property/gore-hill/studio-6,realestateview.com.au
"Guide $927,637",927637.0,"710 Park Ave, Gore Hill NSW 2565",Gore Hill,3,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/gore-hill/apartment--unit--flat-7,realestateview.com.au
"$1,612,892 ONO",1612892.0,"23 High St, Gore Hill NSW 2756",Gore Hill,1,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/gore-hill/apartment--unit--flat-8,domain.com.au
"$2,231,907 - $2,522,955",2231907.0,"320 Beach Rd, Gore Hill NSW 2298",Gore Hill,3,4,4,Penthouse,https://www.rent.com.au/property/gore-hill/penthouse-9,rent.com.au
"$2,113,951",2113951.0,"977 Edward St, Gore Hill NSW 2620",Gore Hill,4,3,1,Villa,https://www.realestateview.com.au/property/gore-hill/villa-10,realestateview.com.au
"From $982,468",982468.0,"291 Elizabeth St, Gore Hill NSW 2245",Gore Hill,0,1,1,Studio,https://www.realestate.com.au/property/gore-hill/studio-11,realestate.com.au
"$2,454,910",2454910.0,"122 Pacific Highway, Gore Hill NSW 2975",Gore Hill,4,3,2,Penthouse,https://www.realestateview.com.au/property/gore-hill/penthouse-12,realestateview.com.au
"$779,833 - $1,009,338",779833.0,"175 George St, Gore Hill NSW 2995",Gore Hill,5,3,3,Penthouse,https://www.realestate.com.au/property/gore-hill/penthouse-13,realestate.com.au
"$1,067,774 ONO",1067774.0,"722 Albert St, Gore Hill NSW 2011",Gore Hill,1,1,1,Townhouse,https://www.realestateview.com.au/property/gore-hill/townhouse-14,realestateview.com.au
"$544,628 ONO",544628.0,"526 Military Rd, Gore Hill NSW 2954",Gore Hill,4,4,4,Townhouse,https://www.domain.com.au/property/gore-hill/townhouse-15,domain.com.au
"Guide $1,737,974",1737974.0,"39 Military Rd, Gore Hill NSW 2182",Gore Hill,4,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/gore-hill/apartment--unit--flat-16,domain.com.au
"$2,427,297 - $2,670,837",2427297.0,"821 Church St, Gore Hill NSW 2523",Gore Hill,6,4,0,Penthouse,https://www.realestateview.com.au/property/gore-hill/penthouse-17,realestateview.com.au
"$1,360,451 - $1,589,517",1360451.0,"327 Albert St, Gore Hill NSW 2744",Gore Hill,1,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/gore-hill/apartment--unit--flat-18,realestateview.com.au
"$1,828,266 - $1,999,691",1828266.0,"457 Beach Rd, Gore Hill NSW 2422",Gore Hill,4,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/gore-hill/apartment--unit--flat-20,realestate.com.au
"$1,995,893 - $2,242,254",1995893.0,"987 King St, Gore Hill NSW 2255",Gore Hill,3,2,1,House,https://www.realestateview.com.au/property/gore-hill/house-21,realestateview.com.au
"From $1,454,295",1454295.0,"273 James St, Gore Hill NSW 2572",Gore Hill,4,2,0,Townhouse,https://www.rent.com.au/property/gore-hill/townhouse-22,rent.com.au
"From $1,896,572",1896572.0,"875 Pacific Highway, Gore Hill NSW 2995",Gore Hill,4,1,0,House,https://www.rent.com.au/property/gore-hill/house-24,rent.com.au
