price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $657,913",657913.0,"174 Park Ave, Granville NSW 2429",Granville,3,1,2,House,https://www.rent.com.au/property/granville/house-0,rent.com.au
"$1,348,420",1348420.0,"771 Albert St, Granville NSW 2199",Granville,3,4,3,Townhouse,https://www.domain.com.au/property/granville/townhouse-1,domain.com.au
"$1,460,118",1460118.0,"736 Main St, Granville NSW 2796",Granville,3,3,3,Villa,https://www.realestateview.com.au/property/granville/villa-2,realestateview.com.au
"$1,470,635 - $1,542,733",1470635.0,"653 High St, Granville NSW 2053",Granville,5,4,2,Penthouse,https://www.realestate.com.au/property/granville/penthouse-3,realestate.com.au
"$1,677,086",1677086.0,"61 Main St, Granville NSW 2824",Granville,5,1,0,Townhouse,https://www.realestateview.com.au/property/granville/townhouse-4,realestateview.com.au
"$1,907,201",1907201.0,"358 Queen St, Granville NSW 2329",Granville,5,2,0,Penthouse,https://www.rent.com.au/property/granville/penthouse-6,rent.com.au
"From $779,301",779301.0,"598 Edward St, Granville NSW 2702",Granville,0,1,2,Studio,https://www.domain.com.au/property/granville/studio-7,domain.com.au
"$1,595,987",1595987.0,"40 Park Ave, Granville NSW 2726",Granville,0,1,2,Studio,https://www.rent.com.au/property/granville/studio-8,rent.com.au
"$1,589,996 - $1,723,144",1589996.0,"227 George St, Granville NSW 2255",Granville,0,1,0,Studio,https://www.realestateview.com.au/property/granville/studio-9,realestateview.com.au
"$1,531,737",1531737.0,"551 The Boulevarde, Granville NSW 2723",Granville,1,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/granville/apartment--unit--flat-10,realestateview.com.au
"From $2,374,893",2374893.0,"693 Victoria St, Granville NSW 2525",Granville,2,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/granville/apartment--unit--flat-11,realestateview.com.au
"$1,787,569",1787569.0,"566 Elizabeth St, Granville NSW 2286",Granville,4,2,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/granville/apartment--unit--flat-12,realestate.com.au
"$1,618,704",1618704.0,"389 Edward St, Granville NSW 2871",Granville,3,4,0,Villa,https://www.domain.com.au/property/granville/villa-13,domain.com.au
"From $1,485,682",1485682.0,"772 Albert St, Granville NSW 2640",Granville,2,2,1,Townhouse,https://www.domain.com.au/property/granville/townhouse-14,domain.com.au
"Guide $1,292,770",1292770.0,"228 The Boulevarde, Granville NSW 2148",Granville,2,3,4,Townhouse,https://www.domain.com.au/property/granville/townhouse-15,domain.com.au
"$2,292,298",2292298.0,"942 Beach Rd, Granville NSW 2793",Granville,0,1,1,Studio,https://www.realestate.com.au/property/granville/studio-16,realestate.com.au
"Guide $1,102,349",1102349.0,"205 Main St, Granville NSW 2485",Granville,1,2,1,Villa,https://www.realestate.com.au/property/granville/villa-17,realestate.com.au
"Guide $1,030,426",1030426.0,"295 Albert St, Granville NSW 2265",Granville,0,1,2,Studio,https://www.domain.com.au/property/granville/studio-18,domain.com.au
"$536,433 ONO",536433.0,"427 Victoria St, Granville NSW 2306",Granville,5,4,1,Penthouse,https://www.realestateview.com.au/property/granville/penthouse-19,realestateview.com.au
"$1,573,167 - $1,653,667",1573167.0,"91 Elizabeth St, Granville NSW 2680",Granville,5,2,2,Penthouse,https://www.realestate.com.au/property/granville/penthouse-20,realestate.com.au
"Guide $1,624,148",1624148.0,"123 Victoria St, Granville NSW 2142",Granville,0,1,2,Studio,https://www.realestateview.com.au/property/granville/studio-21,realestateview.com.au
"Guide $993,310",993310.0,"705 Main St, Granville NSW 2927",Granville,3,4,2,Penthouse,https://www.rent.com.au/property/granville/penthouse-22,rent.com.au
"From $1,983,179",1983179.0,"139 Edward St, Granville NSW 2275",Granville,4,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/granville/apartment--unit--flat-23,realestate.com.au
"$732,556 ONO",732556.0,"120 Railway St, Granville NSW 2983",Granville,3,1,3,Townhouse,https://www.realestate.com.au/property/granville/townhouse-24,realestate.com.au
