price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,125,940 - $1,207,324",1125940.0,"119 Albert St, Green Valley NSW 2042",Green Valley,2,1,2,Townhouse,https://www.rent.com.au/property/green-valley/townhouse-1,rent.com.au
"$1,074,797 ONO",1074797.0,"726 High St, Green Valley NSW 2420",Green Valley,2,1,0,House,https://www.realestateview.com.au/property/green-valley/house-2,realestateview.com.au
"$1,204,052",1204052.0,"243 James St, Green Valley NSW 2108",Green Valley,4,3,2,Penthouse,https://www.domain.com.au/property/green-valley/penthouse-3,domain.com.au
"$1,078,114 ONO",1078114.0,"604 Pacific Highway, Green Valley NSW 2788",Green Valley,2,1,3,House,https://www.realestate.com.au/property/green-valley/house-6,realestate.com.au
"Guide $1,850,852",1850852.0,"84 Edward St, Green Valley NSW 2241",Green Valley,2,3,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/green-valley/apartment--unit--flat-7,realestateview.com.au
"$1,244,967",1244967.0,"492 Main St, Green Valley NSW 2878",Green Valley,4,4,1,Penthouse,https://www.rent.com.au/property/green-valley/penthouse-8,rent.com.au
"$915,257 - $1,202,053",915257.0,"597 Albert St, Green Valley NSW 2418",Green Valley,0,1,2,Studio,https://www.rent.com.au/property/green-valley/studio-9,rent.com.au
"$846,606 - $982,684",846606.0,"490 The Boulevarde, Green Valley NSW 2237",Green Valley,1,2,1,Townhouse,https://www.rent.com.au/property/green-valley/townhouse-10,rent.com.au
"$1,692,228 ONO",1692228.0,"762 The Boulevarde, Green Valley NSW 2349",Green Valley,3,3,3,Apartment / Unit / Flat,https://www.rent.com.au/property/green-valley/apartment--unit--flat-11,rent.com.au
"$723,155 - $782,394",723155.0,"716 The Boulevarde, Green Valley NSW 2046",Green Valley,0,1,0,Studio,https://www.rent.com.au/property/green-valley/studio-12,rent.com.au
"$1,016,975",1016975.0,"262 Elizabeth St, Green Valley NSW 2906",Green Valley,0,1,3,Studio,https://www.rent.com.au/property/green-valley/studio-13,rent.com.au
"From $2,055,718",2055718.0,"427 Ocean Rd, Green Valley NSW 2248",Green Valley,3,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/green-valley/apartment--unit--flat-14,rent.com.au
"Guide $1,307,828",1307828.0,"531 The Boulevarde, Green Valley NSW 2440",Green Valley,3,2,1,Townhouse,https://www.realestate.com.au/property/green-valley/townhouse-15,realestate.com.au
"Guide $572,786",572786.0,"388 Queen St, Green Valley NSW 2345",Green Valley,1,1,1,House,https://www.rent.com.au/property/green-valley/house-16,rent.com.au
"$2,189,032 - $2,351,452",2189032.0,"660 James St, Green Valley NSW 2751",Green Valley,1,2,0,Townhouse,https://www.realestate.com.au/property/green-valley/townhouse-17,realestate.com.au
"$1,450,535 ONO",1450535.0,"270 Ocean Rd, Green Valley NSW 2059",Green Valley,5,4,1,Penthouse,https://www.realestateview.com.au/property/green-valley/penthouse-18,realestateview.com.au
"$619,929 ONO",619929.0,"565 Park Ave, Green Valley NSW 2927",Green Valley,2,3,2,Townhouse,https://www.domain.com.au/property/green-valley/townhouse-19,domain.com.au
"$2,003,731",2003731.0,"756 Victoria St, Green Valley NSW 2998",Green Valley,4,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/green-valley/apartment--unit--flat-21,domain.com.au
"Guide $584,280",584280.0,"291 Beach Rd, Green Valley NSW 2637",Green Valley,0,1,2,Studio,https://www.rent.com.au/property/green-valley/studio-22,rent.com.au
"$2,274,693 ONO",2274693.0,"691 High St, Green Valley NSW 2273",Green Valley,3,2,0,House,https://www.rent.com.au/property/green-valley/house-23,rent.com.au
"Guide $1,550,674",1550674.0,"759 Park Ave, Green Valley NSW 2312",Green Valley,3,4,1,Penthouse,https://www.rent.com.au/property/green-valley/penthouse-24,rent.com.au
