price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,100,930",2100930.0,"978 The Boulevarde, Greenwich NSW 2751",Greenwich,4,2,0,House,https://www.realestateview.com.au/property/greenwich/house-0,realestateview.com.au
"$1,844,852 - $2,138,876",1844852.0,"59 Market St, Greenwich NSW 2110",Greenwich,3,1,3,Apartment / Unit / Flat,https://www.rent.com.au/property/greenwich/apartment--unit--flat-1,rent.com.au
"Guide $2,388,549",2388549.0,"1 King St, Greenwich NSW 2183",Greenwich,3,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/greenwich/apartment--unit--flat-2,rent.com.au
"$838,136 ONO",838136.0,"825 Beach Rd, Greenwich NSW 2697",Greenwich,5,2,1,Penthouse,https://www.realestateview.com.au/property/greenwich/penthouse-3,realestateview.com.au
"$1,354,014",1354014.0,"921 Albert St, Greenwich NSW 2435",Greenwich,1,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/greenwich/apartment--unit--flat-4,realestateview.com.au
"From $2,195,727",2195727.0,"766 Railway St, Greenwich NSW 2870",Greenwich,3,2,0,Villa,https://www.rent.com.au/property/greenwich/villa-5,rent.com.au
"$1,129,234 - $1,244,853",1129234.0,"432 James St, Greenwich NSW 2535",Greenwich,2,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/greenwich/apartment--unit--flat-6,rent.com.au
"$1,833,338 ONO",1833338.0,"868 Queen St, Greenwich NSW 2972",Greenwich,0,1,0,Studio,https://www.domain.com.au/property/greenwich/studio-7,domain.com.au
"$652,610",652610.0,"342 King St, Greenwich NSW 2835",Greenwich,3,1,2,Apartment / Unit / Flat,https://www.rent.com.au/property/greenwich/apartment--unit--flat-8,rent.com.au
"$1,446,451 ONO",1446451.0,"330 Military Rd, Greenwich NSW 2757",Greenwich,2,2,1,Townhouse,https://www.rent.com.au/property/greenwich/townhouse-9,rent.com.au
"From $2,015,332",2015332.0,"884 The Boulevarde, Greenwich NSW 2710",Greenwich,1,2,2,Townhouse,https://www.realestate.com.au/property/greenwich/townhouse-10,realestate.com.au
"$2,192,623",2192623.0,"169 King St, Greenwich NSW 2066",Greenwich,1,1,2,House,https://www.domain.com.au/property/greenwich/house-11,domain.com.au
"$2,457,662",2457662.0,"101 The Boulevarde, Greenwich NSW 2536",Greenwich,3,4,1,Villa,https://www.domain.com.au/property/greenwich/villa-12,domain.com.au
"$1,692,802 ONO",1692802.0,"761 Ocean Rd, Greenwich NSW 2856",Greenwich,2,2,2,Villa,https://www.rent.com.au/property/greenwich/villa-13,rent.com.au
"$908,295 ONO",908295.0,"609 Pacific Highway, Greenwich NSW 2072",Greenwich,2,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/greenwich/apartment--unit--flat-14,domain.com.au
"From $989,220",989220.0,"677 Church St, Greenwich NSW 2509",Greenwich,3,1,0,Townhouse,https://www.domain.com.au/property/greenwich/townhouse-16,domain.com.au
"$1,643,915",1643915.0,"238 Market St, Greenwich NSW 2797",Greenwich,0,1,2,Studio,https://www.domain.com.au/property/greenwich/studio-17,domain.com.au
"Guide $2,261,459",2261459.0,"507 Park Ave, Greenwich NSW 2803",Greenwich,3,1,2,House,https://www.domain.com.au/property/greenwich/house-18,domain.com.au
"From $1,354,107",1354107.0,"207 Ocean Rd, Greenwich NSW 2435",Greenwich,2,1,3,Apartment / Unit / Flat,https://www.domain.com.au/property/greenwich/apartment--unit--flat-19,domain.com.au
"From $557,475",557475.0,"51 Main St, Greenwich NSW 2350",Greenwich,2,1,2,Villa,https://www.domain.com.au/property/greenwich/villa-20,domain.com.au
"$738,926",738926.0,"934 James St, Greenwich NSW 2411",Greenwich,3,2,1,Penthouse,https://www.rent.com.au/property/greenwich/penthouse-21,rent.com.au
"$2,293,836 - $2,469,386",2293836.0,"963 Edward St, Greenwich NSW 2701",Greenwich,5,4,1,Penthouse,https://www.rent.com.au/property/greenwich/penthouse-22,rent.com.au
"$2,178,765 ONO",2178765.0,"442 Railway St, Greenwich NSW 2419",Greenwich,1,2,2,Townhouse,https://www.realestate.com.au/property/greenwich/townhouse-23,realestate.com.au
"$1,049,031",1049031.0,"666 Beach Rd, Greenwich NSW 2342",Greenwich,5,2,0,Penthouse,https://www.realestate.com.au/property/greenwich/penthouse-24,realestate.com.au
