price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,946,104",1946104.0,"953 Market St, Greystanes NSW 2996",Greystanes,0,1,3,Studio,https://www.rent.com.au/property/greystanes/studio-0,rent.com.au
"$836,134 ONO",836134.0,"349 Railway St, Greystanes NSW 2290",Greystanes,5,3,3,Townhouse,https://www.realestate.com.au/property/greystanes/townhouse-1,realestate.com.au
"$2,300,336",2300336.0,"186 Queen St, Greystanes NSW 2569",Greystanes,5,3,2,Townhouse,https://www.realestate.com.au/property/greystanes/townhouse-2,realestate.com.au
"$2,309,740 - $2,558,199",2309740.0,"510 Ocean Rd, Greystanes NSW 2226",Greystanes,3,3,4,Townhouse,https://www.realestateview.com.au/property/greystanes/townhouse-4,realestateview.com.au
"$2,051,659 ONO",2051659.0,"989 Elizabeth St, Greystanes NSW 2122",Greystanes,3,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/greystanes/apartment--unit--flat-5,rent.com.au
"Guide $2,244,044",2244044.0,"876 Park Ave, Greystanes NSW 2925",Greystanes,2,1,2,Townhouse,https://www.realestate.com.au/property/greystanes/townhouse-6,realestate.com.au
"$1,767,677 ONO",1767677.0,"754 Military Rd, Greystanes NSW 2622",Greystanes,3,1,0,Villa,https://www.realestate.com.au/property/greystanes/villa-7,realestate.com.au
"Guide $854,834",854834.0,"468 Elizabeth St, Greystanes NSW 2146",Greystanes,4,3,3,Penthouse,https://www.domain.com.au/property/greystanes/penthouse-8,domain.com.au
"From $1,741,310",1741310.0,"922 Elizabeth St, Greystanes NSW 2984",Greystanes,3,3,3,Villa,https://www.realestate.com.au/property/greystanes/villa-9,realestate.com.au
"$613,032",613032.0,"144 Ocean Rd, Greystanes NSW 2394",Greystanes,3,2,4,House,https://www.realestate.com.au/property/greystanes/house-10,realestate.com.au
"Guide $2,279,626",2279626.0,"739 Pacific Highway, Greystanes NSW 2323",Greystanes,4,4,0,Townhouse,https://www.domain.com.au/property/greystanes/townhouse-11,domain.com.au
"$1,663,786",1663786.0,"14 Church St, Greystanes NSW 2118",Greystanes,3,1,2,Villa,https://www.rent.com.au/property/greystanes/villa-12,rent.com.au
"$634,656 - $720,500",634656.0,"465 Queen St, Greystanes NSW 2375",Greystanes,1,1,0,House,https://www.domain.com.au/property/greystanes/house-14,domain.com.au
"$1,752,898",1752898.0,"950 Church St, Greystanes NSW 2598",Greystanes,0,1,0,Studio,https://www.rent.com.au/property/greystanes/studio-15,rent.com.au
"Guide $2,375,455",2375455.0,"745 Queen St, Greystanes NSW 2389",Greystanes,4,4,0,Penthouse,https://www.rent.com.au/property/greystanes/penthouse-16,rent.com.au
"From $696,823",696823.0,"295 Main St, Greystanes NSW 2970",Greystanes,4,3,2,Townhouse,https://www.realestate.com.au/property/greystanes/townhouse-18,realestate.com.au
"Guide $2,173,132",2173132.0,"725 Ocean Rd, Greystanes NSW 2000",Greystanes,0,1,1,Studio,https://www.realestate.com.au/property/greystanes/studio-19,realestate.com.au
"$1,364,504 ONO",1364504.0,"645 Military Rd, Greystanes NSW 2310",Greystanes,0,1,3,Studio,https://www.domain.com.au/property/greystanes/studio-20,domain.com.au
"$1,006,378",1006378.0,"132 Beach Rd, Greystanes NSW 2160",Greystanes,0,1,2,Studio,https://www.domain.com.au/property/greystanes/studio-22,domain.com.au
"$956,364 - $1,112,763",956364.0,"40 King St, Greystanes NSW 2063",Greystanes,0,1,0,Studio,https://www.realestate.com.au/property/greystanes/studio-23,realestate.com.au
"$1,111,752 - $1,374,877",1111752.0,"126 Edward St, Greystanes NSW 2377",Greystanes,6,3,0,House,https://www.realestate.com.au/property/greystanes/house-24,realestate.com.au
