price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,021,874",2021874.0,"384 The Boulevarde, Gwynville NSW 2656",Gwynville,4,3,2,Townhouse,https://www.realestate.com.au/property/gwynville/townhouse-0,realestate.com.au
"$1,395,383",1395383.0,"696 Edward St, Gwynville NSW 2824",Gwynville,4,3,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/gwynville/apartment--unit--flat-1,realestateview.com.au
"$1,125,451 - $1,319,876",1125451.0,"997 Military Rd, Gwynville NSW 2110",Gwynville,1,1,2,Townhouse,https://www.realestateview.com.au/property/gwynville/townhouse-2,realestateview.com.au
"$604,418 - $721,104",604418.0,"803 The Boulevarde, Gwynville NSW 2821",Gwynville,1,2,0,Townhouse,https://www.rent.com.au/property/gwynville/townhouse-4,rent.com.au
"$623,654",623654.0,"235 Railway St, Gwynville NSW 2427",Gwynville,3,4,3,Penthouse,https://www.realestateview.com.au/property/gwynville/penthouse-5,realestateview.com.au
"$1,825,428 ONO",1825428.0,"623 Park Ave, Gwynville NSW 2858",Gwynville,0,1,3,Studio,https://www.realestate.com.au/property/gwynville/studio-6,realestate.com.au
"Guide $1,262,966",1262966.0,"784 Beach Rd, Gwynville NSW 2948",Gwynville,1,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/gwynville/apartment--unit--flat-7,domain.com.au
"Guide $1,888,440",1888440.0,"909 The Boulevarde, Gwynville NSW 2159",Gwynville,6,4,2,Penthouse,https://www.realestateview.com.au/property/gwynville/penthouse-8,realestateview.com.au
"$960,268",960268.0,"120 Princes Highway, Gwynville NSW 2668",Gwynville,2,3,0,House,https://www.domain.com.au/property/gwynville/house-9,domain.com.au
"$1,375,985 ONO",1375985.0,"566 Military Rd, Gwynville NSW 2583",Gwynville,4,4,2,Penthouse,https://www.domain.com.au/property/gwynville/penthouse-10,domain.com.au
"From $1,613,893",1613893.0,"749 James St, Gwynville NSW 2450",Gwynville,0,1,1,Studio,https://www.realestateview.com.au/property/gwynville/studio-11,realestateview.com.au
"$1,459,245 - $1,699,708",1459245.0,"711 Beach Rd, Gwynville NSW 2891",Gwynville,0,1,1,Studio,https://www.realestate.com.au/property/gwynville/studio-12,realestate.com.au
"$1,251,235 - $1,406,180",1251235.0,"771 High St, Gwynville NSW 2350",Gwynville,4,2,3,Penthouse,https://www.domain.com.au/property/gwynville/penthouse-14,domain.com.au
"$1,013,546",1013546.0,"968 The Boulevarde, Gwynville NSW 2417",Gwynville,5,2,1,Penthouse,https://www.realestate.com.au/property/gwynville/penthouse-15,realestate.com.au
"From $925,383",925383.0,"443 Park Ave, Gwynville NSW 2886",Gwynville,2,3,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/gwynville/apartment--unit--flat-16,realestateview.com.au
"$1,645,107 - $1,764,679",1645107.0,"390 Church St, Gwynville NSW 2733",Gwynville,4,4,1,Penthouse,https://www.realestate.com.au/property/gwynville/penthouse-17,realestate.com.au
"$1,635,625 - $1,742,073",1635625.0,"435 Park Ave, Gwynville NSW 2076",Gwynville,0,1,2,Studio,https://www.rent.com.au/property/gwynville/studio-19,rent.com.au
"$852,929",852929.0,"50 Main St, Gwynville NSW 2885",Gwynville,4,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/gwynville/apartment--unit--flat-22,realestateview.com.au
"$1,156,043 - $1,220,941",1156043.0,"41 High St, Gwynville NSW 2807",Gwynville,3,2,2,Penthouse,https://www.rent.com.au/property/gwynville/penthouse-23,rent.com.au
"$1,363,805 - $1,500,832",1363805.0,"960 James St, Gwynville NSW 2532",Gwynville,0,1,1,Studio,https://www.realestate.com.au/property/gwynville/studio-24,realestate.com.au
