price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$926,217",926217.0,"476 Albert St, Gymea NSW 2614",Gymea,6,3,0,Penthouse,https://www.realestateview.com.au/property/gymea/penthouse-0,realestateview.com.au
"$2,425,560 ONO",2425560.0,"245 Victoria St, Gymea NSW 2990",Gymea,3,4,2,Villa,https://www.realestateview.com.au/property/gymea/villa-2,realestateview.com.au
"$969,444",969444.0,"279 The Boulevarde, Gymea NSW 2928",Gymea,3,1,2,Villa,https://www.realestate.com.au/property/gymea/villa-3,realestate.com.au
"$539,219",539219.0,"605 Market St, Gymea NSW 2819",Gymea,5,3,1,Townhouse,https://www.rent.com.au/property/gymea/townhouse-4,rent.com.au
"$1,439,830 ONO",1439830.0,"922 William St, Gymea NSW 2265",Gymea,4,4,0,House,https://www.domain.com.au/property/gymea/house-5,domain.com.au
"Guide $811,641",811641.0,"533 George St, Gymea NSW 2285",Gymea,0,1,0,Studio,https://www.realestate.com.au/property/gymea/studio-7,realestate.com.au
"$1,628,661 - $1,731,712",1628661.0,"674 King St, Gymea NSW 2935",Gymea,0,1,3,Studio,https://www.realestate.com.au/property/gymea/studio-8,realestate.com.au
"$563,600 - $634,233",563600.0,"744 Beach Rd, Gymea NSW 2556",Gymea,0,1,0,Studio,https://www.realestate.com.au/property/gymea/studio-12,realestate.com.au
"Guide $1,648,758",1648758.0,"218 King St, Gymea NSW 2871",Gymea,3,4,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/gymea/apartment--unit--flat-13,realestateview.com.au
"$1,591,880",1591880.0,"271 Princes Highway, Gymea NSW 2456",Gymea,1,1,1,Villa,https://www.rent.com.au/property/gymea/villa-14,rent.com.au
"Guide $1,911,571",1911571.0,"141 Elizabeth St, Gymea NSW 2324",Gymea,5,2,0,Penthouse,https://www.realestateview.com.au/property/gymea/penthouse-15,realestateview.com.au
"From $1,025,559",1025559.0,"162 Church St, Gymea NSW 2957",Gymea,5,3,0,Penthouse,https://www.domain.com.au/property/gymea/penthouse-17,domain.com.au
"$2,163,486 - $2,223,220",2163486.0,"511 Ocean Rd, Gymea NSW 2644",Gymea,2,1,1,Townhouse,https://www.realestateview.com.au/property/gymea/townhouse-18,realestateview.com.au
"$1,400,333 - $1,550,354",1400333.0,"657 Railway St, Gymea NSW 2910",Gymea,0,1,1,Studio,https://www.rent.com.au/property/gymea/studio-20,rent.com.au
"$843,935 ONO",843935.0,"581 Church St, Gymea NSW 2053",Gymea,0,1,4,Studio,https://www.rent.com.au/property/gymea/studio-21,rent.com.au
"From $1,572,004",1572004.0,"423 Elizabeth St, Gymea NSW 2441",Gymea,3,1,4,Apartment / Unit / Flat,https://www.rent.com.au/property/gymea/apartment--unit--flat-22,rent.com.au
"Guide $2,439,895",2439895.0,"128 Edward St, Gymea NSW 2277",Gymea,1,2,0,Townhouse,https://www.realestateview.com.au/property/gymea/townhouse-23,realestateview.com.au
"From $568,305",568305.0,"611 Edward St, Gymea NSW 2909",Gymea,5,4,1,Villa,https://www.realestateview.com.au/property/gymea/villa-24,realestateview.com.au
