price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $846,154",846154.0,"263 Railway St, Hammondville NSW 2868",Hammondville,3,1,2,Apartment / Unit / Flat,https://www.domain.com.au/property/hammondville/apartment--unit--flat-0,domain.com.au
"$1,565,814 ONO",1565814.0,"594 Queen St, Hammondville NSW 2248",Hammondville,4,3,3,Villa,https://www.realestateview.com.au/property/hammondville/villa-2,realestateview.com.au
"Guide $754,715",754715.0,"102 Park Ave, Hammondville NSW 2686",Hammondville,0,1,3,Studio,https://www.realestate.com.au/property/hammondville/studio-3,realestate.com.au
"$2,183,282",2183282.0,"286 Railway St, Hammondville NSW 2133",Hammondville,1,1,1,House,https://www.realestateview.com.au/property/hammondville/house-4,realestateview.com.au
"$1,850,476 ONO",1850476.0,"148 Main St, Hammondville NSW 2576",Hammondville,3,4,3,Villa,https://www.rent.com.au/property/hammondville/villa-5,rent.com.au
"$2,495,280 - $2,668,856",2495280.0,"387 Edward St, Hammondville NSW 2065",Hammondville,2,3,2,Townhouse,https://www.realestateview.com.au/property/hammondville/townhouse-6,realestateview.com.au
"Guide $798,825",798825.0,"624 James St, Hammondville NSW 2950",Hammondville,2,2,0,Villa,https://www.realestateview.com.au/property/hammondville/villa-7,realestateview.com.au
"$1,054,864 - $1,269,915",1054864.0,"168 Market St, Hammondville NSW 2855",Hammondville,6,2,0,Penthouse,https://www.rent.com.au/property/hammondville/penthouse-8,rent.com.au
"$1,442,327",1442327.0,"176 Ocean Rd, Hammondville NSW 2416",Hammondville,4,4,0,Apartment / Unit / Flat,https://www.rent.com.au/property/hammondville/apartment--unit--flat-9,rent.com.au
"$712,689 - $792,773",712689.0,"698 King St, Hammondville NSW 2396",Hammondville,4,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/hammondville/apartment--unit--flat-10,realestateview.com.au
"Guide $1,653,837",1653837.0,"152 Main St, Hammondville NSW 2492",Hammondville,2,3,1,House,https://www.realestateview.com.au/property/hammondville/house-11,realestateview.com.au
"$2,464,915",2464915.0,"682 Elizabeth St, Hammondville NSW 2761",Hammondville,4,2,3,Penthouse,https://www.realestate.com.au/property/hammondville/penthouse-12,realestate.com.au
"$883,997 ONO",883997.0,"371 The Boulevarde, Hammondville NSW 2992",Hammondville,6,2,0,Penthouse,https://www.domain.com.au/property/hammondville/penthouse-13,domain.com.au
"Guide $1,461,389",1461389.0,"569 Military Rd, Hammondville NSW 2502",Hammondville,2,2,4,Apartment / Unit / Flat,https://www.realestateview.com.au/property/hammondville/apartment--unit--flat-14,realestateview.com.au
"$1,246,272",1246272.0,"495 Main St, Hammondville NSW 2935",Hammondville,4,3,1,Penthouse,https://www.realestate.com.au/property/hammondville/penthouse-15,realestate.com.au
"Guide $1,253,864",1253864.0,"971 Beach Rd, Hammondville NSW 2436",Hammondville,1,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/hammondville/apartment--unit--flat-16,realestateview.com.au
"Guide $1,510,266",1510266.0,"232 Main St, Hammondville NSW 2989",Hammondville,5,2,2,Penthouse,https://www.rent.com.au/property/hammondville/penthouse-17,rent.com.au
"$1,642,956",1642956.0,"631 Queen St, Hammondville NSW 2797",Hammondville,5,2,2,Villa,https://www.realestateview.com.au/property/hammondville/villa-18,realestateview.com.au
"$547,835",547835.0,"97 King St, Hammondville NSW 2684",Hammondville,2,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/hammondville/apartment--unit--flat-20,realestateview.com.au
"$705,921 ONO",705921.0,"199 Church St, Hammondville NSW 2288",Hammondville,2,2,1,House,https://www.realestateview.com.au/property/hammondville/house-21,realestateview.com.au
"$819,079",819079.0,"25 Princes Highway, Hammondville NSW 2879",Hammondville,5,2,1,Penthouse,https://www.domain.com.au/property/hammondville/penthouse-22,domain.com.au
