price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $2,032,340",2032340.0,"432 Railway St, Harris Park NSW 2212",Harris Park,5,4,1,Penthouse,https://www.domain.com.au/property/harris-park/penthouse-0,domain.com.au
"Guide $1,534,524",1534524.0,"35 Military Rd, Harris Park NSW 2564",Harris Park,2,2,2,Townhouse,https://www.realestate.com.au/property/harris-park/townhouse-1,realestate.com.au
"$1,076,509 ONO",1076509.0,"325 Church St, Harris Park NSW 2439",Harris Park,3,1,0,Townhouse,https://www.realestateview.com.au/property/harris-park/townhouse-2,realestateview.com.au
"Guide $2,011,982",2011982.0,"203 Main St, Harris Park NSW 2560",Harris Park,1,2,1,Townhouse,https://www.realestate.com.au/property/harris-park/townhouse-3,realestate.com.au
"$2,421,418",2421418.0,"848 Princes Highway, Harris Park NSW 2491",Harris Park,3,3,2,Penthouse,https://www.rent.com.au/property/harris-park/penthouse-4,rent.com.au
"$1,144,586 - $1,295,590",1144586.0,"959 The Boulevarde, Harris Park NSW 2289",Harris Park,3,4,0,Villa,https://www.rent.com.au/property/harris-park/villa-5,rent.com.au
"$1,487,269",1487269.0,"70 Pacific Highway, Harris Park NSW 2101",Harris Park,3,2,2,House,https://www.rent.com.au/property/harris-park/house-6,rent.com.au
"$1,486,441 ONO",1486441.0,"611 William St, Harris Park NSW 2134",Harris Park,1,1,3,Villa,https://www.realestate.com.au/property/harris-park/villa-8,realestate.com.au
"$2,275,300",2275300.0,"943 High St, Harris Park NSW 2906",Harris Park,0,1,4,Studio,https://www.domain.com.au/property/harris-park/studio-10,domain.com.au
"$1,904,474 - $2,030,957",1904474.0,"750 Edward St, Harris Park NSW 2447",Harris Park,2,1,1,House,https://www.domain.com.au/property/harris-park/house-11,domain.com.au
"$2,016,605 - $2,123,544",2016605.0,"232 William St, Harris Park NSW 2281",Harris Park,4,4,2,House,https://www.realestate.com.au/property/harris-park/house-12,realestate.com.au
"From $1,008,596",1008596.0,"93 Main St, Harris Park NSW 2273",Harris Park,0,1,4,Studio,https://www.rent.com.au/property/harris-park/studio-13,rent.com.au
"$1,691,554",1691554.0,"847 Market St, Harris Park NSW 2057",Harris Park,3,4,0,Penthouse,https://www.rent.com.au/property/harris-park/penthouse-14,rent.com.au
"$1,901,472 - $2,087,560",1901472.0,"16 Victoria St, Harris Park NSW 2540",Harris Park,3,2,0,Townhouse,https://www.rent.com.au/property/harris-park/townhouse-15,rent.com.au
"$1,140,627",1140627.0,"440 Church St, Harris Park NSW 2248",Harris Park,0,1,1,Studio,https://www.realestate.com.au/property/harris-park/studio-16,realestate.com.au
"$1,573,469 ONO",1573469.0,"777 Military Rd, Harris Park NSW 2520",Harris Park,3,4,3,Townhouse,https://www.rent.com.au/property/harris-park/townhouse-17,rent.com.au
"$584,781",584781.0,"545 King St, Harris Park NSW 2054",Harris Park,3,1,0,Townhouse,https://www.realestateview.com.au/property/harris-park/townhouse-18,realestateview.com.au
"$1,412,541 ONO",1412541.0,"256 Edward St, Harris Park NSW 2882",Harris Park,0,1,0,Studio,https://www.realestateview.com.au/property/harris-park/studio-19,realestateview.com.au
"$1,422,637 - $1,706,406",1422637.0,"22 Railway St, Harris Park NSW 2567",Harris Park,3,3,2,Villa,https://www.domain.com.au/property/harris-park/villa-20,domain.com.au
"$1,929,595 ONO",1929595.0,"254 Beach Rd, Harris Park NSW 2448",Harris Park,3,2,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/harris-park/apartment--unit--flat-21,realestateview.com.au
"$1,249,443 ONO",1249443.0,"85 Princes Highway, Harris Park NSW 2370",Harris Park,5,3,0,House,https://www.realestate.com.au/property/harris-park/house-22,realestate.com.au
"Guide $630,030",630030.0,"632 William St, Harris Park NSW 2240",Harris Park,0,1,1,Studio,https://www.realestateview.com.au/property/harris-park/studio-23,realestateview.com.au
