price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,891,676",1891676.0,"736 The Boulevarde, Haymarket NSW 2038",Haymarket,6,4,1,Penthouse,https://www.domain.com.au/property/haymarket/penthouse-0,domain.com.au
"$2,421,602 - $2,572,408",2421602.0,"828 The Boulevarde, Haymarket NSW 2580",Haymarket,4,3,1,House,https://www.domain.com.au/property/haymarket/house-1,domain.com.au
"$2,281,979",2281979.0,"839 King St, Haymarket NSW 2399",Haymarket,2,2,0,House,https://www.domain.com.au/property/haymarket/house-2,domain.com.au
"From $2,411,899",2411899.0,"491 Park Ave, Haymarket NSW 2448",Haymarket,3,2,1,Villa,https://www.realestateview.com.au/property/haymarket/villa-3,realestateview.com.au
"$1,751,968 ONO",1751968.0,"616 Edward St, Haymarket NSW 2362",Haymarket,0,1,0,Studio,https://www.realestate.com.au/property/haymarket/studio-4,realestate.com.au
"From $620,788",620788.0,"126 Queen St, Haymarket NSW 2249",Haymarket,6,2,1,Townhouse,https://www.realestateview.com.au/property/haymarket/townhouse-5,realestateview.com.au
"Guide $1,941,542",1941542.0,"764 James St, Haymarket NSW 2251",Haymarket,2,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/haymarket/apartment--unit--flat-6,realestateview.com.au
"Guide $609,688",609688.0,"499 Park Ave, Haymarket NSW 2913",Haymarket,0,1,2,Studio,https://www.rent.com.au/property/haymarket/studio-7,rent.com.au
"$2,395,291 - $2,473,660",2395291.0,"618 Albert St, Haymarket NSW 2112",Haymarket,6,4,3,Penthouse,https://www.rent.com.au/property/haymarket/penthouse-8,rent.com.au
"$2,002,106 ONO",2002106.0,"52 Edward St, Haymarket NSW 2770",Haymarket,5,1,2,Apartment / Unit / Flat,https://www.domain.com.au/property/haymarket/apartment--unit--flat-10,domain.com.au
"$1,338,131",1338131.0,"173 Church St, Haymarket NSW 2578",Haymarket,3,1,2,Apartment / Unit / Flat,https://www.rent.com.au/property/haymarket/apartment--unit--flat-11,rent.com.au
"Guide $2,198,668",2198668.0,"573 Queen St, Haymarket NSW 2371",Haymarket,3,4,3,House,https://www.domain.com.au/property/haymarket/house-12,domain.com.au
"From $2,184,720",2184720.0,"142 King St, Haymarket NSW 2468",Haymarket,0,1,0,Studio,https://www.realestate.com.au/property/haymarket/studio-13,realestate.com.au
"$1,305,208 ONO",1305208.0,"565 King St, Haymarket NSW 2765",Haymarket,0,1,0,Studio,https://www.rent.com.au/property/haymarket/studio-14,rent.com.au
"From $2,163,249",2163249.0,"496 Beach Rd, Haymarket NSW 2256",Haymarket,5,2,3,Penthouse,https://www.rent.com.au/property/haymarket/penthouse-15,rent.com.au
"$1,807,099 - $1,877,563",1807099.0,"535 Queen St, Haymarket NSW 2884",Haymarket,2,3,0,Villa,https://www.realestate.com.au/property/haymarket/villa-17,realestate.com.au
"$2,484,992 - $2,586,541",2484992.0,"287 Pacific Highway, Haymarket NSW 2620",Haymarket,2,1,0,Villa,https://www.realestateview.com.au/property/haymarket/villa-18,realestateview.com.au
"$2,278,050",2278050.0,"600 The Boulevarde, Haymarket NSW 2224",Haymarket,4,3,0,Villa,https://www.rent.com.au/property/haymarket/villa-19,rent.com.au
"$1,452,374 - $1,550,637",1452374.0,"406 George St, Haymarket NSW 2113",Haymarket,1,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/haymarket/apartment--unit--flat-20,rent.com.au
"Guide $1,274,764",1274764.0,"628 Main St, Haymarket NSW 2276",Haymarket,1,2,0,House,https://www.rent.com.au/property/haymarket/house-21,rent.com.au
"$2,458,450",2458450.0,"748 Military Rd, Haymarket NSW 2646",Haymarket,3,2,2,House,https://www.domain.com.au/property/haymarket/house-22,domain.com.au
"From $2,288,630",2288630.0,"579 High St, Haymarket NSW 2543",Haymarket,3,3,1,Townhouse,https://www.domain.com.au/property/haymarket/townhouse-23,domain.com.au
"From $562,420",562420.0,"916 King St, Haymarket NSW 2095",Haymarket,2,3,3,Townhouse,https://www.domain.com.au/property/haymarket/townhouse-24,domain.com.au
