price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,951,778",1951778.0,"24 Ocean Rd, Heathcote NSW 2206",Heathcote,3,4,3,House,https://www.realestateview.com.au/property/heathcote/house-0,realestateview.com.au
"Guide $1,821,903",1821903.0,"131 Market St, Heathcote NSW 2558",Heathcote,6,3,0,House,https://www.rent.com.au/property/heathcote/house-1,rent.com.au
"Guide $1,801,984",1801984.0,"724 Church St, Heathcote NSW 2533",Heathcote,6,4,2,Penthouse,https://www.realestateview.com.au/property/heathcote/penthouse-2,realestateview.com.au
"$1,178,387",1178387.0,"762 Princes Highway, Heathcote NSW 2788",Heathcote,1,2,2,House,https://www.rent.com.au/property/heathcote/house-3,rent.com.au
"$562,447",562447.0,"674 High St, Heathcote NSW 2997",Heathcote,6,3,0,Penthouse,https://www.rent.com.au/property/heathcote/penthouse-4,rent.com.au
"$2,253,401",2253401.0,"805 Princes Highway, Heathcote NSW 2794",Heathcote,4,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/heathcote/apartment--unit--flat-5,realestateview.com.au
"$1,818,081 - $1,918,394",1818081.0,"508 Pacific Highway, Heathcote NSW 2722",Heathcote,2,1,2,Townhouse,https://www.realestateview.com.au/property/heathcote/townhouse-7,realestateview.com.au
"$1,216,272 ONO",1216272.0,"524 High St, Heathcote NSW 2830",Heathcote,3,4,0,Townhouse,https://www.domain.com.au/property/heathcote/townhouse-8,domain.com.au
"From $1,924,517",1924517.0,"978 Elizabeth St, Heathcote NSW 2333",Heathcote,3,2,4,Villa,https://www.realestate.com.au/property/heathcote/villa-9,realestate.com.au
"$1,272,396 ONO",1272396.0,"751 Queen St, Heathcote NSW 2463",Heathcote,2,3,2,House,https://www.rent.com.au/property/heathcote/house-10,rent.com.au
"Guide $1,125,868",1125868.0,"962 Princes Highway, Heathcote NSW 2172",Heathcote,4,3,3,House,https://www.realestate.com.au/property/heathcote/house-11,realestate.com.au
"$1,288,652 - $1,550,212",1288652.0,"811 Park Ave, Heathcote NSW 2172",Heathcote,6,2,0,Penthouse,https://www.rent.com.au/property/heathcote/penthouse-12,rent.com.au
"Guide $1,801,479",1801479.0,"174 King St, Heathcote NSW 2594",Heathcote,2,1,2,Villa,https://www.rent.com.au/property/heathcote/villa-13,rent.com.au
"Guide $1,928,509",1928509.0,"305 Military Rd, Heathcote NSW 2965",Heathcote,0,1,0,Studio,https://www.realestateview.com.au/property/heathcote/studio-14,realestateview.com.au
"$2,391,804",2391804.0,"396 Beach Rd, Heathcote NSW 2826",Heathcote,3,4,2,House,https://www.realestate.com.au/property/heathcote/house-15,realestate.com.au
"$1,715,823 ONO",1715823.0,"495 The Boulevarde, Heathcote NSW 2009",Heathcote,2,1,2,Townhouse,https://www.domain.com.au/property/heathcote/townhouse-16,domain.com.au
"Guide $1,689,115",1689115.0,"347 The Boulevarde, Heathcote NSW 2093",Heathcote,2,2,1,Townhouse,https://www.realestateview.com.au/property/heathcote/townhouse-17,realestateview.com.au
"$896,798",896798.0,"265 Park Ave, Heathcote NSW 2999",Heathcote,0,1,3,Studio,https://www.domain.com.au/property/heathcote/studio-18,domain.com.au
"Guide $664,040",664040.0,"201 Elizabeth St, Heathcote NSW 2886",Heathcote,2,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/heathcote/apartment--unit--flat-20,realestate.com.au
"From $1,001,508",1001508.0,"864 Queen St, Heathcote NSW 2976",Heathcote,5,2,4,Townhouse,https://www.rent.com.au/property/heathcote/townhouse-21,rent.com.au
"From $696,878",696878.0,"209 Albert St, Heathcote NSW 2533",Heathcote,1,1,1,House,https://www.domain.com.au/property/heathcote/house-22,domain.com.au
"$1,149,689",1149689.0,"562 Victoria St, Heathcote NSW 2891",Heathcote,2,2,1,Townhouse,https://www.realestateview.com.au/property/heathcote/townhouse-23,realestateview.com.au
"$592,208",592208.0,"108 James St, Heathcote NSW 2927",Heathcote,2,2,2,Villa,https://www.rent.com.au/property/heathcote/villa-24,rent.com.au
