price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $2,039,489",2039489.0,"52 Railway St, Hebersham NSW 2067",Hebersham,4,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/hebersham/apartment--unit--flat-0,realestate.com.au
"Guide $1,749,291",1749291.0,"537 Pacific Highway, Hebersham NSW 2302",Hebersham,0,1,2,Studio,https://www.realestate.com.au/property/hebersham/studio-1,realestate.com.au
"Guide $1,478,242",1478242.0,"280 Railway St, Hebersham NSW 2481",Hebersham,3,3,0,Villa,https://www.realestate.com.au/property/hebersham/villa-2,realestate.com.au
"$2,154,040 - $2,394,219",2154040.0,"10 Pacific Highway, Hebersham NSW 2955",Hebersham,4,3,0,Townhouse,https://www.realestate.com.au/property/hebersham/townhouse-3,realestate.com.au
"From $2,139,367",2139367.0,"748 Pacific Highway, Hebersham NSW 2879",Hebersham,3,2,1,Townhouse,https://www.realestate.com.au/property/hebersham/townhouse-4,realestate.com.au
"$738,790 ONO",738790.0,"517 Victoria St, Hebersham NSW 2397",Hebersham,2,2,0,House,https://www.realestate.com.au/property/hebersham/house-5,realestate.com.au
"$1,517,637 ONO",1517637.0,"817 Albert St, Hebersham NSW 2381",Hebersham,4,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/hebersham/apartment--unit--flat-6,domain.com.au
"$2,115,763 - $2,319,088",2115763.0,"424 King St, Hebersham NSW 2799",Hebersham,0,1,0,Studio,https://www.rent.com.au/property/hebersham/studio-7,rent.com.au
"$529,159 ONO",529159.0,"466 James St, Hebersham NSW 2898",Hebersham,2,3,2,Townhouse,https://www.domain.com.au/property/hebersham/townhouse-8,domain.com.au
"From $2,340,970",2340970.0,"785 William St, Hebersham NSW 2237",Hebersham,5,3,0,Villa,https://www.domain.com.au/property/hebersham/villa-9,domain.com.au
"$1,379,892",1379892.0,"131 William St, Hebersham NSW 2176",Hebersham,3,2,1,Villa,https://www.rent.com.au/property/hebersham/villa-11,rent.com.au
"$832,280",832280.0,"250 Railway St, Hebersham NSW 2383",Hebersham,3,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/hebersham/apartment--unit--flat-12,realestateview.com.au
"Guide $2,021,245",2021245.0,"688 High St, Hebersham NSW 2177",Hebersham,4,3,3,House,https://www.domain.com.au/property/hebersham/house-13,domain.com.au
"$660,705",660705.0,"158 Victoria St, Hebersham NSW 2194",Hebersham,1,1,0,Villa,https://www.domain.com.au/property/hebersham/villa-14,domain.com.au
"$1,223,734",1223734.0,"92 Queen St, Hebersham NSW 2258",Hebersham,3,3,0,Villa,https://www.realestate.com.au/property/hebersham/villa-15,realestate.com.au
"$915,703 - $1,175,570",915703.0,"10 Beach Rd, Hebersham NSW 2359",Hebersham,1,2,0,Townhouse,https://www.realestateview.com.au/property/hebersham/townhouse-16,realestateview.com.au
"$1,257,294",1257294.0,"285 King St, Hebersham NSW 2308",Hebersham,4,3,0,Penthouse,https://www.realestateview.com.au/property/hebersham/penthouse-17,realestateview.com.au
"Guide $611,166",611166.0,"621 Victoria St, Hebersham NSW 2879",Hebersham,5,3,2,Townhouse,https://www.rent.com.au/property/hebersham/townhouse-18,rent.com.au
"From $795,184",795184.0,"51 Albert St, Hebersham NSW 2200",Hebersham,6,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/hebersham/apartment--unit--flat-19,rent.com.au
"Guide $1,012,735",1012735.0,"130 Princes Highway, Hebersham NSW 2272",Hebersham,3,3,2,Penthouse,https://www.realestate.com.au/property/hebersham/penthouse-20,realestate.com.au
"Guide $1,952,262",1952262.0,"501 Park Ave, Hebersham NSW 2767",Hebersham,0,1,0,Studio,https://www.rent.com.au/property/hebersham/studio-21,rent.com.au
"$776,712",776712.0,"424 High St, Hebersham NSW 2824",Hebersham,2,3,0,House,https://www.domain.com.au/property/hebersham/house-22,domain.com.au
"$2,157,074",2157074.0,"383 Edward St, Hebersham NSW 2980",Hebersham,3,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/hebersham/apartment--unit--flat-23,rent.com.au
"$2,202,460 ONO",2202460.0,"706 Queen St, Hebersham NSW 2000",Hebersham,6,2,3,House,https://www.realestate.com.au/property/hebersham/house-24,realestate.com.au
