price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,457,692",1457692.0,"551 Market St, Helensburgh NSW 2030",Helensburgh,1,2,0,Villa,https://www.realestateview.com.au/property/helensburgh/villa-0,realestateview.com.au
"$2,299,609 - $2,567,971",2299609.0,"381 Railway St, Helensburgh NSW 2384",Helensburgh,2,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/helensburgh/apartment--unit--flat-1,realestate.com.au
"$1,420,171 ONO",1420171.0,"493 George St, Helensburgh NSW 2231",Helensburgh,3,4,1,Penthouse,https://www.domain.com.au/property/helensburgh/penthouse-2,domain.com.au
"Guide $1,987,964",1987964.0,"964 William St, Helensburgh NSW 2566",Helensburgh,2,2,1,Villa,https://www.realestateview.com.au/property/helensburgh/villa-3,realestateview.com.au
"$1,768,766 ONO",1768766.0,"141 Church St, Helensburgh NSW 2163",Helensburgh,2,1,1,Townhouse,https://www.realestateview.com.au/property/helensburgh/townhouse-4,realestateview.com.au
"Guide $1,657,412",1657412.0,"383 Victoria St, Helensburgh NSW 2920",Helensburgh,3,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/helensburgh/apartment--unit--flat-5,realestateview.com.au
"$1,672,608 ONO",1672608.0,"524 William St, Helensburgh NSW 2513",Helensburgh,3,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/helensburgh/apartment--unit--flat-6,domain.com.au
"From $2,174,164",2174164.0,"474 George St, Helensburgh NSW 2446",Helensburgh,2,2,0,Townhouse,https://www.realestate.com.au/property/helensburgh/townhouse-7,realestate.com.au
"Guide $2,109,082",2109082.0,"957 Main St, Helensburgh NSW 2285",Helensburgh,4,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/helensburgh/apartment--unit--flat-8,domain.com.au
"$1,926,261",1926261.0,"361 Albert St, Helensburgh NSW 2917",Helensburgh,4,1,0,Villa,https://www.rent.com.au/property/helensburgh/villa-9,rent.com.au
"$1,482,742 - $1,552,181",1482742.0,"877 Elizabeth St, Helensburgh NSW 2059",Helensburgh,2,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/helensburgh/apartment--unit--flat-11,realestateview.com.au
"From $1,617,598",1617598.0,"584 Ocean Rd, Helensburgh NSW 2152",Helensburgh,4,3,1,Villa,https://www.realestate.com.au/property/helensburgh/villa-12,realestate.com.au
"Guide $610,920",610920.0,"575 Main St, Helensburgh NSW 2172",Helensburgh,1,1,1,Villa,https://www.realestateview.com.au/property/helensburgh/villa-13,realestateview.com.au
"From $830,081",830081.0,"821 The Boulevarde, Helensburgh NSW 2077",Helensburgh,4,2,0,Penthouse,https://www.domain.com.au/property/helensburgh/penthouse-14,domain.com.au
"$978,766 ONO",978766.0,"477 Beach Rd, Helensburgh NSW 2579",Helensburgh,2,3,0,Townhouse,https://www.rent.com.au/property/helensburgh/townhouse-15,rent.com.au
"$878,885 - $996,391",878885.0,"663 Main St, Helensburgh NSW 2266",Helensburgh,5,3,2,Apartment / Unit / Flat,https://www.rent.com.au/property/helensburgh/apartment--unit--flat-16,rent.com.au
"$674,269 - $795,603",674269.0,"489 Military Rd, Helensburgh NSW 2465",Helensburgh,2,3,2,House,https://www.domain.com.au/property/helensburgh/house-17,domain.com.au
"$2,094,867 - $2,325,054",2094867.0,"357 Edward St, Helensburgh NSW 2962",Helensburgh,4,1,0,House,https://www.realestateview.com.au/property/helensburgh/house-18,realestateview.com.au
"$962,563 - $1,062,778",962563.0,"203 Church St, Helensburgh NSW 2761",Helensburgh,2,3,3,Villa,https://www.realestateview.com.au/property/helensburgh/villa-19,realestateview.com.au
"$1,025,904",1025904.0,"413 High St, Helensburgh NSW 2109",Helensburgh,3,3,2,Villa,https://www.domain.com.au/property/helensburgh/villa-20,domain.com.au
"From $582,962",582962.0,"290 Park Ave, Helensburgh NSW 2761",Helensburgh,3,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/helensburgh/apartment--unit--flat-21,realestate.com.au
"$1,329,350",1329350.0,"48 Pacific Highway, Helensburgh NSW 2843",Helensburgh,1,2,2,Townhouse,https://www.rent.com.au/property/helensburgh/townhouse-23,rent.com.au
"Guide $665,546",665546.0,"722 William St, Helensburgh NSW 2820",Helensburgh,3,2,0,Villa,https://www.realestate.com.au/property/helensburgh/villa-24,realestate.com.au
