price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,834,826",1834826.0,"745 Main St, Holsworthy NSW 2345",Holsworthy,5,2,2,House,https://www.rent.com.au/property/holsworthy/house-1,rent.com.au
"Guide $1,221,389",1221389.0,"620 Ocean Rd, Holsworthy NSW 2402",Holsworthy,0,1,4,Studio,https://www.domain.com.au/property/holsworthy/studio-2,domain.com.au
"From $2,078,936",2078936.0,"401 The Boulevarde, Holsworthy NSW 2911",Holsworthy,3,4,2,Townhouse,https://www.realestateview.com.au/property/holsworthy/townhouse-3,realestateview.com.au
"From $1,607,981",1607981.0,"993 Albert St, Holsworthy NSW 2646",Holsworthy,2,1,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/holsworthy/apartment--unit--flat-4,realestate.com.au
"Guide $1,515,441",1515441.0,"666 George St, Holsworthy NSW 2256",Holsworthy,3,1,0,House,https://www.realestate.com.au/property/holsworthy/house-5,realestate.com.au
"$723,337 - $998,297",723337.0,"443 Queen St, Holsworthy NSW 2581",Holsworthy,2,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/holsworthy/apartment--unit--flat-7,rent.com.au
"$1,331,289 ONO",1331289.0,"840 Park Ave, Holsworthy NSW 2935",Holsworthy,1,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/holsworthy/apartment--unit--flat-8,realestateview.com.au
"$1,423,930 ONO",1423930.0,"640 Elizabeth St, Holsworthy NSW 2566",Holsworthy,3,3,1,Penthouse,https://www.realestateview.com.au/property/holsworthy/penthouse-9,realestateview.com.au
"$1,745,345",1745345.0,"67 The Boulevarde, Holsworthy NSW 2744",Holsworthy,5,2,1,Penthouse,https://www.realestate.com.au/property/holsworthy/penthouse-10,realestate.com.au
"$740,336 ONO",740336.0,"635 Market St, Holsworthy NSW 2319",Holsworthy,0,1,0,Studio,https://www.domain.com.au/property/holsworthy/studio-12,domain.com.au
"$1,248,305 ONO",1248305.0,"562 Pacific Highway, Holsworthy NSW 2800",Holsworthy,0,1,2,Studio,https://www.domain.com.au/property/holsworthy/studio-13,domain.com.au
"$1,827,103 ONO",1827103.0,"289 William St, Holsworthy NSW 2602",Holsworthy,4,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/holsworthy/apartment--unit--flat-14,realestate.com.au
"From $1,528,318",1528318.0,"220 James St, Holsworthy NSW 2889",Holsworthy,4,2,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/holsworthy/apartment--unit--flat-15,realestate.com.au
"$2,007,927 - $2,106,039",2007927.0,"574 Pacific Highway, Holsworthy NSW 2102",Holsworthy,0,1,0,Studio,https://www.domain.com.au/property/holsworthy/studio-16,domain.com.au
"From $1,592,628",1592628.0,"31 Albert St, Holsworthy NSW 2221",Holsworthy,5,3,3,Villa,https://www.realestate.com.au/property/holsworthy/villa-17,realestate.com.au
"$2,427,490 - $2,577,527",2427490.0,"605 Albert St, Holsworthy NSW 2120",Holsworthy,0,1,0,Studio,https://www.rent.com.au/property/holsworthy/studio-18,rent.com.au
"$832,429 - $952,006",832429.0,"158 Pacific Highway, Holsworthy NSW 2568",Holsworthy,2,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/holsworthy/apartment--unit--flat-19,realestate.com.au
"From $2,176,698",2176698.0,"896 James St, Holsworthy NSW 2937",Holsworthy,4,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/holsworthy/apartment--unit--flat-20,domain.com.au
"$2,020,407 - $2,156,510",2020407.0,"290 Railway St, Holsworthy NSW 2560",Holsworthy,2,2,2,Townhouse,https://www.rent.com.au/property/holsworthy/townhouse-21,rent.com.au
"$1,289,563 - $1,550,517",1289563.0,"467 Railway St, Holsworthy NSW 2735",Holsworthy,1,1,4,House,https://www.realestate.com.au/property/holsworthy/house-22,realestate.com.au
"Guide $1,729,095",1729095.0,"48 Elizabeth St, Holsworthy NSW 2653",Holsworthy,4,3,4,Apartment / Unit / Flat,https://www.realestateview.com.au/property/holsworthy/apartment--unit--flat-23,realestateview.com.au
