price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,612,474",1612474.0,"592 High St, Homebush NSW 2669",Homebush,3,1,0,House,https://www.realestateview.com.au/property/homebush/house-0,realestateview.com.au
"From $2,070,054",2070054.0,"361 Edward St, Homebush NSW 2460",Homebush,2,3,1,Villa,https://www.rent.com.au/property/homebush/villa-2,rent.com.au
"$1,491,997 ONO",1491997.0,"604 The Boulevarde, Homebush NSW 2944",Homebush,0,1,1,Studio,https://www.realestate.com.au/property/homebush/studio-3,realestate.com.au
"Guide $663,571",663571.0,"572 William St, Homebush NSW 2334",Homebush,4,3,0,Townhouse,https://www.realestateview.com.au/property/homebush/townhouse-4,realestateview.com.au
"From $1,336,843",1336843.0,"137 Market St, Homebush NSW 2505",Homebush,2,1,2,Villa,https://www.domain.com.au/property/homebush/villa-5,domain.com.au
"From $1,109,156",1109156.0,"778 James St, Homebush NSW 2578",Homebush,2,3,2,House,https://www.realestate.com.au/property/homebush/house-6,realestate.com.au
"$1,559,994 - $1,846,282",1559994.0,"906 Railway St, Homebush NSW 2170",Homebush,2,3,1,Villa,https://www.rent.com.au/property/homebush/villa-7,rent.com.au
"$1,543,779 ONO",1543779.0,"454 Church St, Homebush NSW 2392",Homebush,2,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/homebush/apartment--unit--flat-8,realestateview.com.au
"$1,680,692",1680692.0,"22 Albert St, Homebush NSW 2728",Homebush,0,1,1,Studio,https://www.realestateview.com.au/property/homebush/studio-9,realestateview.com.au
"$1,063,096 ONO",1063096.0,"160 Albert St, Homebush NSW 2818",Homebush,0,1,1,Studio,https://www.realestateview.com.au/property/homebush/studio-11,realestateview.com.au
"Guide $1,344,136",1344136.0,"660 Main St, Homebush NSW 2621",Homebush,3,1,0,Villa,https://www.rent.com.au/property/homebush/villa-12,rent.com.au
"From $2,484,997",2484997.0,"870 Albert St, Homebush NSW 2723",Homebush,2,1,0,Villa,https://www.domain.com.au/property/homebush/villa-13,domain.com.au
"Guide $1,084,791",1084791.0,"381 Victoria St, Homebush NSW 2755",Homebush,0,1,0,Studio,https://www.realestate.com.au/property/homebush/studio-14,realestate.com.au
"Guide $892,069",892069.0,"336 High St, Homebush NSW 2127",Homebush,4,2,2,Penthouse,https://www.realestateview.com.au/property/homebush/penthouse-15,realestateview.com.au
"$2,404,296",2404296.0,"16 Main St, Homebush NSW 2303",Homebush,0,1,1,Studio,https://www.realestateview.com.au/property/homebush/studio-17,realestateview.com.au
"Guide $936,542",936542.0,"217 Market St, Homebush NSW 2007",Homebush,4,2,3,House,https://www.domain.com.au/property/homebush/house-18,domain.com.au
"$2,259,076 ONO",2259076.0,"17 Park Ave, Homebush NSW 2246",Homebush,1,1,1,Villa,https://www.realestate.com.au/property/homebush/villa-19,realestate.com.au
"$893,513 ONO",893513.0,"529 High St, Homebush NSW 2216",Homebush,1,2,2,Villa,https://www.domain.com.au/property/homebush/villa-22,domain.com.au
"Guide $943,094",943094.0,"57 Market St, Homebush NSW 2444",Homebush,2,2,1,House,https://www.realestate.com.au/property/homebush/house-23,realestate.com.au
"Guide $2,182,294",2182294.0,"547 George St, Homebush NSW 2656",Homebush,1,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/homebush/apartment--unit--flat-0,realestateview.com.au
"$1,023,300 ONO",1023300.0,"356 Main St, Homebush NSW 2132",Homebush,3,3,1,Penthouse,https://www.realestate.com.au/property/homebush/penthouse-1,realestate.com.au
"$1,230,947 - $1,432,689",1230947.0,"97 Victoria St, Homebush NSW 2527",Homebush,0,1,3,Studio,https://www.realestate.com.au/property/homebush/studio-3,realestate.com.au
"$1,559,414",1559414.0,"8 Railway St, Homebush NSW 2843",Homebush,0,1,1,Studio,https://www.domain.com.au/property/homebush/studio-4,domain.com.au
"$1,946,463 ONO",1946463.0,"792 Albert St, Homebush NSW 2856",Homebush,6,1,2,Villa,https://www.realestate.com.au/property/homebush/villa-5,realestate.com.au
"$982,530",982530.0,"814 Military Rd, Homebush NSW 2967",Homebush,5,1,2,Townhouse,https://www.realestate.com.au/property/homebush/townhouse-6,realestate.com.au
"From $1,044,918",1044918.0,"487 James St, Homebush NSW 2226",Homebush,5,4,0,Penthouse,https://www.domain.com.au/property/homebush/penthouse-7,domain.com.au
"$1,199,552 ONO",1199552.0,"567 High St, Homebush NSW 2524",Homebush,4,2,2,Townhouse,https://www.rent.com.au/property/homebush/townhouse-8,rent.com.au
"$643,812 - $874,969",643812.0,"647 James St, Homebush NSW 2279",Homebush,1,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/homebush/apartment--unit--flat-10,rent.com.au
"Guide $1,250,607",1250607.0,"993 George St, Homebush NSW 2512",Homebush,3,4,1,Penthouse,https://www.rent.com.au/property/homebush/penthouse-11,rent.com.au
"$793,738",793738.0,"537 William St, Homebush NSW 2954",Homebush,2,1,1,Townhouse,https://www.domain.com.au/property/homebush/townhouse-12,domain.com.au
"$1,956,314 ONO",1956314.0,"505 George St, Homebush NSW 2534",Homebush,0,1,2,Studio,https://www.rent.com.au/property/homebush/studio-13,rent.com.au
"$1,005,103 - $1,229,307",1005103.0,"877 Railway St, Homebush NSW 2151",Homebush,4,3,3,Villa,https://www.rent.com.au/property/homebush/villa-14,rent.com.au
"$1,949,508 - $2,122,975",1949508.0,"818 The Boulevarde, Homebush NSW 2717",Homebush,5,3,4,House,https://www.rent.com.au/property/homebush/house-15,rent.com.au
"From $1,669,266",1669266.0,"324 Park Ave, Homebush NSW 2222",Homebush,1,1,1,Villa,https://www.rent.com.au/property/homebush/villa-16,rent.com.au
"Guide $1,179,065",1179065.0,"418 Main St, Homebush NSW 2259",Homebush,2,1,2,Villa,https://www.realestateview.com.au/property/homebush/villa-17,realestateview.com.au
"From $1,375,624",1375624.0,"118 Market St, Homebush NSW 2431",Homebush,4,2,4,Penthouse,https://www.rent.com.au/property/homebush/penthouse-18,rent.com.au
"From $791,935",791935.0,"478 Main St, Homebush NSW 2197",Homebush,5,3,0,Penthouse,https://www.realestate.com.au/property/homebush/penthouse-19,realestate.com.au
"$1,837,184 - $2,110,046",1837184.0,"617 High St, Homebush NSW 2720",Homebush,0,1,3,Studio,https://www.realestate.com.au/property/homebush/studio-20,realestate.com.au
"$1,019,658 - $1,232,425",1019658.0,"997 Park Ave, Homebush NSW 2665",Homebush,6,3,0,Penthouse,https://www.rent.com.au/property/homebush/penthouse-21,rent.com.au
"$1,710,502",1710502.0,"689 Railway St, Homebush NSW 2146",Homebush,1,1,2,Apartment / Unit / Flat,https://www.rent.com.au/property/homebush/apartment--unit--flat-22,rent.com.au
"Guide $1,747,111",1747111.0,"119 Church St, Homebush NSW 2836",Homebush,3,2,1,Townhouse,https://www.realestateview.com.au/property/homebush/townhouse-23,realestateview.com.au
"$1,771,667",1771667.0,"807 Victoria St, Homebush NSW 2199",Homebush,2,1,4,Townhouse,https://www.domain.com.au/property/homebush/townhouse-24,domain.com.au
