price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,168,048",1168048.0,"94 Albert St, Homebush West NSW 2366",Homebush West,2,3,1,Villa,https://www.rent.com.au/property/homebush-west/villa-0,rent.com.au
"Guide $1,957,508",1957508.0,"683 Victoria St, Homebush West NSW 2928",Homebush West,1,1,1,Villa,https://www.domain.com.au/property/homebush-west/villa-2,domain.com.au
"$1,613,249 - $1,856,204",1613249.0,"273 Edward St, Homebush West NSW 2167",Homebush West,3,2,0,Villa,https://www.realestate.com.au/property/homebush-west/villa-3,realestate.com.au
"$1,289,907 ONO",1289907.0,"948 Main St, Homebush West NSW 2358",Homebush West,4,2,0,Penthouse,https://www.domain.com.au/property/homebush-west/penthouse-4,domain.com.au
"$835,102",835102.0,"202 Church St, Homebush West NSW 2669",Homebush West,1,2,3,Townhouse,https://www.realestate.com.au/property/homebush-west/townhouse-5,realestate.com.au
"$2,314,362 - $2,556,449",2314362.0,"365 Albert St, Homebush West NSW 2537",Homebush West,2,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/homebush-west/apartment--unit--flat-6,realestateview.com.au
"$1,240,917",1240917.0,"580 Military Rd, Homebush West NSW 2645",Homebush West,4,4,3,Villa,https://www.rent.com.au/property/homebush-west/villa-7,rent.com.au
"$1,632,140",1632140.0,"378 Beach Rd, Homebush West NSW 2591",Homebush West,4,2,2,Penthouse,https://www.realestateview.com.au/property/homebush-west/penthouse-8,realestateview.com.au
"$1,869,614",1869614.0,"610 Ocean Rd, Homebush West NSW 2403",Homebush West,0,1,3,Studio,https://www.realestateview.com.au/property/homebush-west/studio-9,realestateview.com.au
"From $2,452,709",2452709.0,"203 George St, Homebush West NSW 2675",Homebush West,6,3,1,Penthouse,https://www.rent.com.au/property/homebush-west/penthouse-10,rent.com.au
"Guide $1,862,894",1862894.0,"851 Edward St, Homebush West NSW 2792",Homebush West,4,2,2,House,https://www.realestateview.com.au/property/homebush-west/house-11,realestateview.com.au
"$2,096,895",2096895.0,"591 Queen St, Homebush West NSW 2058",Homebush West,2,3,3,Apartment / Unit / Flat,https://www.rent.com.au/property/homebush-west/apartment--unit--flat-12,rent.com.au
"$1,161,863 - $1,328,947",1161863.0,"826 King St, Homebush West NSW 2365",Homebush West,4,1,1,Townhouse,https://www.realestate.com.au/property/homebush-west/townhouse-13,realestate.com.au
"$1,802,345 ONO",1802345.0,"647 Queen St, Homebush West NSW 2755",Homebush West,6,1,3,Villa,https://www.realestate.com.au/property/homebush-west/villa-14,realestate.com.au
"$874,720 ONO",874720.0,"716 Edward St, Homebush West NSW 2439",Homebush West,4,2,1,Townhouse,https://www.realestate.com.au/property/homebush-west/townhouse-17,realestate.com.au
"Guide $1,512,374",1512374.0,"853 Market St, Homebush West NSW 2651",Homebush West,1,1,2,Villa,https://www.rent.com.au/property/homebush-west/villa-18,rent.com.au
"Guide $2,192,335",2192335.0,"689 Victoria St, Homebush West NSW 2870",Homebush West,3,2,0,Penthouse,https://www.realestate.com.au/property/homebush-west/penthouse-19,realestate.com.au
"$1,741,429",1741429.0,"772 Military Rd, Homebush West NSW 2268",Homebush West,5,3,0,Penthouse,https://www.domain.com.au/property/homebush-west/penthouse-20,domain.com.au
"$2,203,654 - $2,423,216",2203654.0,"374 Queen St, Homebush West NSW 2649",Homebush West,0,1,2,Studio,https://www.realestate.com.au/property/homebush-west/studio-21,realestate.com.au
"$686,851",686851.0,"857 Market St, Homebush West NSW 2062",Homebush West,4,2,0,Penthouse,https://www.domain.com.au/property/homebush-west/penthouse-24,domain.com.au
