price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,417,196",1417196.0,"133 Ocean Rd, Hornsby NSW 2132",Hornsby,3,1,0,Villa,https://www.realestate.com.au/property/hornsby/villa-0,realestate.com.au
"$1,336,093 ONO",1336093.0,"27 The Boulevarde, Hornsby NSW 2422",Hornsby,4,4,2,Townhouse,https://www.realestate.com.au/property/hornsby/townhouse-2,realestate.com.au
"Guide $1,688,516",1688516.0,"787 Elizabeth St, Hornsby NSW 2104",Hornsby,4,3,1,Penthouse,https://www.realestateview.com.au/property/hornsby/penthouse-4,realestateview.com.au
"$1,298,911 - $1,396,450",1298911.0,"931 Edward St, Hornsby NSW 2112",Hornsby,4,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/hornsby/apartment--unit--flat-5,rent.com.au
"From $946,264",946264.0,"798 King St, Hornsby NSW 2670",Hornsby,3,4,0,House,https://www.realestate.com.au/property/hornsby/house-6,realestate.com.au
"From $2,085,956",2085956.0,"801 Military Rd, Hornsby NSW 2294",Hornsby,3,1,2,Townhouse,https://www.realestateview.com.au/property/hornsby/townhouse-7,realestateview.com.au
"$2,417,945 ONO",2417945.0,"694 Park Ave, Hornsby NSW 2400",Hornsby,2,1,2,Townhouse,https://www.realestateview.com.au/property/hornsby/townhouse-8,realestateview.com.au
"$1,698,047 - $1,991,045",1698047.0,"785 High St, Hornsby NSW 2274",Hornsby,2,3,3,Villa,https://www.realestate.com.au/property/hornsby/villa-9,realestate.com.au
"$1,178,433",1178433.0,"222 Beach Rd, Hornsby NSW 2640",Hornsby,2,2,0,Villa,https://www.realestate.com.au/property/hornsby/villa-10,realestate.com.au
"Guide $2,072,202",2072202.0,"920 Market St, Hornsby NSW 2951",Hornsby,6,3,0,Penthouse,https://www.realestateview.com.au/property/hornsby/penthouse-11,realestateview.com.au
"From $1,377,050",1377050.0,"811 Market St, Hornsby NSW 2999",Hornsby,0,1,0,Studio,https://www.realestateview.com.au/property/hornsby/studio-12,realestateview.com.au
"$723,919 - $846,359",723919.0,"272 King St, Hornsby NSW 2819",Hornsby,4,2,2,Townhouse,https://www.rent.com.au/property/hornsby/townhouse-13,rent.com.au
"$1,126,307 - $1,260,410",1126307.0,"871 Pacific Highway, Hornsby NSW 2304",Hornsby,3,4,1,Penthouse,https://www.domain.com.au/property/hornsby/penthouse-14,domain.com.au
"From $2,452,788",2452788.0,"839 William St, Hornsby NSW 2847",Hornsby,3,3,2,Apartment / Unit / Flat,https://www.domain.com.au/property/hornsby/apartment--unit--flat-15,domain.com.au
"$2,110,844 ONO",2110844.0,"976 Military Rd, Hornsby NSW 2679",Hornsby,2,1,0,Villa,https://www.realestate.com.au/property/hornsby/villa-16,realestate.com.au
"Guide $1,726,070",1726070.0,"940 Main St, Hornsby NSW 2553",Hornsby,3,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/hornsby/apartment--unit--flat-17,realestateview.com.au
"$2,065,069 ONO",2065069.0,"289 Pacific Highway, Hornsby NSW 2254",Hornsby,0,1,0,Studio,https://www.rent.com.au/property/hornsby/studio-18,rent.com.au
"$986,819",986819.0,"434 Main St, Hornsby NSW 2308",Hornsby,1,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/hornsby/apartment--unit--flat-19,realestate.com.au
"$1,247,266 - $1,516,661",1247266.0,"354 Ocean Rd, Hornsby NSW 2273",Hornsby,0,1,1,Studio,https://www.rent.com.au/property/hornsby/studio-20,rent.com.au
"Guide $1,569,566",1569566.0,"813 Park Ave, Hornsby NSW 2207",Hornsby,4,1,2,House,https://www.realestate.com.au/property/hornsby/house-22,realestate.com.au
"From $2,410,133",2410133.0,"912 Albert St, Hornsby NSW 2537",Hornsby,0,1,0,Studio,https://www.realestateview.com.au/property/hornsby/studio-23,realestateview.com.au
"From $2,344,996",2344996.0,"247 Main St, Hornsby NSW 2774",Hornsby,4,3,1,Townhouse,https://www.realestateview.com.au/property/hornsby/townhouse-24,realestateview.com.au
