price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,844,446 - $1,978,129",1844446.0,"339 Park Ave, Hoxton Park NSW 2913",Hoxton Park,4,2,1,House,https://www.rent.com.au/property/hoxton-park/house-0,rent.com.au
"$735,688 - $874,826",735688.0,"150 Edward St, Hoxton Park NSW 2006",Hoxton Park,3,1,0,Townhouse,https://www.realestate.com.au/property/hoxton-park/townhouse-1,realestate.com.au
"From $1,547,786",1547786.0,"188 Railway St, Hoxton Park NSW 2517",Hoxton Park,0,1,2,Studio,https://www.domain.com.au/property/hoxton-park/studio-2,domain.com.au
"$1,309,385 - $1,371,697",1309385.0,"509 Queen St, Hoxton Park NSW 2475",Hoxton Park,5,3,3,House,https://www.realestateview.com.au/property/hoxton-park/house-3,realestateview.com.au
"$1,071,378",1071378.0,"566 Military Rd, Hoxton Park NSW 2165",Hoxton Park,4,1,1,Villa,https://www.realestateview.com.au/property/hoxton-park/villa-4,realestateview.com.au
"From $1,644,091",1644091.0,"898 Church St, Hoxton Park NSW 2607",Hoxton Park,0,1,0,Studio,https://www.realestate.com.au/property/hoxton-park/studio-5,realestate.com.au
"From $1,734,355",1734355.0,"735 The Boulevarde, Hoxton Park NSW 2512",Hoxton Park,2,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/hoxton-park/apartment--unit--flat-6,rent.com.au
"$1,712,311 ONO",1712311.0,"716 George St, Hoxton Park NSW 2523",Hoxton Park,3,3,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/hoxton-park/apartment--unit--flat-7,realestate.com.au
"From $660,596",660596.0,"623 Ocean Rd, Hoxton Park NSW 2610",Hoxton Park,1,2,4,House,https://www.rent.com.au/property/hoxton-park/house-9,rent.com.au
"$1,783,654 - $2,007,885",1783654.0,"352 James St, Hoxton Park NSW 2313",Hoxton Park,3,4,4,House,https://www.realestate.com.au/property/hoxton-park/house-10,realestate.com.au
"Guide $2,175,312",2175312.0,"855 Princes Highway, Hoxton Park NSW 2761",Hoxton Park,0,1,4,Studio,https://www.realestateview.com.au/property/hoxton-park/studio-12,realestateview.com.au
"$2,425,367",2425367.0,"808 The Boulevarde, Hoxton Park NSW 2667",Hoxton Park,3,3,3,Villa,https://www.rent.com.au/property/hoxton-park/villa-14,rent.com.au
"From $1,826,384",1826384.0,"552 Victoria St, Hoxton Park NSW 2415",Hoxton Park,3,4,0,Townhouse,https://www.domain.com.au/property/hoxton-park/townhouse-15,domain.com.au
"$774,308 ONO",774308.0,"473 George St, Hoxton Park NSW 2473",Hoxton Park,3,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/hoxton-park/apartment--unit--flat-16,rent.com.au
"Guide $2,105,976",2105976.0,"186 Victoria St, Hoxton Park NSW 2338",Hoxton Park,4,4,0,Penthouse,https://www.realestateview.com.au/property/hoxton-park/penthouse-18,realestateview.com.au
"$1,571,910 ONO",1571910.0,"338 Market St, Hoxton Park NSW 2108",Hoxton Park,0,1,1,Studio,https://www.rent.com.au/property/hoxton-park/studio-19,rent.com.au
"From $2,271,260",2271260.0,"973 Church St, Hoxton Park NSW 2637",Hoxton Park,2,1,1,Villa,https://www.rent.com.au/property/hoxton-park/villa-20,rent.com.au
"$690,124 ONO",690124.0,"212 Victoria St, Hoxton Park NSW 2221",Hoxton Park,0,1,1,Studio,https://www.rent.com.au/property/hoxton-park/studio-21,rent.com.au
"$1,565,057 ONO",1565057.0,"594 Church St, Hoxton Park NSW 2860",Hoxton Park,0,1,2,Studio,https://www.realestate.com.au/property/hoxton-park/studio-22,realestate.com.au
"$1,794,234 ONO",1794234.0,"741 Main St, Hoxton Park NSW 2592",Hoxton Park,3,1,2,Villa,https://www.domain.com.au/property/hoxton-park/villa-23,domain.com.au
"From $2,188,391",2188391.0,"592 Railway St, Hoxton Park NSW 2616",Hoxton Park,1,2,1,Townhouse,https://www.domain.com.au/property/hoxton-park/townhouse-24,domain.com.au
