price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,833,822 - $1,994,078",1833822.0,"836 Ocean Rd, Hunters Hill NSW 2083",Hunters Hill,2,1,0,Villa,https://www.realestate.com.au/property/hunters-hill/villa-0,realestate.com.au
"Guide $1,580,759",1580759.0,"417 Edward St, Hunters Hill NSW 2154",Hunters Hill,2,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/hunters-hill/apartment--unit--flat-1,rent.com.au
"$973,751 ONO",973751.0,"585 High St, Hunters Hill NSW 2292",Hunters Hill,0,1,1,Studio,https://www.domain.com.au/property/hunters-hill/studio-3,domain.com.au
"$2,158,669",2158669.0,"179 Edward St, Hunters Hill NSW 2723",Hunters Hill,3,1,0,House,https://www.realestateview.com.au/property/hunters-hill/house-4,realestateview.com.au
"Guide $1,605,383",1605383.0,"403 Victoria St, Hunters Hill NSW 2192",Hunters Hill,4,3,0,Townhouse,https://www.rent.com.au/property/hunters-hill/townhouse-5,rent.com.au
"$2,389,745 - $2,537,378",2389745.0,"403 Pacific Highway, Hunters Hill NSW 2500",Hunters Hill,2,1,0,Townhouse,https://www.domain.com.au/property/hunters-hill/townhouse-6,domain.com.au
"$1,995,581 ONO",1995581.0,"425 King St, Hunters Hill NSW 2551",Hunters Hill,2,3,0,Townhouse,https://www.rent.com.au/property/hunters-hill/townhouse-7,rent.com.au
"Guide $1,382,677",1382677.0,"35 George St, Hunters Hill NSW 2160",Hunters Hill,2,1,1,House,https://www.domain.com.au/property/hunters-hill/house-8,domain.com.au
"From $1,837,703",1837703.0,"318 James St, Hunters Hill NSW 2675",Hunters Hill,3,3,1,Penthouse,https://www.domain.com.au/property/hunters-hill/penthouse-11,domain.com.au
"From $2,232,142",2232142.0,"881 Park Ave, Hunters Hill NSW 2006",Hunters Hill,3,3,0,Penthouse,https://www.rent.com.au/property/hunters-hill/penthouse-12,rent.com.au
"Guide $592,264",592264.0,"897 Queen St, Hunters Hill NSW 2775",Hunters Hill,4,2,3,Townhouse,https://www.realestateview.com.au/property/hunters-hill/townhouse-13,realestateview.com.au
"$1,997,394 - $2,205,863",1997394.0,"161 Victoria St, Hunters Hill NSW 2183",Hunters Hill,4,3,0,Penthouse,https://www.realestate.com.au/property/hunters-hill/penthouse-15,realestate.com.au
"$657,525 ONO",657525.0,"884 Beach Rd, Hunters Hill NSW 2353",Hunters Hill,3,2,4,Penthouse,https://www.rent.com.au/property/hunters-hill/penthouse-16,rent.com.au
"From $2,022,515",2022515.0,"492 Pacific Highway, Hunters Hill NSW 2109",Hunters Hill,0,1,0,Studio,https://www.domain.com.au/property/hunters-hill/studio-17,domain.com.au
"$590,460 ONO",590460.0,"861 Princes Highway, Hunters Hill NSW 2730",Hunters Hill,2,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/hunters-hill/apartment--unit--flat-18,rent.com.au
"$1,274,209 - $1,399,841",1274209.0,"889 James St, Hunters Hill NSW 2286",Hunters Hill,0,1,3,Studio,https://www.rent.com.au/property/hunters-hill/studio-19,rent.com.au
"From $578,296",578296.0,"505 Queen St, Hunters Hill NSW 2451",Hunters Hill,3,2,4,Villa,https://www.realestateview.com.au/property/hunters-hill/villa-20,realestateview.com.au
"$1,417,775 - $1,484,912",1417775.0,"636 Queen St, Hunters Hill NSW 2021",Hunters Hill,3,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/hunters-hill/apartment--unit--flat-21,rent.com.au
"$2,045,356",2045356.0,"963 Beach Rd, Hunters Hill NSW 2009",Hunters Hill,4,1,2,Townhouse,https://www.realestate.com.au/property/hunters-hill/townhouse-22,realestate.com.au
"Guide $1,975,991",1975991.0,"755 Beach Rd, Hunters Hill NSW 2750",Hunters Hill,0,1,0,Studio,https://www.realestate.com.au/property/hunters-hill/studio-23,realestate.com.au
