price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,664,037",1664037.0,"175 William St, Hurlstone Park NSW 2266",Hurlstone Park,1,2,4,Apartment / Unit / Flat,https://www.domain.com.au/property/hurlstone-park/apartment--unit--flat-1,domain.com.au
"$657,169 ONO",657169.0,"42 King St, Hurlstone Park NSW 2061",Hurlstone Park,4,2,2,Penthouse,https://www.domain.com.au/property/hurlstone-park/penthouse-2,domain.com.au
"Guide $540,615",540615.0,"358 Pacific Highway, Hurlstone Park NSW 2119",Hurlstone Park,2,3,0,Townhouse,https://www.rent.com.au/property/hurlstone-park/townhouse-3,rent.com.au
"Guide $1,377,337",1377337.0,"8 Edward St, Hurlstone Park NSW 2851",Hurlstone Park,6,2,2,Penthouse,https://www.rent.com.au/property/hurlstone-park/penthouse-4,rent.com.au
"$1,035,463",1035463.0,"308 Main St, Hurlstone Park NSW 2550",Hurlstone Park,3,2,0,Penthouse,https://www.realestate.com.au/property/hurlstone-park/penthouse-5,realestate.com.au
"$1,081,562",1081562.0,"484 The Boulevarde, Hurlstone Park NSW 2502",Hurlstone Park,3,4,0,Villa,https://www.rent.com.au/property/hurlstone-park/villa-6,rent.com.au
"$2,071,214 - $2,306,435",2071214.0,"466 Market St, Hurlstone Park NSW 2477",Hurlstone Park,6,4,0,Penthouse,https://www.realestate.com.au/property/hurlstone-park/penthouse-7,realestate.com.au
"Guide $2,228,017",2228017.0,"414 Ocean Rd, Hurlstone Park NSW 2187",Hurlstone Park,6,2,2,Penthouse,https://www.domain.com.au/property/hurlstone-park/penthouse-8,domain.com.au
"$2,050,687 ONO",2050687.0,"816 Princes Highway, Hurlstone Park NSW 2902",Hurlstone Park,4,3,0,Villa,https://www.domain.com.au/property/hurlstone-park/villa-9,domain.com.au
"$947,993 - $1,051,295",947993.0,"901 Main St, Hurlstone Park NSW 2427",Hurlstone Park,4,2,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/hurlstone-park/apartment--unit--flat-10,realestate.com.au
"$1,650,550 ONO",1650550.0,"306 Beach Rd, Hurlstone Park NSW 2022",Hurlstone Park,5,3,3,Penthouse,https://www.realestate.com.au/property/hurlstone-park/penthouse-11,realestate.com.au
"$1,441,996 ONO",1441996.0,"833 High St, Hurlstone Park NSW 2694",Hurlstone Park,3,3,3,Penthouse,https://www.rent.com.au/property/hurlstone-park/penthouse-12,rent.com.au
"$1,365,142 ONO",1365142.0,"865 Church St, Hurlstone Park NSW 2624",Hurlstone Park,4,4,0,Penthouse,https://www.rent.com.au/property/hurlstone-park/penthouse-13,rent.com.au
"$936,586",936586.0,"137 Queen St, Hurlstone Park NSW 2016",Hurlstone Park,0,1,0,Studio,https://www.rent.com.au/property/hurlstone-park/studio-14,rent.com.au
"$574,555 - $672,529",574555.0,"126 King St, Hurlstone Park NSW 2826",Hurlstone Park,5,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/hurlstone-park/apartment--unit--flat-18,rent.com.au
"From $1,787,065",1787065.0,"473 Princes Highway, Hurlstone Park NSW 2907",Hurlstone Park,2,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/hurlstone-park/apartment--unit--flat-19,realestate.com.au
"$1,284,294",1284294.0,"773 Market St, Hurlstone Park NSW 2497",Hurlstone Park,1,1,0,Villa,https://www.realestate.com.au/property/hurlstone-park/villa-20,realestate.com.au
"From $723,122",723122.0,"754 King St, Hurlstone Park NSW 2697",Hurlstone Park,4,4,0,House,https://www.realestateview.com.au/property/hurlstone-park/house-21,realestateview.com.au
"$1,980,700",1980700.0,"965 Albert St, Hurlstone Park NSW 2622",Hurlstone Park,3,4,2,Apartment / Unit / Flat,https://www.rent.com.au/property/hurlstone-park/apartment--unit--flat-22,rent.com.au
"Guide $2,312,080",2312080.0,"790 High St, Hurlstone Park NSW 2695",Hurlstone Park,2,3,1,Townhouse,https://www.domain.com.au/property/hurlstone-park/townhouse-23,domain.com.au
"Guide $1,106,891",1106891.0,"318 Edward St, Hurlstone Park NSW 2532",Hurlstone Park,2,2,4,Townhouse,https://www.realestate.com.au/property/hurlstone-park/townhouse-24,realestate.com.au
