price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,808,109",1808109.0,"715 Elizabeth St, Hurstville NSW 2378",Hurstville,2,1,4,Townhouse,https://www.realestateview.com.au/property/hurstville/townhouse-1,realestateview.com.au
"$1,195,587",1195587.0,"802 The Boulevarde, Hurstville NSW 2384",Hurstville,2,2,2,House,https://www.domain.com.au/property/hurstville/house-2,domain.com.au
"$1,738,852",1738852.0,"158 Pacific Highway, Hurstville NSW 2669",Hurstville,0,1,0,Studio,https://www.rent.com.au/property/hurstville/studio-4,rent.com.au
"$1,320,671 - $1,493,686",1320671.0,"890 Victoria St, Hurstville NSW 2109",Hurstville,2,1,0,Townhouse,https://www.realestate.com.au/property/hurstville/townhouse-5,realestate.com.au
"From $1,530,182",1530182.0,"905 Pacific Highway, Hurstville NSW 2208",Hurstville,5,4,1,Penthouse,https://www.domain.com.au/property/hurstville/penthouse-6,domain.com.au
"From $1,758,495",1758495.0,"463 King St, Hurstville NSW 2565",Hurstville,0,1,3,Studio,https://www.realestateview.com.au/property/hurstville/studio-7,realestateview.com.au
"Guide $1,510,104",1510104.0,"295 Queen St, Hurstville NSW 2597",Hurstville,3,1,1,Villa,https://www.rent.com.au/property/hurstville/villa-8,rent.com.au
"Guide $1,844,376",1844376.0,"332 Main St, Hurstville NSW 2674",Hurstville,0,1,2,Studio,https://www.realestate.com.au/property/hurstville/studio-9,realestate.com.au
"$798,858",798858.0,"826 James St, Hurstville NSW 2220",Hurstville,3,4,1,Apartment / Unit / Flat,https://www.rent.com.au/property/hurstville/apartment--unit--flat-12,rent.com.au
"Guide $895,419",895419.0,"970 The Boulevarde, Hurstville NSW 2044",Hurstville,3,2,2,Townhouse,https://www.realestate.com.au/property/hurstville/townhouse-13,realestate.com.au
"From $2,015,794",2015794.0,"749 Queen St, Hurstville NSW 2188",Hurstville,6,3,1,Penthouse,https://www.realestate.com.au/property/hurstville/penthouse-14,realestate.com.au
"$795,333",795333.0,"976 Elizabeth St, Hurstville NSW 2750",Hurstville,4,3,2,Villa,https://www.domain.com.au/property/hurstville/villa-15,domain.com.au
"Guide $684,571",684571.0,"68 Princes Highway, Hurstville NSW 2797",Hurstville,1,2,0,Villa,https://www.realestate.com.au/property/hurstville/villa-16,realestate.com.au
"Guide $2,341,730",2341730.0,"37 George St, Hurstville NSW 2492",Hurstville,0,1,1,Studio,https://www.domain.com.au/property/hurstville/studio-17,domain.com.au
"From $2,371,895",2371895.0,"254 Park Ave, Hurstville NSW 2586",Hurstville,6,2,3,Penthouse,https://www.domain.com.au/property/hurstville/penthouse-18,domain.com.au
"$1,978,682 - $2,031,065",1978682.0,"251 George St, Hurstville NSW 2770",Hurstville,4,4,2,Townhouse,https://www.rent.com.au/property/hurstville/townhouse-19,rent.com.au
"$1,714,067 ONO",1714067.0,"78 Albert St, Hurstville NSW 2392",Hurstville,2,1,0,Townhouse,https://www.domain.com.au/property/hurstville/townhouse-20,domain.com.au
"$1,345,817",1345817.0,"274 Albert St, Hurstville NSW 2791",Hurstville,2,1,3,Villa,https://www.realestate.com.au/property/hurstville/villa-22,realestate.com.au
"Guide $1,413,363",1413363.0,"907 Victoria St, Hurstville NSW 2029",Hurstville,3,4,0,Apartment / Unit / Flat,https://www.domain.com.au/property/hurstville/apartment--unit--flat-23,domain.com.au
"$742,181",742181.0,"487 Ocean Rd, Hurstville NSW 2582",Hurstville,1,1,0,Townhouse,https://www.domain.com.au/property/hurstville/townhouse-24,domain.com.au
