price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$897,765 ONO",897765.0,"219 Military Rd, Illawong NSW 2512",Illawong,2,2,1,Villa,https://www.realestate.com.au/property/illawong/villa-0,realestate.com.au
"$2,254,324 ONO",2254324.0,"482 William St, Illawong NSW 2003",Illawong,2,1,2,Townhouse,https://www.realestate.com.au/property/illawong/townhouse-1,realestate.com.au
"Guide $1,659,505",1659505.0,"704 High St, Illawong NSW 2606",Illawong,2,1,4,Villa,https://www.realestate.com.au/property/illawong/villa-2,realestate.com.au
"From $2,335,443",2335443.0,"222 Church St, Illawong NSW 2043",Illawong,2,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/illawong/apartment--unit--flat-3,domain.com.au
"$1,951,679",1951679.0,"673 Market St, Illawong NSW 2103",Illawong,5,1,4,House,https://www.rent.com.au/property/illawong/house-4,rent.com.au
"$1,811,935",1811935.0,"921 Military Rd, Illawong NSW 2803",Illawong,4,1,0,House,https://www.realestate.com.au/property/illawong/house-5,realestate.com.au
"From $1,340,759",1340759.0,"260 Princes Highway, Illawong NSW 2715",Illawong,3,3,2,Penthouse,https://www.realestate.com.au/property/illawong/penthouse-6,realestate.com.au
"$1,483,507 - $1,588,252",1483507.0,"225 Elizabeth St, Illawong NSW 2051",Illawong,6,2,3,Penthouse,https://www.realestate.com.au/property/illawong/penthouse-7,realestate.com.au
"Guide $2,066,854",2066854.0,"585 King St, Illawong NSW 2086",Illawong,1,1,2,Townhouse,https://www.realestate.com.au/property/illawong/townhouse-8,realestate.com.au
"Guide $730,205",730205.0,"236 Military Rd, Illawong NSW 2453",Illawong,1,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/illawong/apartment--unit--flat-10,rent.com.au
"From $2,108,008",2108008.0,"729 Edward St, Illawong NSW 2128",Illawong,1,2,1,Villa,https://www.domain.com.au/property/illawong/villa-11,domain.com.au
"Guide $1,969,333",1969333.0,"628 Albert St, Illawong NSW 2856",Illawong,1,2,3,Villa,https://www.realestateview.com.au/property/illawong/villa-13,realestateview.com.au
"$1,429,788 - $1,702,429",1429788.0,"229 Main St, Illawong NSW 2630",Illawong,0,1,2,Studio,https://www.domain.com.au/property/illawong/studio-14,domain.com.au
"$2,001,623 - $2,218,968",2001623.0,"580 Main St, Illawong NSW 2369",Illawong,2,1,4,Villa,https://www.rent.com.au/property/illawong/villa-15,rent.com.au
"From $1,187,820",1187820.0,"643 George St, Illawong NSW 2721",Illawong,0,1,2,Studio,https://www.rent.com.au/property/illawong/studio-16,rent.com.au
"$928,742 ONO",928742.0,"311 Princes Highway, Illawong NSW 2659",Illawong,0,1,2,Studio,https://www.realestateview.com.au/property/illawong/studio-17,realestateview.com.au
"$1,953,157 ONO",1953157.0,"382 High St, Illawong NSW 2338",Illawong,0,1,2,Studio,https://www.realestate.com.au/property/illawong/studio-18,realestate.com.au
"$1,481,582",1481582.0,"212 High St, Illawong NSW 2068",Illawong,1,1,1,Villa,https://www.realestateview.com.au/property/illawong/villa-20,realestateview.com.au
"$1,142,685 - $1,288,344",1142685.0,"118 William St, Illawong NSW 2391",Illawong,0,1,0,Studio,https://www.realestate.com.au/property/illawong/studio-21,realestate.com.au
"$1,759,409 ONO",1759409.0,"193 Edward St, Illawong NSW 2803",Illawong,5,4,1,Penthouse,https://www.realestate.com.au/property/illawong/penthouse-22,realestate.com.au
"$1,319,522 - $1,422,091",1319522.0,"933 Albert St, Illawong NSW 2730",Illawong,4,3,0,Townhouse,https://www.realestateview.com.au/property/illawong/townhouse-23,realestateview.com.au
"From $1,787,166",1787166.0,"733 Elizabeth St, Illawong NSW 2296",Illawong,4,2,3,Villa,https://www.domain.com.au/property/illawong/villa-1,domain.com.au
"$1,656,456 - $1,874,470",1656456.0,"902 Albert St, Illawong NSW 2854",Illawong,1,1,4,Apartment / Unit / Flat,https://www.rent.com.au/property/illawong/apartment--unit--flat-2,rent.com.au
"From $714,838",714838.0,"307 Railway St, Illawong NSW 2994",Illawong,1,2,2,Villa,https://www.domain.com.au/property/illawong/villa-3,domain.com.au
"Guide $765,259",765259.0,"506 Pacific Highway, Illawong NSW 2699",Illawong,0,1,1,Studio,https://www.rent.com.au/property/illawong/studio-4,rent.com.au
"$2,347,938 ONO",2347938.0,"800 Church St, Illawong NSW 2884",Illawong,3,2,0,Villa,https://www.domain.com.au/property/illawong/villa-5,domain.com.au
"$1,701,077 - $1,842,981",1701077.0,"68 James St, Illawong NSW 2560",Illawong,2,2,3,House,https://www.realestateview.com.au/property/illawong/house-6,realestateview.com.au
"Guide $2,253,031",2253031.0,"436 King St, Illawong NSW 2577",Illawong,4,2,2,Penthouse,https://www.rent.com.au/property/illawong/penthouse-7,rent.com.au
"Guide $548,836",548836.0,"760 Pacific Highway, Illawong NSW 2464",Illawong,4,1,0,Villa,https://www.realestate.com.au/property/illawong/villa-8,realestate.com.au
"From $719,173",719173.0,"600 William St, Illawong NSW 2036",Illawong,4,3,2,Penthouse,https://www.rent.com.au/property/illawong/penthouse-9,rent.com.au
"$1,517,460",1517460.0,"968 High St, Illawong NSW 2427",Illawong,5,4,0,Penthouse,https://www.realestateview.com.au/property/illawong/penthouse-10,realestateview.com.au
"$1,413,961 - $1,650,319",1413961.0,"217 Princes Highway, Illawong NSW 2981",Illawong,2,2,3,House,https://www.domain.com.au/property/illawong/house-12,domain.com.au
"$2,218,679",2218679.0,"189 Pacific Highway, Illawong NSW 2039",Illawong,6,3,1,Penthouse,https://www.domain.com.au/property/illawong/penthouse-13,domain.com.au
"$534,199",534199.0,"202 William St, Illawong NSW 2975",Illawong,4,1,0,House,https://www.rent.com.au/property/illawong/house-14,rent.com.au
"$1,700,040 ONO",1700040.0,"741 Military Rd, Illawong NSW 2622",Illawong,2,2,1,Villa,https://www.realestateview.com.au/property/illawong/villa-15,realestateview.com.au
"From $1,405,286",1405286.0,"227 Railway St, Illawong NSW 2037",Illawong,3,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/illawong/apartment--unit--flat-16,rent.com.au
"$561,858 ONO",561858.0,"451 Princes Highway, Illawong NSW 2281",Illawong,2,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/illawong/apartment--unit--flat-17,rent.com.au
"Guide $2,224,502",2224502.0,"695 Elizabeth St, Illawong NSW 2591",Illawong,1,2,2,Townhouse,https://www.rent.com.au/property/illawong/townhouse-18,rent.com.au
"From $894,144",894144.0,"369 Princes Highway, Illawong NSW 2556",Illawong,4,1,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/illawong/apartment--unit--flat-20,realestate.com.au
"$2,025,523 ONO",2025523.0,"82 Military Rd, Illawong NSW 2337",Illawong,1,2,1,Townhouse,https://www.rent.com.au/property/illawong/townhouse-21,rent.com.au
"$1,610,754 ONO",1610754.0,"790 Edward St, Illawong NSW 2333",Illawong,3,3,1,Townhouse,https://www.rent.com.au/property/illawong/townhouse-22,rent.com.au
"$1,989,590 - $2,236,807",1989590.0,"331 Queen St, Illawong NSW 2057",Illawong,6,4,0,Villa,https://www.realestate.com.au/property/illawong/villa-24,realestate.com.au
